Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-398.88	805.76	607.88	26653.03	30.0,0.2771,0.9122,0.582
our_model	Round_1_Replicate_2	-394.86	797.72	599.76	38945.83	1.4577,0.1911,29.9866,0.4331
our_model	Round_1_Replicate_3	-396.36	800.72	603.25	12737.23	3.5302,0.5814,30.0,1.1534
our_model	Round_1_Replicate_4	-396.08	800.16	602.75	3349.75	19.044,2.2113,30.0,4.7325
our_model	Round_1_Replicate_5	-395.44	798.88	601.55	38580.12	30.0,0.1922,0.7688,0.47
our_model	Round_1_Replicate_6	-393.9	795.8	598.65	33112.68	2.5128,0.2244,5.3875,0.5861
our_model	Round_1_Replicate_7	-393.62	795.24	598.12	5424.14	30.0,1.3707,29.926,4.0335
our_model	Round_1_Replicate_8	-394.17	796.34	598.42	47765.93	1.4726,0.156,4.6281,0.3893
our_model	Round_1_Replicate_9	-394.03	796.06	598.9	34613.32	21.2972,0.2146,2.129,0.624
our_model	Round_1_Replicate_10	-393.81	795.62	598.57	42786.5	2.1691,0.1736,3.3687,0.4652
our_model	Round_2_Replicate_1	-393.9	795.8	598.66	28146.33	2.6461,0.264,30.0,0.6785
our_model	Round_2_Replicate_2	-396.72	801.44	603.91	4533.5	10.3133,1.6326,30.0,3.2158
our_model	Round_2_Replicate_3	-396.06	800.12	601.36	4468.01	12.8112,1.668,26.9124,3.5681
our_model	Round_2_Replicate_4	-397.07	802.14	604.57	4293.03	10.6274,1.7234,30.0,3.3326
our_model	Round_2_Replicate_5	-393.33	794.66	597.58	10605.93	29.7015,0.7013,17.621,2.3165
our_model	Round_2_Replicate_6	-401.19	810.38	612.05	2079.32	30.0,3.5449,30.0,6.5261
our_model	Round_2_Replicate_7	-393.21	794.42	597.34	8251.82	29.7252,0.9016,30.0,3.0532
our_model	Round_2_Replicate_8	-399.48	806.96	608.97	2236.38	30.0,3.3002,30.0,6.3743
our_model	Round_2_Replicate_9	-400.31	808.62	610.48	2152.63	30.0,3.4262,30.0,6.4556
our_model	Round_2_Replicate_10	-395.37	798.74	601.42	3186.56	29.8099,2.3268,30.0,5.4673
our_model	Round_3_Replicate_1	-398.83	805.66	607.79	2314.26	30.0,3.191,30.0,6.2977
our_model	Round_3_Replicate_2	-396.71	801.42	603.91	5537.99	8.0894,1.3365,30.0,2.6101
our_model	Round_3_Replicate_3	-396.09	800.18	602.76	3406.42	30.0,2.1745,24.1181,4.9622
our_model	Round_3_Replicate_4	-399.44	806.88	608.91	2240.43	30.0,3.2944,30.0,6.3704
our_model	Round_3_Replicate_5	-396.28	800.56	603.12	9116.91	4.9841,0.8123,30.0,1.6201
our_model	Round_3_Replicate_6	-399.62	807.24	609.23	2221.18	30.0,3.3224,30.0,6.3892
our_model	Round_3_Replicate_7	-396.97	801.94	604.39	4891.98	9.1042,1.5126,30.0,2.9209
our_model	Round_3_Replicate_8	-396.37	800.74	603.27	6243.37	7.3508,1.186,30.0,2.3614
our_model	Round_3_Replicate_9	-393.1	794.2	597.14	10497.59	30.0,0.7089,29.9314,2.5806
our_model	Round_3_Replicate_10	-396.03	800.06	602.65	2903.63	30.0,2.5512,30.0,5.7274
our_model	Round_4_Replicate_1	-394.58	797.16	599.94	3834.31	30.0,1.9359,28.812,4.9127
our_model	Round_4_Replicate_2	-394.63	797.26	599.1	9907.53	8.1786,0.7523,12.9744,1.8417
our_model	Round_4_Replicate_3	-394.24	796.48	599.3	23135.28	2.8347,0.321,30.0,0.779
our_model	Round_4_Replicate_4	-398.65	805.3	607.46	2338.09	30.0,3.159,30.0,6.2742
our_model	Round_4_Replicate_5	-398.4	804.8	607.01	4878.12	30.0,1.5145,12.3208,3.2766
our_model	Round_4_Replicate_6	-393.41	794.82	597.72	6485.64	29.9999,1.1468,29.5804,3.5866
our_model	Round_4_Replicate_7	-393.93	795.86	598.05	15302.15	5.2935,0.487,15.2242,1.274
our_model	Round_4_Replicate_8	-393.81	795.62	598.49	4864.08	29.9994,1.528,29.9351,4.3159
our_model	Round_4_Replicate_9	-399.44	806.88	608.91	2240.51	30.0,3.2942,30.0,6.3703
our_model	Round_4_Replicate_10	-398.87	805.74	607.87	2308.75	30.0,3.1985,30.0,6.3032
our_model	Round_5_Replicate_1	-393.06	794.12	597.06	12930.37	25.0124,0.5755,29.7313,2.1675
our_model	Round_5_Replicate_2	-393.22	794.44	597.36	9362.78	19.4479,0.7946,29.8002,2.6132
our_model	Round_5_Replicate_3	-393.22	794.44	597.36	8142.91	29.9629,0.9137,29.787,3.0807
