Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-398.9	805.8	607.92	22851.62	30.0,0.3231,1.3248,0.6913
our_model	Round_1_Replicate_2	-397.5	803.0	605.35	40607.54	0.5463,0.1821,0.01,0.3366
our_model	Round_1_Replicate_3	-397.63	803.26	605.6	4632.55	30.0,1.596,13.9429,3.5259
our_model	Round_1_Replicate_4	-396.96	801.92	604.36	4866.56	30.0,1.5204,14.0417,3.456
our_model	Round_1_Replicate_5	-393.19	794.38	597.31	8579.88	29.9991,0.8672,29.7371,2.9712
our_model	Round_1_Replicate_6	-393.16	794.32	597.25	9084.43	29.7412,0.8191,29.8053,2.8532
our_model	Round_1_Replicate_7	-397.13	802.26	603.5	44062.36	0.8151,0.1688,0.3985,0.3168
our_model	Round_1_Replicate_8	-395.34	798.68	601.36	4361.77	30.0,1.6999,20.2019,4.1425
our_model	Round_1_Replicate_9	-393.8	795.6	597.92	14995.6	7.6309,0.4968,10.5208,1.3786
our_model	Round_1_Replicate_10	-398.61	805.22	607.39	30855.05	30.0,0.2394,0.5909,0.4944
our_model	Round_2_Replicate_1	-395.63	799.26	601.91	6969.74	7.1868,1.0634,30.0,2.231
our_model	Round_2_Replicate_2	-396.09	800.18	602.77	3275.71	30.0,2.2612,25.3442,5.1368
our_model	Round_2_Replicate_3	-394.67	797.34	600.11	5339.06	12.4141,1.3901,30.0,3.2537
our_model	Round_2_Replicate_4	-395.47	798.94	601.6	6319.95	8.2446,1.173,30.0,2.5019
our_model	Round_2_Replicate_5	-398.03	804.06	606.34	3809.79	30.0,1.9399,17.013,4.1594
our_model	Round_2_Replicate_6	-395.25	798.5	600.62	10211.29	5.2185,0.728,23.0108,1.5868
our_model	Round_2_Replicate_7	-399.76	807.52	609.48	2206.76	30.0,3.3437,30.0,6.4032
our_model	Round_2_Replicate_8	-396.07	800.14	602.71	2891.8	30.0,2.5615,30.0,5.7384
our_model	Round_2_Replicate_9	-399.41	806.82	608.84	2244.35	30.0,3.2887,30.0,6.3665
our_model	Round_2_Replicate_10	-399.38	806.76	608.79	2247.87	30.0,3.2836,30.0,6.3631
our_model	Round_3_Replicate_1	-394.89	797.78	600.51	4424.53	30.0,1.6769,21.9641,4.2166
our_model	Round_3_Replicate_2	-393.77	795.54	598.4	13312.04	6.0295,0.5583,29.9875,1.4778
our_model	Round_3_Replicate_3	-393.04	794.08	597.02	13267.89	29.9697,0.5609,29.7466,2.1755
our_model	Round_3_Replicate_4	-393.56	795.12	598.01	9883.02	29.9563,0.7523,15.0453,2.3427
our_model	Round_3_Replicate_5	-393.68	795.36	598.25	6072.74	18.7124,1.2241,29.9996,3.4306
our_model	Round_3_Replicate_6	-393.48	794.96	597.85	6027.19	29.9808,1.2338,29.8866,3.7694
our_model	Round_3_Replicate_7	-395.47	798.94	601.6	3605.5	30.0,2.0561,24.9571,4.877
our_model	Round_3_Replicate_8	-397.58	803.16	605.51	2689.95	30.0,2.7488,27.3183,5.7485
our_model	Round_3_Replicate_9	-393.13	794.26	597.2	13900.82	12.6973,0.5353,29.823,1.8202
our_model	Round_3_Replicate_10	-396.36	800.72	603.26	6891.16	6.6093,1.0745,30.0,2.1368
our_model	Round_3_Replicate_11	-396.11	800.22	602.8	10288.04	4.4975,0.72,30.0,1.4526
our_model	Round_3_Replicate_12	-393.21	794.42	597.34	13300.8	10.8392,0.5594,29.9338,1.8022
our_model	Round_3_Replicate_13	-395.94	799.88	602.49	9409.76	5.0245,0.7873,30.0,1.608
our_model	Round_3_Replicate_14	-396.42	800.84	603.38	7245.54	6.2233,1.0219,30.0,2.0226
our_model	Round_3_Replicate_15	-394.31	796.62	599.42	4014.9	29.9999,1.8497,29.9994,4.8358
our_model	Round_3_Replicate_16	-394.5	797.0	599.78	3805.95	29.9999,1.9506,29.9402,4.9808
our_model	Round_3_Replicate_17	-396.96	801.92	604.36	4043.12	30.0,1.8301,17.5153,4.0961
our_model	Round_3_Replicate_18	-394.56	797.12	599.9	3840.24	30.0,1.933,28.9546,4.9147
our_model	Round_3_Replicate_19	-394.81	797.62	600.37	3530.14	29.9995,2.102,29.9987,5.1916
our_model	Round_3_Replicate_20	-393.36	794.72	597.63	6740.48	30.0,1.1035,29.8621,3.5027
