Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimized_params( )
our_model	Round_1_Replicate_1	-394.91	797.82	599.82	26128.56	8.4281,0.2849,2.4662,0.7366
our_model	Round_1_Replicate_2	-397.48	802.96	605.32	11258.79	30.0,0.6568,4.7838,1.515
our_model	Round_1_Replicate_3	-395.92	799.84	601.31	33561.48	2.3125,0.2219,1.5393,0.4948
our_model	Round_1_Replicate_4	-398.93	805.86	607.99	16563.0	30.0,0.4458,2.3901,0.9722
our_model	Round_1_Replicate_5	-393.21	794.42	597.34	8246.01	29.9205,0.9023,29.9518,3.0565
our_model	Round_1_Replicate_6	-395.69	799.38	602.01	6678.34	30.0,1.1097,11.4164,2.7336
our_model	Round_1_Replicate_7	-398.64	805.28	607.44	10577.33	30.0,0.6983,4.6792,1.5459
our_model	Round_1_Replicate_8	-396.38	800.76	603.3	15299.71	2.9308,0.484,30.0,0.9586
our_model	Round_1_Replicate_9	-394.69	797.38	600.15	8015.54	29.9986,0.9259,11.3716,2.4678
our_model	Round_1_Replicate_10	-394.6	797.2	599.01	47000.49	1.4129,0.1586,2.3825,0.3782
our_model	Round_2_Replicate_1	-393.14	794.28	597.21	12260.8	16.6689,0.6069,26.9097,2.0836
our_model	Round_2_Replicate_2	-393.55	795.1	597.99	10930.02	8.6918,0.6803,30.0,1.9096
our_model	Round_2_Replicate_3	-396.37	800.74	603.27	4912.67	9.7313,1.5073,30.0,3.0254
our_model	Round_2_Replicate_4	-393.19	794.38	597.31	13718.46	25.5309,0.5424,16.8393,1.8954
our_model	Round_2_Replicate_5	-397.48	802.96	605.32	3429.61	30.0,2.1562,20.2838,4.658
our_model	Round_2_Replicate_6	-393.68	795.36	598.23	8056.14	14.9121,0.9228,21.5775,2.6052
our_model	Round_2_Replicate_7	-395.48	798.96	601.62	3129.68	30.0,2.3687,29.9998,5.5241
our_model	Round_2_Replicate_8	-394.43	796.86	598.8	8775.1	7.502,0.8493,27.7064,2.0489
our_model	Round_2_Replicate_9	-393.29	794.58	597.5	8072.01	21.6041,0.9216,29.8154,2.9446
our_model	Round_2_Replicate_10	-394.21	796.42	599.24	6014.53	30.0,1.2349,18.7137,3.3832
our_model	Round_2_Replicate_11	-395.79	799.58	602.2	3287.23	30.0,2.2542,26.4959,5.1995
our_model	Round_2_Replicate_12	-394.27	796.54	598.55	8308.61	8.3457,0.897,29.6292,2.2125
our_model	Round_2_Replicate_13	-393.07	794.14	597.08	15686.97	13.9962,0.4744,29.7697,1.7087
our_model	Round_2_Replicate_14	-393.81	795.62	598.49	7785.62	10.9287,0.9546,30.0,2.5306
our_model	Round_2_Replicate_15	-394.62	797.24	599.08	7759.91	8.0973,0.9605,29.7889,2.2658
our_model	Round_2_Replicate_16	-396.09	800.18	602.76	6290.93	7.5418,1.1775,30.0,2.3893
our_model	Round_2_Replicate_17	-393.91	795.82	598.68	5690.89	29.9775,1.3058,23.0207,3.6904
our_model	Round_2_Replicate_18	-393.33	794.66	597.56	7012.77	29.9828,1.0607,29.853,3.411
our_model	Round_2_Replicate_19	-397.78	803.56	605.88	2471.57	30.0,2.991,30.0,6.1423
our_model	Round_2_Replicate_20	-393.06	794.12	597.05	12350.23	30.0,0.6026,29.7542,2.2929
