1       , -2336.8     , array([ 0.271835   ,  0.00209163 ,  3.79002e-09,  2.70928e-47])
2       , -2336.8     , array([ 0.272107   ,  0.00209163 ,  3.79002e-09,  2.70928e-47])
3       , -2336.8     , array([ 0.271835   ,  0.00209373 ,  3.79002e-09,  2.70928e-47])
4       , -2336.8     , array([ 0.271835   ,  0.00209163 ,  3.79381e-09,  2.70928e-47])
5       , -2336.8     , array([ 0.271835   ,  0.00209163 ,  3.79002e-09,  2.71199e-47])
6       , -2336.8     , array([ 0.271835   ,  0.00209163 ,  3.79002e-09,  2.70928e-47])
7       , -2336.8     , array([ 0.271762   ,  0.00209163 ,  3.79076e-09,  2.70928e-47])
8       , -2336.8     , array([ 0.271762   ,  0.00209163 ,  3.79076e-09,  2.70928e-47])
9       , -2336.8     , array([ 0.272034   ,  0.00209163 ,  3.79076e-09,  2.70928e-47])
10      , -2336.8     , array([ 0.271762   ,  0.00209373 ,  3.79076e-09,  2.70928e-47])
11      , -2336.8     , array([ 0.271762   ,  0.00209163 ,  3.79456e-09,  2.70928e-47])
12      , -2336.8     , array([ 0.271762   ,  0.00209163 ,  3.79076e-09,  2.71199e-47])
13      , -2336.8     , array([ 0.271471   ,  0.00209163 ,  3.79372e-09,  2.70928e-47])
14      , -2336.8     , array([ 0.271471   ,  0.00209163 ,  3.79372e-09,  2.70928e-47])
15      , -2336.8     , array([ 0.271743   ,  0.00209163 ,  3.79372e-09,  2.70928e-47])
16      , -2336.8     , array([ 0.271471   ,  0.00209373 ,  3.79372e-09,  2.70928e-47])
17      , -2336.8     , array([ 0.271471   ,  0.00209163 ,  3.79752e-09,  2.70928e-47])
18      , -2336.8     , array([ 0.271471   ,  0.00209163 ,  3.79372e-09,  2.71199e-47])
19      , -2336.8     , array([ 0.270311   ,  0.00209163 ,  3.80559e-09,  2.70928e-47])
20      , -2336.8     , array([ 0.270311   ,  0.00209163 ,  3.80559e-09,  2.70928e-47])
21      , -2336.8     , array([ 0.270581   ,  0.00209163 ,  3.80559e-09,  2.70928e-47])
22      , -2336.8     , array([ 0.270311   ,  0.00209373 ,  3.80559e-09,  2.70928e-47])
23      , -2336.8     , array([ 0.270311   ,  0.00209163 ,  3.8094e-09 ,  2.70928e-47])
24      , -2336.8     , array([ 0.270311   ,  0.00209163 ,  3.80559e-09,  2.71199e-47])
25      , -2336.8     , array([ 0.265719   ,  0.00209163 ,  3.85342e-09,  2.70928e-47])
26      , -2336.8     , array([ 0.265719   ,  0.00209163 ,  3.85342e-09,  2.70928e-47])
27      , -2336.8     , array([ 0.265985   ,  0.00209163 ,  3.85342e-09,  2.70928e-47])
28      , -2336.8     , array([ 0.265719   ,  0.00209373 ,  3.85342e-09,  2.70928e-47])
29      , -2336.8     , array([ 0.265719   ,  0.00209163 ,  3.85727e-09,  2.70928e-47])
30      , -2336.8     , array([ 0.265719   ,  0.00209163 ,  3.85342e-09,  2.71199e-47])
31      , -2336.8     , array([ 0.248116   ,  0.00209163 ,  4.05083e-09,  2.70928e-47])
32      , -2336.8     , array([ 0.248116   ,  0.00209163 ,  4.05083e-09,  2.70928e-47])
33      , -2336.8     , array([ 0.248364   ,  0.00209163 ,  4.05083e-09,  2.70928e-47])
34      , -2336.8     , array([ 0.248116   ,  0.00209373 ,  4.05083e-09,  2.70928e-47])
35      , -2336.8     , array([ 0.248116   ,  0.00209163 ,  4.05489e-09,  2.70928e-47])
36      , -2336.8     , array([ 0.248116   ,  0.00209163 ,  4.05083e-09,  2.71199e-47])
37      , -2336.8     , array([ 0.18862    ,  0.00209163 ,  4.94694e-09,  2.70928e-47])
38      , -2336.8     , array([ 0.18862    ,  0.00209163 ,  4.94694e-09,  2.70928e-47])
39      , -2336.8     , array([ 0.188809   ,  0.00209163 ,  4.94694e-09,  2.70928e-47])
40      , -2336.8     , array([ 0.18862    ,  0.00209373 ,  4.94694e-09,  2.70928e-47])
41      , -2336.8     , array([ 0.18862    ,  0.00209163 ,  4.95189e-09,  2.70928e-47])
42      , -2336.8     , array([ 0.18862    ,  0.00209163 ,  4.94694e-09,  2.71199e-47])
43      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
44      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
45      , -2336.8     , array([ 0.0630595  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
46      , -2336.8     , array([ 0.0629965  ,  0.00209373 ,  1.10029e-08,  2.70928e-47])
47      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10139e-08,  2.70928e-47])
48      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.71199e-47])
55      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
56      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
57      , -2336.8     , array([ 0.0630595  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
58      , -2336.8     , array([ 0.0629965  ,  0.00209373 ,  1.10029e-08,  2.70928e-47])
59      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10139e-08,  2.70928e-47])
60      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.71199e-47])
61      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
62      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
63      , -2336.8     , array([ 0.0630595  ,  0.00209163 ,  1.10029e-08,  2.70928e-47])
64      , -2336.8     , array([ 0.0629965  ,  0.00209373 ,  1.10029e-08,  2.70928e-47])
65      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10139e-08,  2.70928e-47])
66      , -2336.8     , array([ 0.0629965  ,  0.00209163 ,  1.10029e-08,  2.71199e-47])
67      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44309e-08,  2.70928e-47])
68      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44309e-08,  2.70928e-47])
69      , -2336.66    , array([ 0.0070341  ,  0.00209163 ,  5.44309e-08,  2.70928e-47])
70      , -2336.66    , array([ 0.00702707 ,  0.00209373 ,  5.44309e-08,  2.70928e-47])
71      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44854e-08,  2.70928e-47])
72      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44309e-08,  2.71199e-47])
73      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44309e-08,  2.70928e-47])
74      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44309e-08,  2.70928e-47])
75      , -2336.66    , array([ 0.0070341  ,  0.00209163 ,  5.44309e-08,  2.70928e-47])
76      , -2336.66    , array([ 0.00702707 ,  0.00209373 ,  5.44309e-08,  2.70928e-47])
77      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44854e-08,  2.70928e-47])
78      , -2336.66    , array([ 0.00702707 ,  0.00209163 ,  5.44309e-08,  2.71199e-47])
79      , -2336.65    , array([ 0.00689888 ,  0.00209163 ,  5.51663e-08,  2.70928e-47])
80      , -2336.65    , array([ 0.00689888 ,  0.00209163 ,  5.51663e-08,  2.70928e-47])
81      , -2336.65    , array([ 0.00690578 ,  0.00209163 ,  5.51663e-08,  2.70928e-47])
82      , -2336.65    , array([ 0.00689888 ,  0.00209373 ,  5.51663e-08,  2.70928e-47])
83      , -2336.65    , array([ 0.00689888 ,  0.00209163 ,  5.52215e-08,  2.70928e-47])
84      , -2336.65    , array([ 0.00689888 ,  0.00209163 ,  5.51663e-08,  2.71199e-47])
85      , -2335.8     , array([ 0.00232544 ,  0.00209163 ,  1.21879e-07,  2.70928e-47])
86      , -2335.8     , array([ 0.00232544 ,  0.00209163 ,  1.21879e-07,  2.70928e-47])
87      , -2335.8     , array([ 0.00232777 ,  0.00209163 ,  1.21879e-07,  2.70928e-47])
88      , -2335.8     , array([ 0.00232544 ,  0.00209373 ,  1.21879e-07,  2.70928e-47])
89      , -2335.8     , array([ 0.00232544 ,  0.00209163 ,  1.22001e-07,  2.70928e-47])
90      , -2335.8     , array([ 0.00232544 ,  0.00209163 ,  1.21879e-07,  2.71199e-47])
91      , -2335.8     , array([ 0.00232544 ,  0.00209163 ,  1.21879e-07,  2.70928e-47])
