403     , -2223.9     , array([ 0.298176   ,  0.0194679  ,  0.00273193 ,  1.45544e-51])
404     , -2224.05    , array([ 0.298474   ,  0.0194679  ,  0.00273193 ,  1.45544e-51])
405     , -2223.9     , array([ 0.298176   ,  0.0194874  ,  0.00273193 ,  1.45544e-51])
406     , -2223.8     , array([ 0.298176   ,  0.0194679  ,  0.00273466 ,  1.45544e-51])
407     , -2223.9     , array([ 0.298176   ,  0.0194679  ,  0.00273193 ,  1.45689e-51])
408     , -2223.9     , array([ 0.298176   ,  0.0194679  ,  0.00273193 ,  1.45544e-51])
409     , -1922.47    , array([ 0.130712   ,  0.0194679  ,  0.00489439 ,  1.45544e-51])
410     , -1922.47    , array([ 0.130712   ,  0.0194679  ,  0.00489439 ,  1.45544e-51])
411     , -1922.76    , array([ 0.130842   ,  0.0194679  ,  0.00489439 ,  1.45544e-51])
412     , -1922.47    , array([ 0.130712   ,  0.0194874  ,  0.00489439 ,  1.45544e-51])
413     , -1922.2     , array([ 0.130712   ,  0.0194679  ,  0.00489929 ,  1.45544e-51])
414     , -1922.47    , array([ 0.130712   ,  0.0194679  ,  0.00489439 ,  1.45689e-51])
415     , -2283.34    , array([ 0.00482703 ,  0.0194679  ,  0.0504216  ,  1.45544e-51])
416     , -2283.34    , array([ 0.00482703 ,  0.0194679  ,  0.0504216  ,  1.45544e-51])
417     , -2282.83    , array([ 0.00483186 ,  0.0194679  ,  0.0504216  ,  1.45544e-51])
418     , -2283.34    , array([ 0.00482703 ,  0.0194874  ,  0.0504216  ,  1.45544e-51])
419     , -2283.88    , array([ 0.00482703 ,  0.0194679  ,  0.0504721  ,  1.45544e-51])
420     , -2283.34    , array([ 0.00482703 ,  0.0194679  ,  0.0504216  ,  1.45689e-51])
421     , -3083.72    , array([ 0.031585   ,  0.0194679  ,  0.0133604  ,  1.45544e-51])
422     , -3083.72    , array([ 0.031585   ,  0.0194679  ,  0.0133604  ,  1.45544e-51])
423     , -3081.08    , array([ 0.0316166  ,  0.0194679  ,  0.0133604  ,  1.45544e-51])
424     , -3083.72    , array([ 0.031585   ,  0.0194874  ,  0.0133604  ,  1.45544e-51])
425     , -3085.71    , array([ 0.031585   ,  0.0194679  ,  0.0133738  ,  1.45544e-51])
426     , -3083.72    , array([ 0.031585   ,  0.0194679  ,  0.0133604  ,  1.45689e-51])
427     , -1738.92    , array([ 0.0851796  ,  0.0194679  ,  0.00662508 ,  1.45544e-51])
428     , -1738.92    , array([ 0.0851796  ,  0.0194679  ,  0.00662508 ,  1.45544e-51])
429     , -1739.07    , array([ 0.0852648  ,  0.0194679  ,  0.00662508 ,  1.45544e-51])
430     , -1738.92    , array([ 0.0851796  ,  0.0194874  ,  0.00662508 ,  1.45544e-51])
431     , -1738.73    , array([ 0.0851796  ,  0.0194679  ,  0.00663171 ,  1.45544e-51])
432     , -1738.92    , array([ 0.0851796  ,  0.0194679  ,  0.00662508 ,  1.45689e-51])
433     , -1713.86    , array([ 0.069768   ,  0.0194679  ,  0.00762916 ,  1.45544e-51])
434     , -1713.86    , array([ 0.069768   ,  0.0194679  ,  0.00762916 ,  1.45544e-51])
435     , -1713.78    , array([ 0.0698378  ,  0.0194679  ,  0.00762916 ,  1.45544e-51])
436     , -1713.86    , array([ 0.069768   ,  0.0194874  ,  0.00762916 ,  1.45544e-51])
437     , -1713.84    , array([ 0.069768   ,  0.0194679  ,  0.00763679 ,  1.45544e-51])
438     , -1713.86    , array([ 0.069768   ,  0.0194679  ,  0.00762916 ,  1.45689e-51])
445     , -1713.86    , array([ 0.0697689  ,  0.0194679  ,  0.00762942 ,  1.45544e-51])
446     , -1713.86    , array([ 0.0697689  ,  0.0194679  ,  0.00762942 ,  1.45544e-51])
447     , -1713.78    , array([ 0.0698387  ,  0.0194679  ,  0.00762942 ,  1.45544e-51])
448     , -1713.86    , array([ 0.0697689  ,  0.0194874  ,  0.00762942 ,  1.45544e-51])
449     , -1713.84    , array([ 0.0697689  ,  0.0194679  ,  0.00763705 ,  1.45544e-51])
450     , -1713.86    , array([ 0.0697689  ,  0.0194679  ,  0.00762942 ,  1.45689e-51])
451     , -1713.85    , array([ 0.0697723  ,  0.0194679  ,  0.00763045 ,  1.45544e-51])
452     , -1713.85    , array([ 0.0697723  ,  0.0194679  ,  0.00763045 ,  1.45544e-51])
453     , -1713.77    , array([ 0.0698421  ,  0.0194679  ,  0.00763045 ,  1.45544e-51])
454     , -1713.85    , array([ 0.0697723  ,  0.0194874  ,  0.00763045 ,  1.45544e-51])
455     , -1713.83    , array([ 0.0697723  ,  0.0194679  ,  0.00763809 ,  1.45544e-51])
456     , -1713.85    , array([ 0.0697723  ,  0.0194679  ,  0.00763045 ,  1.45689e-51])
463     , -1713.85    , array([ 0.0697726  ,  0.0194679  ,  0.00763052 ,  1.45544e-51])
464     , -1713.85    , array([ 0.0697726  ,  0.0194679  ,  0.00763052 ,  1.45544e-51])
465     , -1713.77    , array([ 0.0698424  ,  0.0194679  ,  0.00763052 ,  1.45544e-51])
466     , -1713.85    , array([ 0.0697726  ,  0.0194874  ,  0.00763052 ,  1.45544e-51])
467     , -1713.83    , array([ 0.0697726  ,  0.0194679  ,  0.00763815 ,  1.45544e-51])
468     , -1713.85    , array([ 0.0697726  ,  0.0194679  ,  0.00763052 ,  1.45689e-51])
469     , -1713.85    , array([ 0.0697734  ,  0.0194679  ,  0.00763078 ,  1.45544e-51])
470     , -1713.85    , array([ 0.0697734  ,  0.0194679  ,  0.00763078 ,  1.45544e-51])
471     , -1713.77    , array([ 0.0698432  ,  0.0194679  ,  0.00763078 ,  1.45544e-51])
472     , -1713.85    , array([ 0.0697734  ,  0.0194874  ,  0.00763078 ,  1.45544e-51])
473     , -1713.83    , array([ 0.0697734  ,  0.0194679  ,  0.00763841 ,  1.45544e-51])
474     , -1713.85    , array([ 0.0697734  ,  0.0194679  ,  0.00763078 ,  1.45689e-51])
475     , -1607.34    , array([ 0.442846   ,  0.0194679  ,  1.13797    ,  1.45544e-51])
476     , -1607.34    , array([ 0.442846   ,  0.0194679  ,  1.13797    ,  1.45544e-51])
477     , -1606.9     , array([ 0.443289   ,  0.0194679  ,  1.13797    ,  1.45544e-51])
478     , -1607.34    , array([ 0.442846   ,  0.0194874  ,  1.13797    ,  1.45544e-51])
479     , -1608.83    , array([ 0.442846   ,  0.0194679  ,  1.13911    ,  1.45544e-51])
480     , -1607.34    , array([ 0.442846   ,  0.0194679  ,  1.13797    ,  1.45689e-51])
481     , -1705.66    , array([ 0.0747439  ,  0.0194679  ,  0.00919407 ,  1.45544e-51])
482     , -1705.66    , array([ 0.0747439  ,  0.0194679  ,  0.00919407 ,  1.45544e-51])
483     , -1705.49    , array([ 0.0748187  ,  0.0194679  ,  0.00919407 ,  1.45544e-51])
484     , -1705.66    , array([ 0.0747439  ,  0.0194874  ,  0.00919407 ,  1.45544e-51])
485     , -1705.68    , array([ 0.0747439  ,  0.0194679  ,  0.00920327 ,  1.45544e-51])
486     , -1705.66    , array([ 0.0747439  ,  0.0194679  ,  0.00919407 ,  1.45689e-51])
487     , -1686.52    , array([ 0.0858511  ,  0.0194679  ,  0.0118309  ,  1.45544e-51])
488     , -1686.52    , array([ 0.0858511  ,  0.0194679  ,  0.0118309  ,  1.45544e-51])
489     , -1686.29    , array([ 0.0859369  ,  0.0194679  ,  0.0118309  ,  1.45544e-51])
490     , -1686.52    , array([ 0.0858511  ,  0.0194874  ,  0.0118309  ,  1.45544e-51])
491     , -1686.56    , array([ 0.0858511  ,  0.0194679  ,  0.0118427  ,  1.45544e-51])
492     , -1686.52    , array([ 0.0858511  ,  0.0194679  ,  0.0118309  ,  1.45689e-51])
493     , -1499.86    , array([ 0.149425   ,  0.0194679  ,  0.0324378  ,  1.45544e-51])
494     , -1499.86    , array([ 0.149425   ,  0.0194679  ,  0.0324378  ,  1.45544e-51])
495     , -1499.42    , array([ 0.149575   ,  0.0194679  ,  0.0324378  ,  1.45544e-51])
496     , -1499.86    , array([ 0.149425   ,  0.0194874  ,  0.0324378  ,  1.45544e-51])
497     , -1499.77    , array([ 0.149425   ,  0.0194679  ,  0.0324703  ,  1.45544e-51])
498     , -1499.86    , array([ 0.149425   ,  0.0194679  ,  0.0324378  ,  1.45689e-51])
499     , -3065.31    , array([ 1.37133    ,  0.0194679  ,  1.83313    ,  1.45544e-51])
500     , -3065.31    , array([ 1.37133    ,  0.0194679  ,  1.83313    ,  1.45544e-51])
501     , -3068.58    , array([ 1.3727     ,  0.0194679  ,  1.83313    ,  1.45544e-51])
502     , -3065.31    , array([ 1.37133    ,  0.0194874  ,  1.83313    ,  1.45544e-51])
503     , -3064.33    , array([ 1.37133    ,  0.0194679  ,  1.83496    ,  1.45544e-51])
504     , -3065.31    , array([ 1.37133    ,  0.0194679  ,  1.83313    ,  1.45689e-51])
505     , -1182.42    , array([ 0.220845   ,  0.0194679  ,  0.0660447  ,  1.45544e-51])
506     , -1182.42    , array([ 0.220845   ,  0.0194679  ,  0.0660447  ,  1.45544e-51])
507     , -1182.1     , array([ 0.221066   ,  0.0194679  ,  0.0660447  ,  1.45544e-51])
508     , -1182.42    , array([ 0.220845   ,  0.0194874  ,  0.0660447  ,  1.45544e-51])
509     , -1182.04    , array([ 0.220845   ,  0.0194679  ,  0.0661108  ,  1.45544e-51])
510     , -1182.42    , array([ 0.220845   ,  0.0194679  ,  0.0660447  ,  1.45689e-51])
511     , -888.854    , array([ 0.292976   ,  0.0194679  ,  0.110467   ,  1.45544e-51])
512     , -888.854    , array([ 0.292976   ,  0.0194679  ,  0.110467   ,  1.45544e-51])
513     , -888.867    , array([ 0.293269   ,  0.0194679  ,  0.110467   ,  1.45544e-51])
514     , -888.854    , array([ 0.292976   ,  0.0194874  ,  0.110467   ,  1.45544e-51])
515     , -888.303    , array([ 0.292976   ,  0.0194679  ,  0.110577   ,  1.45544e-51])
516     , -888.854    , array([ 0.292976   ,  0.0194679  ,  0.110467   ,  1.45689e-51])
517     , -1069.07    , array([ 0.63385    ,  0.0194679  ,  0.45       ,  1.45544e-51])
518     , -1069.07    , array([ 0.63385    ,  0.0194679  ,  0.45       ,  1.45544e-51])
519     , -1070.96    , array([ 0.634484   ,  0.0194679  ,  0.45       ,  1.45544e-51])
520     , -1069.07    , array([ 0.63385    ,  0.0194874  ,  0.45       ,  1.45544e-51])
521     , -1069.17    , array([ 0.63385    ,  0.0194679  ,  0.45045    ,  1.45544e-51])
522     , -1069.07    , array([ 0.63385    ,  0.0194679  ,  0.45       ,  1.45689e-51])
523     , -667.88     , array([ 0.411108   ,  0.0194679  ,  0.204643   ,  1.45544e-51])
524     , -667.88     , array([ 0.411108   ,  0.0194679  ,  0.204643   ,  1.45544e-51])
525     , -668.602    , array([ 0.411519   ,  0.0194679  ,  0.204643   ,  1.45544e-51])
526     , -667.88     , array([ 0.411108   ,  0.0194874  ,  0.204643   ,  1.45544e-51])
527     , -667.409    , array([ 0.411108   ,  0.0194679  ,  0.204848   ,  1.45544e-51])
528     , -667.88     , array([ 0.411108   ,  0.0194679  ,  0.204643   ,  1.45689e-51])
529     , -665.583    , array([ 0.424486   ,  0.0194679  ,  0.216925   ,  1.45544e-51])
530     , -665.583    , array([ 0.424486   ,  0.0194679  ,  0.216925   ,  1.45544e-51])
531     , -666.386    , array([ 0.424911   ,  0.0194679  ,  0.216925   ,  1.45544e-51])
532     , -665.583    , array([ 0.424486   ,  0.0194874  ,  0.216925   ,  1.45544e-51])
533     , -665.142    , array([ 0.424486   ,  0.0194679  ,  0.217142   ,  1.45544e-51])
534     , -665.583    , array([ 0.424486   ,  0.0194679  ,  0.216925   ,  1.45689e-51])
541     , -665.583    , array([ 0.424486   ,  0.0194679  ,  0.216925   ,  1.45544e-51])
542     , -665.583    , array([ 0.424486   ,  0.0194679  ,  0.216925   ,  1.45544e-51])
543     , -666.386    , array([ 0.424911   ,  0.0194679  ,  0.216925   ,  1.45544e-51])
544     , -665.583    , array([ 0.424486   ,  0.0194874  ,  0.216925   ,  1.45544e-51])
545     , -665.141    , array([ 0.424486   ,  0.0194679  ,  0.217142   ,  1.45544e-51])
546     , -665.583    , array([ 0.424486   ,  0.0194679  ,  0.216925   ,  1.45689e-51])
547     , -665.583    , array([ 0.424487   ,  0.0194679  ,  0.216926   ,  1.45544e-51])
548     , -665.583    , array([ 0.424487   ,  0.0194679  ,  0.216926   ,  1.45544e-51])
549     , -666.386    , array([ 0.424912   ,  0.0194679  ,  0.216926   ,  1.45544e-51])
550     , -665.583    , array([ 0.424487   ,  0.0194874  ,  0.216926   ,  1.45544e-51])
551     , -665.141    , array([ 0.424487   ,  0.0194679  ,  0.217143   ,  1.45544e-51])
552     , -665.583    , array([ 0.424487   ,  0.0194679  ,  0.216926   ,  1.45689e-51])
553     , -2796.25    , array([ 1.38307    ,  0.0194679  ,  2.49963    ,  1.45544e-51])
554     , -2796.25    , array([ 1.38307    ,  0.0194679  ,  2.49963    ,  1.45544e-51])
555     , -2798.45    , array([ 1.38445    ,  0.0194679  ,  2.49963    ,  1.45544e-51])
556     , -2796.25    , array([ 1.38307    ,  0.0194874  ,  2.49963    ,  1.45544e-51])
557     , -2795.38    , array([ 1.38307    ,  0.0194679  ,  2.50213    ,  1.45544e-51])
558     , -2796.25    , array([ 1.38307    ,  0.0194679  ,  2.49963    ,  1.45689e-51])
559     , -664.524    , array([ 0.429942   ,  0.0194679  ,  0.222734   ,  1.45544e-51])
560     , -664.524    , array([ 0.429942   ,  0.0194679  ,  0.222734   ,  1.45544e-51])
561     , -665.359    , array([ 0.430372   ,  0.0194679  ,  0.222734   ,  1.45544e-51])
562     , -664.524    , array([ 0.429942   ,  0.0194874  ,  0.222734   ,  1.45544e-51])
563     , -664.097    , array([ 0.429942   ,  0.0194679  ,  0.222957   ,  1.45544e-51])
564     , -664.524    , array([ 0.429942   ,  0.0194679  ,  0.222734   ,  1.45689e-51])
565     , -662.391    , array([ 0.429479   ,  0.0194679  ,  0.223382   ,  1.45544e-51])
566     , -662.391    , array([ 0.429479   ,  0.0194679  ,  0.223382   ,  1.45544e-51])
567     , -663.222    , array([ 0.429909   ,  0.0194679  ,  0.223382   ,  1.45544e-51])
568     , -662.391    , array([ 0.429479   ,  0.0194874  ,  0.223382   ,  1.45544e-51])
569     , -661.966    , array([ 0.429479   ,  0.0194679  ,  0.223606   ,  1.45544e-51])
570     , -662.391    , array([ 0.429479   ,  0.0194679  ,  0.223382   ,  1.45689e-51])
571     , -653.961    , array([ 0.427634   ,  0.0194679  ,  0.225993   ,  1.45544e-51])
572     , -653.961    , array([ 0.427634   ,  0.0194679  ,  0.225993   ,  1.45544e-51])
573     , -654.777    , array([ 0.428062   ,  0.0194679  ,  0.225993   ,  1.45544e-51])
574     , -653.961    , array([ 0.427634   ,  0.0194874  ,  0.225993   ,  1.45544e-51])
575     , -653.545    , array([ 0.427634   ,  0.0194679  ,  0.22622    ,  1.45544e-51])
576     , -653.961    , array([ 0.427634   ,  0.0194679  ,  0.225993   ,  1.45689e-51])
577     , -621.951    , array([ 0.420333   ,  0.0194679  ,  0.236747   ,  1.45544e-51])
578     , -621.951    , array([ 0.420333   ,  0.0194679  ,  0.236747   ,  1.45544e-51])
579     , -622.706    , array([ 0.420753   ,  0.0194679  ,  0.236747   ,  1.45544e-51])
580     , -621.951    , array([ 0.420333   ,  0.0194874  ,  0.236747   ,  1.45544e-51])
581     , -621.572    , array([ 0.420333   ,  0.0194679  ,  0.236984   ,  1.45544e-51])
582     , -621.951    , array([ 0.420333   ,  0.0194679  ,  0.236747   ,  1.45689e-51])
583     , -546.898    , array([ 0.397689   ,  0.0194679  ,  0.266006   ,  1.45544e-51])
584     , -546.898    , array([ 0.397689   ,  0.0194679  ,  0.266006   ,  1.45544e-51])
585     , -547.475    , array([ 0.398087   ,  0.0194679  ,  0.266006   ,  1.45544e-51])
586     , -546.898    , array([ 0.397689   ,  0.0194874  ,  0.266006   ,  1.45544e-51])
587     , -546.621    , array([ 0.397689   ,  0.0194679  ,  0.266272   ,  1.45544e-51])
588     , -546.898    , array([ 0.397689   ,  0.0194679  ,  0.266006   ,  1.45689e-51])
589     , -448.463    , array([ 0.34342    ,  0.0194679  ,  0.338776   ,  1.45544e-51])
590     , -448.463    , array([ 0.34342    ,  0.0194679  ,  0.338776   ,  1.45544e-51])
