787     , -10300.6    , array([ 0.0031359  ,  1.5131     ,  0.00622339 ,  0.0800492  ])
788     , -10277.2    , array([ 0.00313904 ,  1.5131     ,  0.00622339 ,  0.0800492  ])
789     , -10305.1    , array([ 0.0031359  ,  1.51462    ,  0.00622339 ,  0.0800492  ])
790     , -10323.9    , array([ 0.0031359  ,  1.5131     ,  0.00622962 ,  0.0800492  ])
791     , -10308.1    , array([ 0.0031359  ,  1.5131     ,  0.00622339 ,  0.0801293  ])
792     , -10300.6    , array([ 0.0031359  ,  1.5131     ,  0.00622339 ,  0.0800492  ])
793     , -216.871    , array([ 0.0062679  ,  1.32617    ,  0.00312558 ,  0.0641795  ])
794     , -216.871    , array([ 0.0062679  ,  1.32617    ,  0.00312558 ,  0.0641795  ])
795     , -216.584    , array([ 0.00627417 ,  1.32617    ,  0.00312558 ,  0.0641795  ])
796     , -217.187    , array([ 0.0062679  ,  1.3275     ,  0.00312558 ,  0.0641795  ])
797     , -217.166    , array([ 0.0062679  ,  1.32617    ,  0.00312871 ,  0.0641795  ])
798     , -217.608    , array([ 0.0062679  ,  1.32617    ,  0.00312558 ,  0.0642438  ])
805     , -216.182    , array([ 0.00626681 ,  1.3257     ,  0.00312608 ,  0.0641208  ])
806     , -216.182    , array([ 0.00626681 ,  1.3257     ,  0.00312608 ,  0.0641208  ])
807     , -215.895    , array([ 0.00627308 ,  1.3257     ,  0.00312608 ,  0.0641208  ])
808     , -216.497    , array([ 0.00626681 ,  1.32702    ,  0.00312608 ,  0.0641208  ])
809     , -216.477    , array([ 0.00626681 ,  1.3257     ,  0.0031292  ,  0.0641208  ])
810     , -216.917    , array([ 0.00626681 ,  1.3257     ,  0.00312608 ,  0.064185   ])
811     , -108.791    , array([ 0.00594791 ,  1.18939    ,  0.0032795  ,  0.0486442  ])
812     , -108.791    , array([ 0.00594791 ,  1.18939    ,  0.0032795  ,  0.0486442  ])
813     , -108.526    , array([ 0.00595386 ,  1.18939    ,  0.0032795  ,  0.0486442  ])
814     , -108.887    , array([ 0.00594791 ,  1.19058    ,  0.0032795  ,  0.0486442  ])
815     , -109.055    , array([ 0.00594791 ,  1.18939    ,  0.00328278 ,  0.0486442  ])
816     , -108.891    , array([ 0.00594791 ,  1.18939    ,  0.0032795  ,  0.0486929  ])
817     , -2336.8     , array([ 0.00454076 ,  0.00620053 ,  0.00380894 ,  0.290688   ])
818     , -2336.8     , array([ 0.00454076 ,  0.00620053 ,  0.00380894 ,  0.290688   ])
819     , -2336.8     , array([ 0.0045453  ,  0.00620053 ,  0.00380894 ,  0.290688   ])
820     , -2336.8     , array([ 0.00454076 ,  0.00620673 ,  0.00380894 ,  0.290688   ])
821     , -2336.8     , array([ 0.00454076 ,  0.00620053 ,  0.00381275 ,  0.290688   ])
822     , -2336.8     , array([ 0.00454076 ,  0.00620053 ,  0.00380894 ,  0.290979   ])
823     , -105.754    , array([ 0.00592297 ,  1.09593    ,  0.00328715 ,  0.0500171  ])
824     , -105.754    , array([ 0.00592297 ,  1.09593    ,  0.00328715 ,  0.0500171  ])
825     , -105.501    , array([ 0.00592889 ,  1.09593    ,  0.00328715 ,  0.0500171  ])
