13518   , -31545.3    , array([ 0.626053   ,  30.7607    ,  1.887      ,  0.819508   ])
13519   , -31526      , array([ 0.62668    ,  30.7607    ,  1.887      ,  0.819508   ])
13520   , -31550.1    , array([ 0.626053   ,  30.7914    ,  1.887      ,  0.819508   ])
13521   , -31547.7    , array([ 0.626053   ,  30.7607    ,  1.88888    ,  0.819508   ])
13522   , -31559.5    , array([ 0.626053   ,  30.7607    ,  1.887      ,  0.820328   ])
13523   , -31545.3    , array([ 0.626053   ,  30.7607    ,  1.887      ,  0.819508   ])
13524   , -14525.6    , array([ 1.38418    ,  25.2282    ,  1.70469    ,  0.457058   ])
13525   , -14525.6    , array([ 1.38418    ,  25.2282    ,  1.70469    ,  0.457058   ])
13526   , -14522.1    , array([ 1.38557    ,  25.2282    ,  1.70469    ,  0.457058   ])
13527   , -14527.7    , array([ 1.38418    ,  25.2534    ,  1.70469    ,  0.457058   ])
13528   , -14523.3    , array([ 1.38418    ,  25.2282    ,  1.70639    ,  0.457058   ])
13529   , -14534.8    , array([ 1.38418    ,  25.2282    ,  1.70469    ,  0.457515   ])
13536   , -14523.7    , array([ 1.38413    ,  25.2274    ,  1.70486    ,  0.456968   ])
13537   , -14523.7    , array([ 1.38413    ,  25.2274    ,  1.70486    ,  0.456968   ])
13538   , -14520.1    , array([ 1.38552    ,  25.2274    ,  1.70486    ,  0.456968   ])
13539   , -14525.7    , array([ 1.38413    ,  25.2526    ,  1.70486    ,  0.456968   ])
13540   , -14521.4    , array([ 1.38413    ,  25.2274    ,  1.70657    ,  0.456968   ])
13541   , -14532.8    , array([ 1.38413    ,  25.2274    ,  1.70486    ,  0.457425   ])
13542   , -4554.5     , array([ 0.969857   ,  18.919     ,  4.32362    ,  0.0726824  ])
13543   , -4554.5     , array([ 0.969857   ,  18.919     ,  4.32362    ,  0.0726824  ])
13544   , -4551.8     , array([ 0.970828   ,  18.919     ,  4.32362    ,  0.0726824  ])
13545   , -4554.71    , array([ 0.969857   ,  18.9379    ,  4.32362    ,  0.0726824  ])
13546   , -4554.52    , array([ 0.969857   ,  18.919     ,  4.32795    ,  0.0726824  ])
13547   , -4557.14    , array([ 0.969857   ,  18.919     ,  4.32362    ,  0.0727551  ])
13554   , -4553.83    , array([ 0.969981   ,  18.9359    ,  4.3241     ,  0.0726679  ])
13555   , -4553.83    , array([ 0.969981   ,  18.9359    ,  4.3241     ,  0.0726679  ])
13556   , -4551.13    , array([ 0.970951   ,  18.9359    ,  4.3241     ,  0.0726679  ])
13557   , -4554.04    , array([ 0.969981   ,  18.9549    ,  4.3241     ,  0.0726679  ])
13558   , -4553.85    , array([ 0.969981   ,  18.9359    ,  4.32843    ,  0.0726679  ])
13559   , -4556.46    , array([ 0.969981   ,  18.9359    ,  4.3241     ,  0.0727406  ])
13566   , -4553.53    , array([ 0.970035   ,  18.9433    ,  4.32431    ,  0.0726616  ])
13567   , -4553.53    , array([ 0.970035   ,  18.9433    ,  4.32431    ,  0.0726616  ])
13568   , -4550.83    , array([ 0.971005   ,  18.9433    ,  4.32431    ,  0.0726616  ])
13569   , -4553.74    , array([ 0.970035   ,  18.9623    ,  4.32431    ,  0.0726616  ])
13570   , -4553.55    , array([ 0.970035   ,  18.9433    ,  4.32864    ,  0.0726616  ])
13571   , -4556.17    , array([ 0.970035   ,  18.9433    ,  4.32431    ,  0.0727343  ])
13578   , -4553.4     , array([ 0.970058   ,  18.9466    ,  4.3244     ,  0.0726589  ])
13579   , -4553.4     , array([ 0.970058   ,  18.9466    ,  4.3244     ,  0.0726589  ])
13580   , -4550.71    , array([ 0.971029   ,  18.9466    ,  4.3244     ,  0.0726589  ])
13581   , -4553.61    , array([ 0.970058   ,  18.9655    ,  4.3244     ,  0.0726589  ])
13582   , -4553.43    , array([ 0.970058   ,  18.9466    ,  4.32873    ,  0.0726589  ])
13583   , -4556.04    , array([ 0.970058   ,  18.9466    ,  4.3244     ,  0.0727316  ])
13590   , -4553.35    , array([ 0.970068   ,  18.948     ,  4.32444    ,  0.0726577  ])
