5617    , -2336.8     , array([ 2.32361    ,  1.28003    ,  6.27881e-09,  1.6411e-75 ])
5618    , -2336.8     , array([ 2.32593    ,  1.28003    ,  6.27881e-09,  1.6411e-75 ])
5619    , -2336.8     , array([ 2.32361    ,  1.28131    ,  6.27881e-09,  1.6411e-75 ])
5620    , -2336.8     , array([ 2.32361    ,  1.28003    ,  6.28509e-09,  1.6411e-75 ])
5621    , -2336.8     , array([ 2.32361    ,  1.28003    ,  6.27881e-09,  1.64274e-75])
5622    , -2336.8     , array([ 2.32361    ,  1.28003    ,  6.27881e-09,  1.6411e-75 ])
5623    , -2336.8     , array([ 2.32349    ,  1.28003    ,  6.27837e-09,  1.6411e-75 ])
5624    , -2336.8     , array([ 2.32349    ,  1.28003    ,  6.27837e-09,  1.6411e-75 ])
5625    , -2336.8     , array([ 2.32581    ,  1.28003    ,  6.27837e-09,  1.6411e-75 ])
5626    , -2336.8     , array([ 2.32349    ,  1.28131    ,  6.27837e-09,  1.6411e-75 ])
5627    , -2336.8     , array([ 2.32349    ,  1.28003    ,  6.28466e-09,  1.6411e-75 ])
5628    , -2336.8     , array([ 2.32349    ,  1.28003    ,  6.27837e-09,  1.64274e-75])
5629    , -2336.8     , array([ 2.323      ,  1.28003    ,  6.27665e-09,  1.6411e-75 ])
5630    , -2336.8     , array([ 2.323      ,  1.28003    ,  6.27665e-09,  1.6411e-75 ])
5631    , -2336.8     , array([ 2.32533    ,  1.28003    ,  6.27665e-09,  1.6411e-75 ])
5632    , -2336.8     , array([ 2.323      ,  1.28131    ,  6.27665e-09,  1.6411e-75 ])
5633    , -2336.8     , array([ 2.323      ,  1.28003    ,  6.28293e-09,  1.6411e-75 ])
5634    , -2336.8     , array([ 2.323      ,  1.28003    ,  6.27665e-09,  1.64274e-75])
5635    , -2336.8     , array([ 2.32108    ,  1.28003    ,  6.26975e-09,  1.6411e-75 ])
5636    , -2336.8     , array([ 2.32108    ,  1.28003    ,  6.26975e-09,  1.6411e-75 ])
5637    , -2336.8     , array([ 2.3234     ,  1.28003    ,  6.26975e-09,  1.6411e-75 ])
5638    , -2336.8     , array([ 2.32108    ,  1.28131    ,  6.26975e-09,  1.6411e-75 ])
5639    , -2336.8     , array([ 2.32108    ,  1.28003    ,  6.27602e-09,  1.6411e-75 ])
5640    , -2336.8     , array([ 2.32108    ,  1.28003    ,  6.26975e-09,  1.64274e-75])
5641    , -2336.8     , array([ 2.31338    ,  1.28003    ,  6.24221e-09,  1.6411e-75 ])
5642    , -2336.8     , array([ 2.31338    ,  1.28003    ,  6.24221e-09,  1.6411e-75 ])
5643    , -2336.8     , array([ 2.3157     ,  1.28003    ,  6.24221e-09,  1.6411e-75 ])
5644    , -2336.8     , array([ 2.31338    ,  1.28131    ,  6.24221e-09,  1.6411e-75 ])
5645    , -2336.8     , array([ 2.31338    ,  1.28003    ,  6.24846e-09,  1.6411e-75 ])
5646    , -2336.8     , array([ 2.31338    ,  1.28003    ,  6.24221e-09,  1.64274e-75])
5647    , -2336.8     , array([ 2.28286    ,  1.28003    ,  6.13329e-09,  1.6411e-75 ])
5648    , -2336.8     , array([ 2.28286    ,  1.28003    ,  6.13329e-09,  1.6411e-75 ])
5649    , -2336.8     , array([ 2.28514    ,  1.28003    ,  6.13329e-09,  1.6411e-75 ])
5650    , -2336.8     , array([ 2.28286    ,  1.28131    ,  6.13329e-09,  1.6411e-75 ])
5651    , -2336.8     , array([ 2.28286    ,  1.28003    ,  6.13943e-09,  1.6411e-75 ])
5652    , -2336.8     , array([ 2.28286    ,  1.28003    ,  6.13329e-09,  1.64274e-75])
5653    , -2336.8     , array([ 2.16473    ,  1.28003    ,  5.71629e-09,  1.6411e-75 ])
5654    , -2336.8     , array([ 2.16473    ,  1.28003    ,  5.71629e-09,  1.6411e-75 ])
5655    , -2336.8     , array([ 2.16689    ,  1.28003    ,  5.71629e-09,  1.6411e-75 ])
5656    , -2336.8     , array([ 2.16473    ,  1.28131    ,  5.71629e-09,  1.6411e-75 ])
5657    , -2336.8     , array([ 2.16473    ,  1.28003    ,  5.72201e-09,  1.6411e-75 ])
5658    , -2336.8     , array([ 2.16473    ,  1.28003    ,  5.71629e-09,  1.64274e-75])
5659    , -2336.8     , array([ 1.75026    ,  1.28003    ,  4.31317e-09,  1.6411e-75 ])
5660    , -2336.8     , array([ 1.75026    ,  1.28003    ,  4.31317e-09,  1.6411e-75 ])
5661    , -2336.8     , array([ 1.75202    ,  1.28003    ,  4.31317e-09,  1.6411e-75 ])
5662    , -2336.8     , array([ 1.75026    ,  1.28131    ,  4.31317e-09,  1.6411e-75 ])
5663    , -2336.8     , array([ 1.75026    ,  1.28003    ,  4.31749e-09,  1.6411e-75 ])
5664    , -2336.8     , array([ 1.75026    ,  1.28003    ,  4.31317e-09,  1.64274e-75])
5665    , -2336.8     , array([ 1.0085     ,  1.28003    ,  2.07748e-09,  1.6411e-75 ])
5666    , -2336.8     , array([ 1.0085     ,  1.28003    ,  2.07748e-09,  1.6411e-75 ])
5667    , -2336.8     , array([ 1.00951    ,  1.28003    ,  2.07748e-09,  1.6411e-75 ])
5668    , -2336.8     , array([ 1.0085     ,  1.28131    ,  2.07748e-09,  1.6411e-75 ])
5669    , -2336.8     , array([ 1.0085     ,  1.28003    ,  2.07956e-09,  1.6411e-75 ])
5670    , -2336.8     , array([ 1.0085     ,  1.28003    ,  2.07748e-09,  1.64274e-75])
5671    , -2336.8     , array([ 0.672636   ,  1.28003    ,  1.21476e-09,  1.6411e-75 ])
5672    , -2336.8     , array([ 0.672636   ,  1.28003    ,  1.21476e-09,  1.6411e-75 ])
5673    , -2336.8     , array([ 0.673309   ,  1.28003    ,  1.21476e-09,  1.6411e-75 ])
5674    , -2336.8     , array([ 0.672636   ,  1.28131    ,  1.21476e-09,  1.6411e-75 ])
5675    , -2336.8     , array([ 0.672636   ,  1.28003    ,  1.21598e-09,  1.6411e-75 ])
5676    , -2336.8     , array([ 0.672636   ,  1.28003    ,  1.21476e-09,  1.64274e-75])
5677    , -2336.8     , array([ 0.456136   ,  1.28003    ,  7.26149e-10,  1.6411e-75 ])
5678    , -2336.8     , array([ 0.456136   ,  1.28003    ,  7.26149e-10,  1.6411e-75 ])
5679    , -2336.8     , array([ 0.456593   ,  1.28003    ,  7.26149e-10,  1.6411e-75 ])
5680    , -2336.8     , array([ 0.456136   ,  1.28131    ,  7.26149e-10,  1.6411e-75 ])
5681    , -2336.8     , array([ 0.456136   ,  1.28003    ,  7.26875e-10,  1.6411e-75 ])
5682    , -2336.8     , array([ 0.456136   ,  1.28003    ,  7.26149e-10,  1.64274e-75])
5683    , -2336.8     , array([ 0.338212   ,  1.28003    ,  4.88607e-10,  1.6411e-75 ])
5684    , -2336.8     , array([ 0.338212   ,  1.28003    ,  4.88607e-10,  1.6411e-75 ])
5685    , -2336.8     , array([ 0.338551   ,  1.28003    ,  4.88607e-10,  1.6411e-75 ])
5686    , -2336.8     , array([ 0.338212   ,  1.28131    ,  4.88607e-10,  1.6411e-75 ])
5687    , -2336.8     , array([ 0.338212   ,  1.28003    ,  4.89096e-10,  1.6411e-75 ])
5688    , -2336.8     , array([ 0.338212   ,  1.28003    ,  4.88607e-10,  1.64274e-75])
5689    , -2336.8     , array([ 0.278611   ,  1.28003    ,  3.77979e-10,  1.6411e-75 ])
5690    , -2336.8     , array([ 0.278611   ,  1.28003    ,  3.77979e-10,  1.6411e-75 ])
5691    , -2336.8     , array([ 0.27889    ,  1.28003    ,  3.77979e-10,  1.6411e-75 ])
5692    , -2336.8     , array([ 0.278611   ,  1.28131    ,  3.77979e-10,  1.6411e-75 ])
5693    , -2336.8     , array([ 0.278611   ,  1.28003    ,  3.78357e-10,  1.6411e-75 ])
5694    , -2336.8     , array([ 0.278611   ,  1.28003    ,  3.77979e-10,  1.64274e-75])
5695    , -2336.8     , array([ 0.251082   ,  1.28003    ,  3.29348e-10,  1.6411e-75 ])
5696    , -2336.8     , array([ 0.251082   ,  1.28003    ,  3.29348e-10,  1.6411e-75 ])
5697    , -2336.8     , array([ 0.251333   ,  1.28003    ,  3.29348e-10,  1.6411e-75 ])
5698    , -2336.8     , array([ 0.251082   ,  1.28131    ,  3.29348e-10,  1.6411e-75 ])
5699    , -2336.8     , array([ 0.251082   ,  1.28003    ,  3.29678e-10,  1.6411e-75 ])
5700    , -2336.8     , array([ 0.251082   ,  1.28003    ,  3.29348e-10,  1.64274e-75])
5701    , -2336.8     , array([ 0.24592    ,  1.28003    ,  3.20432e-10,  1.6411e-75 ])
5702    , -2336.8     , array([ 0.24592    ,  1.28003    ,  3.20432e-10,  1.6411e-75 ])
5703    , -2336.8     , array([ 0.246166   ,  1.28003    ,  3.20432e-10,  1.6411e-75 ])
5704    , -2336.8     , array([ 0.24592    ,  1.28131    ,  3.20432e-10,  1.6411e-75 ])
5705    , -2336.8     , array([ 0.24592    ,  1.28003    ,  3.20752e-10,  1.6411e-75 ])
5706    , -2336.8     , array([ 0.24592    ,  1.28003    ,  3.20432e-10,  1.64274e-75])
5707    , -2336.8     , array([ 0.246073   ,  1.28003    ,  3.20717e-10,  1.6411e-75 ])
5708    , -2336.8     , array([ 0.246073   ,  1.28003    ,  3.20717e-10,  1.6411e-75 ])
5709    , -2336.8     , array([ 0.246319   ,  1.28003    ,  3.20717e-10,  1.6411e-75 ])
5710    , -2336.8     , array([ 0.246073   ,  1.28131    ,  3.20717e-10,  1.6411e-75 ])
5711    , -2336.8     , array([ 0.246073   ,  1.28003    ,  3.21038e-10,  1.6411e-75 ])
5712    , -2336.8     , array([ 0.246073   ,  1.28003    ,  3.20717e-10,  1.64274e-75])
5713    , -2336.8     , array([ 0.246687   ,  1.28003    ,  3.21859e-10,  1.6411e-75 ])
5714    , -2336.8     , array([ 0.246687   ,  1.28003    ,  3.21859e-10,  1.6411e-75 ])
5715    , -2336.8     , array([ 0.246934   ,  1.28003    ,  3.21859e-10,  1.6411e-75 ])
5716    , -2336.8     , array([ 0.246687   ,  1.28131    ,  3.21859e-10,  1.6411e-75 ])
5717    , -2336.8     , array([ 0.246687   ,  1.28003    ,  3.22181e-10,  1.6411e-75 ])
5718    , -2336.8     , array([ 0.246687   ,  1.28003    ,  3.21859e-10,  1.64274e-75])
5719    , -2336.8     , array([ 0.249158   ,  1.28003    ,  3.26467e-10,  1.6411e-75 ])
5720    , -2336.8     , array([ 0.249158   ,  1.28003    ,  3.26467e-10,  1.6411e-75 ])
5721    , -2336.8     , array([ 0.249408   ,  1.28003    ,  3.26467e-10,  1.6411e-75 ])
5722    , -2336.8     , array([ 0.249158   ,  1.28131    ,  3.26467e-10,  1.6411e-75 ])
5723    , -2336.8     , array([ 0.249158   ,  1.28003    ,  3.26793e-10,  1.6411e-75 ])
5724    , -2336.8     , array([ 0.249158   ,  1.28003    ,  3.26467e-10,  1.64274e-75])
5725    , -2336.8     , array([ 0.251509   ,  1.28003    ,  3.31433e-10,  1.6411e-75 ])
5726    , -2336.8     , array([ 0.251509   ,  1.28003    ,  3.31433e-10,  1.6411e-75 ])
5727    , -2336.8     , array([ 0.251761   ,  1.28003    ,  3.31433e-10,  1.6411e-75 ])
5728    , -2336.8     , array([ 0.251509   ,  1.28131    ,  3.31433e-10,  1.6411e-75 ])
5729    , -2336.8     , array([ 0.251509   ,  1.28003    ,  3.31764e-10,  1.6411e-75 ])
5730    , -2336.8     , array([ 0.251509   ,  1.28003    ,  3.31433e-10,  1.64274e-75])
5731    , -2336.8     , array([ 0.261135   ,  1.28003    ,  3.52064e-10,  1.6411e-75 ])
5732    , -2336.8     , array([ 0.261135   ,  1.28003    ,  3.52064e-10,  1.6411e-75 ])
5733    , -2336.8     , array([ 0.261397   ,  1.28003    ,  3.52064e-10,  1.6411e-75 ])
5734    , -2336.8     , array([ 0.261135   ,  1.28131    ,  3.52064e-10,  1.6411e-75 ])
5735    , -2336.8     , array([ 0.261135   ,  1.28003    ,  3.52416e-10,  1.6411e-75 ])
5736    , -2336.8     , array([ 0.261135   ,  1.28003    ,  3.52064e-10,  1.64274e-75])
5737    , -2336.8     , array([ 0.303469   ,  1.28003    ,  4.48254e-10,  1.6411e-75 ])
5738    , -2336.8     , array([ 0.303469   ,  1.28003    ,  4.48254e-10,  1.6411e-75 ])
5739    , -2336.8     , array([ 0.303773   ,  1.28003    ,  4.48254e-10,  1.6411e-75 ])
5740    , -2336.8     , array([ 0.303469   ,  1.28131    ,  4.48254e-10,  1.6411e-75 ])
5741    , -2336.8     , array([ 0.303469   ,  1.28003    ,  4.48702e-10,  1.6411e-75 ])
5742    , -2336.8     , array([ 0.303469   ,  1.28003    ,  4.48254e-10,  1.64274e-75])
5743    , -2336.8     , array([ 0.4011     ,  1.28003    ,  7.30694e-10,  1.6411e-75 ])
5744    , -2336.8     , array([ 0.4011     ,  1.28003    ,  7.30694e-10,  1.6411e-75 ])
5745    , -2336.8     , array([ 0.401501   ,  1.28003    ,  7.30694e-10,  1.6411e-75 ])
5746    , -2336.8     , array([ 0.4011     ,  1.28131    ,  7.30694e-10,  1.6411e-75 ])
5747    , -2336.8     , array([ 0.4011     ,  1.28003    ,  7.31425e-10,  1.6411e-75 ])
5748    , -2336.8     , array([ 0.4011     ,  1.28003    ,  7.30694e-10,  1.64274e-75])
5749    , -2336.8     , array([ 0.457002   ,  1.28003    ,  1.01539e-09,  1.6411e-75 ])
5750    , -2336.8     , array([ 0.457002   ,  1.28003    ,  1.01539e-09,  1.6411e-75 ])
5751    , -2336.8     , array([ 0.457459   ,  1.28003    ,  1.01539e-09,  1.6411e-75 ])
5752    , -2336.8     , array([ 0.457002   ,  1.28131    ,  1.01539e-09,  1.6411e-75 ])
5753    , -2336.8     , array([ 0.457002   ,  1.28003    ,  1.01641e-09,  1.6411e-75 ])
5754    , -2336.8     , array([ 0.457002   ,  1.28003    ,  1.01539e-09,  1.64274e-75])
5755    , -2336.8     , array([ 0.531635   ,  1.28003    ,  1.62814e-09,  1.6411e-75 ])
5756    , -2336.8     , array([ 0.531635   ,  1.28003    ,  1.62814e-09,  1.6411e-75 ])
5757    , -2336.8     , array([ 0.532167   ,  1.28003    ,  1.62814e-09,  1.6411e-75 ])
5758    , -2336.8     , array([ 0.531635   ,  1.28131    ,  1.62814e-09,  1.6411e-75 ])
5759    , -2336.8     , array([ 0.531635   ,  1.28003    ,  1.62977e-09,  1.6411e-75 ])
5760    , -2336.8     , array([ 0.531635   ,  1.28003    ,  1.62814e-09,  1.64274e-75])
5761    , -2336.8     , array([ 0.973639   ,  1.28003    ,  1.07629e-08,  1.6411e-75 ])
5762    , -2336.8     , array([ 0.973639   ,  1.28003    ,  1.07629e-08,  1.6411e-75 ])
5763    , -2336.8     , array([ 0.974613   ,  1.28003    ,  1.07629e-08,  1.6411e-75 ])
5764    , -2336.8     , array([ 0.973639   ,  1.28131    ,  1.07629e-08,  1.6411e-75 ])
5765    , -2336.8     , array([ 0.973639   ,  1.28003    ,  1.07736e-08,  1.6411e-75 ])
5766    , -2336.8     , array([ 0.973639   ,  1.28003    ,  1.07629e-08,  1.64274e-75])
5767    , -2336.8     , array([ 0.647817   ,  1.28003    ,  3.01733e-09,  1.6411e-75 ])
5768    , -2336.8     , array([ 0.647817   ,  1.28003    ,  3.01733e-09,  1.6411e-75 ])
5769    , -2336.8     , array([ 0.648465   ,  1.28003    ,  3.01733e-09,  1.6411e-75 ])
5770    , -2336.8     , array([ 0.647817   ,  1.28131    ,  3.01733e-09,  1.6411e-75 ])
5771    , -2336.8     , array([ 0.647817   ,  1.28003    ,  3.02035e-09,  1.6411e-75 ])
5772    , -2336.8     , array([ 0.647817   ,  1.28003    ,  3.01733e-09,  1.64274e-75])
5773    , -2336.8     , array([ 0.838354   ,  1.28003    ,  1.06999e-08,  1.6411e-75 ])
5774    , -2336.8     , array([ 0.838354   ,  1.28003    ,  1.06999e-08,  1.6411e-75 ])
5775    , -2336.8     , array([ 0.839193   ,  1.28003    ,  1.06999e-08,  1.6411e-75 ])
5776    , -2336.8     , array([ 0.838354   ,  1.28131    ,  1.06999e-08,  1.6411e-75 ])
5777    , -2336.8     , array([ 0.838354   ,  1.28003    ,  1.07106e-08,  1.6411e-75 ])
5778    , -2336.8     , array([ 0.838354   ,  1.28003    ,  1.06999e-08,  1.64274e-75])
5779    , -2336.8     , array([ 0.843393   ,  1.28003    ,  1.68002e-08,  1.6411e-75 ])
5780    , -2336.8     , array([ 0.843393   ,  1.28003    ,  1.68002e-08,  1.6411e-75 ])
5781    , -2336.8     , array([ 0.844237   ,  1.28003    ,  1.68002e-08,  1.6411e-75 ])
5782    , -2336.8     , array([ 0.843393   ,  1.28131    ,  1.68002e-08,  1.6411e-75 ])
5783    , -2336.8     , array([ 0.843393   ,  1.28003    ,  1.6817e-08 ,  1.6411e-75 ])
5784    , -2336.8     , array([ 0.843393   ,  1.28003    ,  1.68002e-08,  1.64274e-75])
5785    , -2336.8     , array([ 0.863853   ,  1.28003    ,  1.02105e-07,  1.6411e-75 ])
