5004    , -2330.18    , array([ 4.83077    ,  0.636271   ,  5.1334e-55 ,  0.000606256])
5005    , -2330.18    , array([ 4.83561    ,  0.636271   ,  5.1334e-55 ,  0.000606256])
5006    , -2330.2     , array([ 4.83077    ,  0.636907   ,  5.1334e-55 ,  0.000606256])
5007    , -2330.18    , array([ 4.83077    ,  0.636271   ,  5.13854e-55,  0.000606256])
5008    , -2330.17    , array([ 4.83077    ,  0.636271   ,  5.1334e-55 ,  0.000606862])
5009    , -2330.18    , array([ 4.83077    ,  0.636271   ,  5.1334e-55 ,  0.000606256])
5010    , -2288.36    , array([ 4.83077    ,  0.246318   ,  5.1334e-55 ,  0.000856615])
5011    , -2288.36    , array([ 4.83077    ,  0.246318   ,  5.1334e-55 ,  0.000856615])
5012    , -2288.36    , array([ 4.83561    ,  0.246318   ,  5.1334e-55 ,  0.000856615])
5013    , -2288.42    , array([ 4.83077    ,  0.246565   ,  5.1334e-55 ,  0.000856615])
5014    , -2288.36    , array([ 4.83077    ,  0.246318   ,  5.13854e-55,  0.000856615])
5015    , -2288.31    , array([ 4.83077    ,  0.246318   ,  5.1334e-55 ,  0.000857472])
5016    , -4930.1     , array([ 4.83077    ,  0.00553242 ,  5.1334e-55 ,  0.00341433 ])
5017    , -4930.1     , array([ 4.83077    ,  0.00553242 ,  5.1334e-55 ,  0.00341433 ])
5018    , -4930.1     , array([ 4.83561    ,  0.00553242 ,  5.1334e-55 ,  0.00341433 ])
5019    , -4926.22    , array([ 4.83077    ,  0.00553796 ,  5.1334e-55 ,  0.00341433 ])
5020    , -4930.1     , array([ 4.83077    ,  0.00553242 ,  5.13854e-55,  0.00341433 ])
5021    , -4933.72    , array([ 4.83077    ,  0.00553242 ,  5.1334e-55 ,  0.00341775 ])
5022    , -2106       , array([ 4.83077    ,  0.0800697  ,  5.1334e-55 ,  0.0012899  ])
5023    , -2106       , array([ 4.83077    ,  0.0800697  ,  5.1334e-55 ,  0.0012899  ])
5024    , -2106       , array([ 4.83561    ,  0.0800697  ,  5.1334e-55 ,  0.0012899  ])
5025    , -2106.2     , array([ 4.83077    ,  0.0801498  ,  5.1334e-55 ,  0.0012899  ])
5026    , -2106       , array([ 4.83077    ,  0.0800697  ,  5.13854e-55,  0.0012899  ])
5027    , -2105.81    , array([ 4.83077    ,  0.0800697  ,  5.1334e-55 ,  0.00129119 ])
5028    , -1778.58    , array([ 4.83077    ,  0.0255437  ,  5.1334e-55 ,  0.00195569 ])
5029    , -1778.58    , array([ 4.83077    ,  0.0255437  ,  5.1334e-55 ,  0.00195569 ])
5030    , -1778.58    , array([ 4.83561    ,  0.0255437  ,  5.1334e-55 ,  0.00195569 ])
5031    , -1778.63    , array([ 4.83077    ,  0.0255693  ,  5.1334e-55 ,  0.00195569 ])
5032    , -1778.58    , array([ 4.83077    ,  0.0255437  ,  5.13854e-55,  0.00195569 ])
5033    , -1778.5     , array([ 4.83077    ,  0.0255437  ,  5.1334e-55 ,  0.00195765 ])
5034    , -1775.83    , array([ 4.83077    ,  0.0229093  ,  5.1334e-55 ,  0.00203479 ])
5035    , -1775.83    , array([ 4.83077    ,  0.0229093  ,  5.1334e-55 ,  0.00203479 ])
5036    , -1775.83    , array([ 4.83561    ,  0.0229093  ,  5.1334e-55 ,  0.00203479 ])
5037    , -1775.8     , array([ 4.83077    ,  0.0229322  ,  5.1334e-55 ,  0.00203479 ])
5038    , -1775.83    , array([ 4.83077    ,  0.0229093  ,  5.13854e-55,  0.00203479 ])
5039    , -1775.84    , array([ 4.83077    ,  0.0229093  ,  5.1334e-55 ,  0.00203683 ])
5040    , -1775.19    , array([ 4.83077    ,  0.0237243  ,  5.1334e-55 ,  0.00200904 ])
5041    , -1775.19    , array([ 4.83077    ,  0.0237243  ,  5.1334e-55 ,  0.00200904 ])
5042    , -1775.19    , array([ 4.83561    ,  0.0237243  ,  5.1334e-55 ,  0.00200904 ])
5043    , -1775.18    , array([ 4.83077    ,  0.023748   ,  5.1334e-55 ,  0.00200904 ])
5044    , -1775.19    , array([ 4.83077    ,  0.0237243  ,  5.13854e-55,  0.00200904 ])
5045    , -1775.17    , array([ 4.83077    ,  0.0237243  ,  5.1334e-55 ,  0.00201105 ])
5052    , -1775.19    , array([ 4.83077    ,  0.0237238  ,  5.1334e-55 ,  0.00200911 ])
5053    , -1775.19    , array([ 4.83077    ,  0.0237238  ,  5.1334e-55 ,  0.00200911 ])
5054    , -1775.19    , array([ 4.83561    ,  0.0237238  ,  5.1334e-55 ,  0.00200911 ])
5055    , -1775.18    , array([ 4.83077    ,  0.0237476  ,  5.1334e-55 ,  0.00200911 ])
5056    , -1775.19    , array([ 4.83077    ,  0.0237238  ,  5.13854e-55,  0.00200911 ])
5057    , -1775.17    , array([ 4.83077    ,  0.0237238  ,  5.1334e-55 ,  0.00201112 ])
5058    , -1775.18    , array([ 4.83077    ,  0.0237212  ,  5.1334e-55 ,  0.00200947 ])
5059    , -1775.18    , array([ 4.83077    ,  0.0237212  ,  5.1334e-55 ,  0.00200947 ])
5060    , -1775.18    , array([ 4.83561    ,  0.0237212  ,  5.1334e-55 ,  0.00200947 ])
5061    , -1775.18    , array([ 4.83077    ,  0.0237449  ,  5.1334e-55 ,  0.00200947 ])
5062    , -1775.18    , array([ 4.83077    ,  0.0237212  ,  5.13854e-55,  0.00200947 ])
5063    , -1775.16    , array([ 4.83077    ,  0.0237212  ,  5.1334e-55 ,  0.00201148 ])
5070    , -1775.18    , array([ 4.83077    ,  0.0237211  ,  5.1334e-55 ,  0.00200949 ])
5071    , -1775.18    , array([ 4.83077    ,  0.0237211  ,  5.1334e-55 ,  0.00200949 ])
5072    , -1775.18    , array([ 4.83561    ,  0.0237211  ,  5.1334e-55 ,  0.00200949 ])
5073    , -1775.18    , array([ 4.83077    ,  0.0237448  ,  5.1334e-55 ,  0.00200949 ])
5074    , -1775.18    , array([ 4.83077    ,  0.0237211  ,  5.13854e-55,  0.00200949 ])
5075    , -1775.16    , array([ 4.83077    ,  0.0237211  ,  5.1334e-55 ,  0.0020115  ])
5076    , -1775.18    , array([ 4.83077    ,  0.0237204  ,  5.1334e-55 ,  0.00200957 ])
5077    , -1775.18    , array([ 4.83077    ,  0.0237204  ,  5.1334e-55 ,  0.00200957 ])
5078    , -1775.18    , array([ 4.83561    ,  0.0237204  ,  5.1334e-55 ,  0.00200957 ])
5079    , -1775.18    , array([ 4.83077    ,  0.0237441  ,  5.1334e-55 ,  0.00200957 ])
5080    , -1775.18    , array([ 4.83077    ,  0.0237204  ,  5.13854e-55,  0.00200957 ])
5081    , -1775.16    , array([ 4.83077    ,  0.0237204  ,  5.1334e-55 ,  0.00201158 ])
5088    , -1775.18    , array([ 4.83077    ,  0.0237204  ,  5.1334e-55 ,  0.00200958 ])
5089    , -1775.18    , array([ 4.83077    ,  0.0237204  ,  5.1334e-55 ,  0.00200958 ])
5090    , -1775.18    , array([ 4.83561    ,  0.0237204  ,  5.1334e-55 ,  0.00200958 ])
5091    , -1775.18    , array([ 4.83077    ,  0.0237441  ,  5.1334e-55 ,  0.00200958 ])
5092    , -1775.18    , array([ 4.83077    ,  0.0237204  ,  5.13854e-55,  0.00200958 ])
5093    , -1775.16    , array([ 4.83077    ,  0.0237204  ,  5.1334e-55 ,  0.00201159 ])
5094    , -1775.18    , array([ 4.83077    ,  0.0237202  ,  5.1334e-55 ,  0.0020096  ])
5095    , -1775.18    , array([ 4.83077    ,  0.0237202  ,  5.1334e-55 ,  0.0020096  ])
5096    , -1775.18    , array([ 4.83561    ,  0.0237202  ,  5.1334e-55 ,  0.0020096  ])
5097    , -1775.18    , array([ 4.83077    ,  0.0237439  ,  5.1334e-55 ,  0.0020096  ])
5098    , -1775.18    , array([ 4.83077    ,  0.0237202  ,  5.13854e-55,  0.0020096  ])
5099    , -1775.16    , array([ 4.83077    ,  0.0237202  ,  5.1334e-55 ,  0.00201161 ])
5100    , -2336.8     , array([ 4.83077    ,  0.0018411  ,  5.1334e-55 ,  0.123099   ])
5101    , -2336.8     , array([ 4.83077    ,  0.0018411  ,  5.1334e-55 ,  0.123099   ])
5102    , -2336.8     , array([ 4.83561    ,  0.0018411  ,  5.1334e-55 ,  0.123099   ])
5103    , -2336.8     , array([ 4.83077    ,  0.00184294 ,  5.1334e-55 ,  0.123099   ])
5104    , -2336.8     , array([ 4.83077    ,  0.0018411  ,  5.13854e-55,  0.123099   ])
5105    , -2336.8     , array([ 4.83077    ,  0.0018411  ,  5.1334e-55 ,  0.123222   ])
5106    , -1779.48    , array([ 4.83077    ,  0.0225625  ,  5.1334e-55 ,  0.00217819 ])
5107    , -1779.48    , array([ 4.83077    ,  0.0225625  ,  5.1334e-55 ,  0.00217819 ])
5108    , -1779.48    , array([ 4.83561    ,  0.0225625  ,  5.1334e-55 ,  0.00217819 ])
5109    , -1779.38    , array([ 4.83077    ,  0.0225851  ,  5.1334e-55 ,  0.00217819 ])
5110    , -1779.48    , array([ 4.83077    ,  0.0225625  ,  5.13854e-55,  0.00217819 ])
5111    , -1779.55    , array([ 4.83077    ,  0.0225625  ,  5.1334e-55 ,  0.00218037 ])
5112    , -1775.09    , array([ 4.83077    ,  0.0235723  ,  5.1334e-55 ,  0.00202995 ])
5113    , -1775.09    , array([ 4.83077    ,  0.0235723  ,  5.1334e-55 ,  0.00202995 ])
5114    , -1775.09    , array([ 4.83561    ,  0.0235723  ,  5.1334e-55 ,  0.00202995 ])
5115    , -1775.08    , array([ 4.83077    ,  0.0235958  ,  5.1334e-55 ,  0.00202995 ])
