8432    , -2336.8     , array([ 4.05541    ,  0.00535276 ,  7.61374e-43,  1.87936e-09])
8433    , -2336.8     , array([ 4.05947    ,  0.00535276 ,  7.61374e-43,  1.87936e-09])
8434    , -2336.8     , array([ 4.05541    ,  0.00535812 ,  7.61374e-43,  1.87936e-09])
8435    , -2336.8     , array([ 4.05541    ,  0.00535276 ,  7.62136e-43,  1.87936e-09])
8436    , -2336.8     , array([ 4.05541    ,  0.00535276 ,  7.61374e-43,  1.88124e-09])
8437    , -2336.8     , array([ 4.05541    ,  0.00535276 ,  7.61374e-43,  1.87936e-09])
8438    , -2336.8     , array([ 4.05541    ,  0.0053168  ,  7.61374e-43,  1.89201e-09])
8439    , -2336.8     , array([ 4.05541    ,  0.0053168  ,  7.61374e-43,  1.89201e-09])
8440    , -2336.8     , array([ 4.05947    ,  0.0053168  ,  7.61374e-43,  1.89201e-09])
8441    , -2336.8     , array([ 4.05541    ,  0.00532211 ,  7.61374e-43,  1.89201e-09])
8442    , -2336.8     , array([ 4.05541    ,  0.0053168  ,  7.62136e-43,  1.89201e-09])
8443    , -2336.8     , array([ 4.05541    ,  0.0053168  ,  7.61374e-43,  1.89391e-09])
8444    , -2336.8     , array([ 4.05541    ,  0.00517532 ,  7.61374e-43,  1.94351e-09])
8445    , -2336.8     , array([ 4.05541    ,  0.00517532 ,  7.61374e-43,  1.94351e-09])
8446    , -2336.8     , array([ 4.05947    ,  0.00517532 ,  7.61374e-43,  1.94351e-09])
8447    , -2336.8     , array([ 4.05541    ,  0.0051805  ,  7.61374e-43,  1.94351e-09])
8448    , -2336.8     , array([ 4.05541    ,  0.00517532 ,  7.62136e-43,  1.94351e-09])
8449    , -2336.8     , array([ 4.05541    ,  0.00517532 ,  7.61374e-43,  1.94545e-09])
8450    , -2336.8     , array([ 4.05541    ,  0.00464608 ,  7.61374e-43,  2.16387e-09])
8451    , -2336.8     , array([ 4.05541    ,  0.00464608 ,  7.61374e-43,  2.16387e-09])
8452    , -2336.8     , array([ 4.05947    ,  0.00464608 ,  7.61374e-43,  2.16387e-09])
8453    , -2336.8     , array([ 4.05541    ,  0.00465073 ,  7.61374e-43,  2.16387e-09])
8454    , -2336.8     , array([ 4.05541    ,  0.00464608 ,  7.62136e-43,  2.16387e-09])
8455    , -2336.8     , array([ 4.05541    ,  0.00464608 ,  7.61374e-43,  2.16604e-09])
8456    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8457    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8458    , -2336.78    , array([ 4.05947    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8459    , -2336.78    , array([ 4.05541    ,  0.00302079 ,  7.61374e-43,  3.32519e-09])
8460    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.62136e-43,  3.32519e-09])
8461    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32852e-09])
8468    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8469    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8470    , -2336.78    , array([ 4.05947    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8471    , -2336.78    , array([ 4.05541    ,  0.00302079 ,  7.61374e-43,  3.32519e-09])
8472    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.62136e-43,  3.32519e-09])
8473    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32852e-09])
8474    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8475    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8476    , -2336.78    , array([ 4.05947    ,  0.00301777 ,  7.61374e-43,  3.32519e-09])
8477    , -2336.78    , array([ 4.05541    ,  0.00302079 ,  7.61374e-43,  3.32519e-09])
8478    , -2336.78    , array([ 4.05541    ,  0.00301777 ,  7.62136e-43,  3.32519e-09])
