10509   , -5073.14    , array([ 2.66284    ,  3.57233    ,  0.187347   ,  2.83459e-16])
10510   , -5075.8     , array([ 2.6655     ,  3.57233    ,  0.187347   ,  2.83459e-16])
10511   , -5073.14    , array([ 2.66284    ,  3.5759     ,  0.187347   ,  2.83459e-16])
10512   , -5075.33    , array([ 2.66284    ,  3.57233    ,  0.187534   ,  2.83459e-16])
10513   , -5073.14    , array([ 2.66284    ,  3.57233    ,  0.187347   ,  2.83743e-16])
10514   , -5073.14    , array([ 2.66284    ,  3.57233    ,  0.187347   ,  2.83459e-16])
10515   , -2671.92    , array([ 1.22026    ,  3.57233    ,  0.0986645  ,  2.83459e-16])
10516   , -2671.92    , array([ 1.22026    ,  3.57233    ,  0.0986645  ,  2.83459e-16])
10517   , -2673.6     , array([ 1.22148    ,  3.57233    ,  0.0986645  ,  2.83459e-16])
10518   , -2671.92    , array([ 1.22026    ,  3.5759     ,  0.0986645  ,  2.83459e-16])
10519   , -2672.2     , array([ 1.22026    ,  3.57233    ,  0.0987633  ,  2.83459e-16])
10520   , -2671.92    , array([ 1.22026    ,  3.57233    ,  0.0986645  ,  2.83743e-16])
10521   , -2326.69    , array([ 0.0517516  ,  3.57233    ,  0.502236   ,  2.83459e-16])
10522   , -2326.69    , array([ 0.0517516  ,  3.57233    ,  0.502236   ,  2.83459e-16])
10523   , -2326.6     , array([ 0.0518034  ,  3.57233    ,  0.502236   ,  2.83459e-16])
10524   , -2326.69    , array([ 0.0517516  ,  3.5759     ,  0.502236   ,  2.83459e-16])
10525   , -2326.78    , array([ 0.0517516  ,  3.57233    ,  0.502739   ,  2.83459e-16])
10526   , -2326.69    , array([ 0.0517516  ,  3.57233    ,  0.502236   ,  2.83743e-16])
10527   , -2058.83    , array([ 0.0677777  ,  3.57233    ,  0.410705   ,  2.83459e-16])
10528   , -2058.83    , array([ 0.0677777  ,  3.57233    ,  0.410705   ,  2.83459e-16])
10529   , -2057.53    , array([ 0.0678455  ,  3.57233    ,  0.410705   ,  2.83459e-16])
10530   , -2058.83    , array([ 0.0677777  ,  3.5759     ,  0.410705   ,  2.83459e-16])
10531   , -2060.4     , array([ 0.0677777  ,  3.57233    ,  0.411116   ,  2.83459e-16])
10532   , -2058.83    , array([ 0.0677777  ,  3.57233    ,  0.410705   ,  2.83743e-16])
10533   , -808.25     , array([ 0.199405   ,  3.57233    ,  0.183661   ,  2.83459e-16])
10534   , -808.25     , array([ 0.199405   ,  3.57233    ,  0.183661   ,  2.83459e-16])
10535   , -807.632    , array([ 0.199605   ,  3.57233    ,  0.183661   ,  2.83459e-16])
10536   , -808.25     , array([ 0.199405   ,  3.5759     ,  0.183661   ,  2.83459e-16])
10537   , -807.514    , array([ 0.199405   ,  3.57233    ,  0.183845   ,  2.83459e-16])
