199     , -2321.39    , array([ 0.413245   ,  0.00724935 ,  0.000571944,  1.36188e-22])
200     , -2321.41    , array([ 0.413658   ,  0.00724935 ,  0.000571944,  1.36188e-22])
201     , -2321.39    , array([ 0.413245   ,  0.0072566  ,  0.000571944,  1.36188e-22])
202     , -2321.37    , array([ 0.413245   ,  0.00724935 ,  0.000572516,  1.36188e-22])
203     , -2321.39    , array([ 0.413245   ,  0.00724935 ,  0.000571944,  1.36324e-22])
204     , -2321.39    , array([ 0.413245   ,  0.00724935 ,  0.000571944,  1.36188e-22])
205     , -2254.86    , array([ 0.172995   ,  0.00724935 ,  0.000954081,  1.36188e-22])
206     , -2254.86    , array([ 0.172995   ,  0.00724935 ,  0.000954081,  1.36188e-22])
207     , -2254.96    , array([ 0.173168   ,  0.00724935 ,  0.000954081,  1.36188e-22])
208     , -2254.86    , array([ 0.172995   ,  0.0072566  ,  0.000954081,  1.36188e-22])
209     , -2254.79    , array([ 0.172995   ,  0.00724935 ,  0.000955036,  1.36188e-22])
210     , -2254.86    , array([ 0.172995   ,  0.00724935 ,  0.000954081,  1.36324e-22])
211     , -7438.18    , array([ 0.00531296 ,  0.00724935 ,  0.00738779 ,  1.36188e-22])
212     , -7438.18    , array([ 0.00531296 ,  0.00724935 ,  0.00738779 ,  1.36188e-22])
213     , -7435.99    , array([ 0.00531828 ,  0.00724935 ,  0.00738779 ,  1.36188e-22])
214     , -7438.18    , array([ 0.00531296 ,  0.0072566  ,  0.00738779 ,  1.36188e-22])
215     , -7439.53    , array([ 0.00531296 ,  0.00724935 ,  0.00739518 ,  1.36188e-22])
216     , -7438.18    , array([ 0.00531296 ,  0.00724935 ,  0.00738779 ,  1.36324e-22])
217     , -2234.03    , array([ 0.150783   ,  0.00724935 ,  0.00103432 ,  1.36188e-22])
218     , -2234.03    , array([ 0.150783   ,  0.00724935 ,  0.00103432 ,  1.36188e-22])
219     , -2234.15    , array([ 0.150934   ,  0.00724935 ,  0.00103432 ,  1.36188e-22])
220     , -2234.03    , array([ 0.150783   ,  0.0072566  ,  0.00103432 ,  1.36188e-22])
221     , -2233.94    , array([ 0.150783   ,  0.00724935 ,  0.00103536 ,  1.36188e-22])
222     , -2234.03    , array([ 0.150783   ,  0.00724935 ,  0.00103432 ,  1.36324e-22])
223     , -2208.52    , array([ 0.131127   ,  0.00724935 ,  0.0011228  ,  1.36188e-22])
224     , -2208.52    , array([ 0.131127   ,  0.00724935 ,  0.0011228  ,  1.36188e-22])
225     , -2208.66    , array([ 0.131259   ,  0.00724935 ,  0.0011228  ,  1.36188e-22])
226     , -2208.52    , array([ 0.131127   ,  0.0072566  ,  0.0011228  ,  1.36188e-22])
227     , -2208.41    , array([ 0.131127   ,  0.00724935 ,  0.00112392 ,  1.36188e-22])
228     , -2208.52    , array([ 0.131127   ,  0.00724935 ,  0.0011228  ,  1.36324e-22])
229     , -1786.17    , array([ 0.0263946  ,  0.00724935 ,  0.00288011 ,  1.36188e-22])
230     , -1786.17    , array([ 0.0263946  ,  0.00724935 ,  0.00288011 ,  1.36188e-22])
231     , -1785.98    , array([ 0.026421   ,  0.00724935 ,  0.00288011 ,  1.36188e-22])
232     , -1786.17    , array([ 0.0263946  ,  0.0072566  ,  0.00288011 ,  1.36188e-22])
233     , -1786.32    , array([ 0.0263946  ,  0.00724935 ,  0.00288299 ,  1.36188e-22])
234     , -1786.17    , array([ 0.0263946  ,  0.00724935 ,  0.00288011 ,  1.36324e-22])
235     , -2014.53    , array([ 0.0673242  ,  0.00724935 ,  0.00166126 ,  1.36188e-22])
236     , -2014.53    , array([ 0.0673242  ,  0.00724935 ,  0.00166126 ,  1.36188e-22])
237     , -2014.77    , array([ 0.0673916  ,  0.00724935 ,  0.00166126 ,  1.36188e-22])
238     , -2014.53    , array([ 0.0673242  ,  0.0072566  ,  0.00166126 ,  1.36188e-22])
239     , -2014.3     , array([ 0.0673242  ,  0.00724935 ,  0.00166293 ,  1.36188e-22])
240     , -2014.53    , array([ 0.0673242  ,  0.00724935 ,  0.00166126 ,  1.36324e-22])
241     , -1768.14    , array([ 0.0310146  ,  0.00724935 ,  0.00261965 ,  1.36188e-22])
242     , -1768.14    , array([ 0.0310146  ,  0.00724935 ,  0.00261965 ,  1.36188e-22])
243     , -1768.16    , array([ 0.0310457  ,  0.00724935 ,  0.00261965 ,  1.36188e-22])
244     , -1768.14    , array([ 0.0310146  ,  0.0072566  ,  0.00261965 ,  1.36188e-22])
245     , -1768.1     , array([ 0.0310146  ,  0.00724935 ,  0.00262227 ,  1.36188e-22])
246     , -1768.14    , array([ 0.0310146  ,  0.00724935 ,  0.00261965 ,  1.36324e-22])
247     , -1767.75    , array([ 0.0303389  ,  0.00724935 ,  0.00265378 ,  1.36188e-22])
248     , -1767.75    , array([ 0.0303389  ,  0.00724935 ,  0.00265378 ,  1.36188e-22])
249     , -1767.74    , array([ 0.0303693  ,  0.00724935 ,  0.00265378 ,  1.36188e-22])
250     , -1767.75    , array([ 0.0303389  ,  0.0072566  ,  0.00265378 ,  1.36188e-22])
251     , -1767.73    , array([ 0.0303389  ,  0.00724935 ,  0.00265643 ,  1.36188e-22])
252     , -1767.75    , array([ 0.0303389  ,  0.00724935 ,  0.00265378 ,  1.36324e-22])
259     , -1767.75    , array([ 0.0303388  ,  0.00724935 ,  0.00265384 ,  1.36188e-22])
260     , -1767.75    , array([ 0.0303388  ,  0.00724935 ,  0.00265384 ,  1.36188e-22])
261     , -1767.74    , array([ 0.0303692  ,  0.00724935 ,  0.00265384 ,  1.36188e-22])
262     , -1767.75    , array([ 0.0303388  ,  0.0072566  ,  0.00265384 ,  1.36188e-22])
263     , -1767.73    , array([ 0.0303388  ,  0.00724935 ,  0.0026565  ,  1.36188e-22])
264     , -1767.75    , array([ 0.0303388  ,  0.00724935 ,  0.00265384 ,  1.36324e-22])
265     , -1767.75    , array([ 0.0303386  ,  0.00724935 ,  0.00265405 ,  1.36188e-22])
266     , -1767.75    , array([ 0.0303386  ,  0.00724935 ,  0.00265405 ,  1.36188e-22])
267     , -1767.74    , array([ 0.0303689  ,  0.00724935 ,  0.00265405 ,  1.36188e-22])
268     , -1767.75    , array([ 0.0303386  ,  0.0072566  ,  0.00265405 ,  1.36188e-22])
269     , -1767.73    , array([ 0.0303386  ,  0.00724935 ,  0.0026567  ,  1.36188e-22])
