5178    , -4174.1     , array([ 0.830198   ,  23.9026    ,  1.33563e-60,  0.0630029  ])
5179    , -4174.1     , array([ 0.831029   ,  23.9026    ,  1.33563e-60,  0.0630029  ])
5180    , -4174.24    , array([ 0.830198   ,  23.9265    ,  1.33563e-60,  0.0630029  ])
5181    , -4174.1     , array([ 0.830198   ,  23.9026    ,  1.33697e-60,  0.0630029  ])
5182    , -4176.32    , array([ 0.830198   ,  23.9026    ,  1.33563e-60,  0.063066   ])
5183    , -4174.1     , array([ 0.830198   ,  23.9026    ,  1.33563e-60,  0.0630029  ])
5184    , -2881.08    , array([ 0.830198   ,  22.4854    ,  1.33563e-60,  0.0229894  ])
5185    , -2881.08    , array([ 0.830198   ,  22.4854    ,  1.33563e-60,  0.0229894  ])
5186    , -2881.08    , array([ 0.831029   ,  22.4854    ,  1.33563e-60,  0.0229894  ])
5187    , -2881.11    , array([ 0.830198   ,  22.5079    ,  1.33563e-60,  0.0229894  ])
5188    , -2881.08    , array([ 0.830198   ,  22.4854    ,  1.33697e-60,  0.0229894  ])
5189    , -2881.72    , array([ 0.830198   ,  22.4854    ,  1.33563e-60,  0.0230124  ])
5196    , -2881.08    , array([ 0.830198   ,  22.4855    ,  1.33563e-60,  0.0229894  ])
5197    , -2881.08    , array([ 0.830198   ,  22.4855    ,  1.33563e-60,  0.0229894  ])
5198    , -2881.08    , array([ 0.831029   ,  22.4855    ,  1.33563e-60,  0.0229894  ])
5199    , -2881.11    , array([ 0.830198   ,  22.508     ,  1.33563e-60,  0.0229894  ])
5200    , -2881.08    , array([ 0.830198   ,  22.4855    ,  1.33697e-60,  0.0229894  ])
5201    , -2881.72    , array([ 0.830198   ,  22.4855    ,  1.33563e-60,  0.0230124  ])
5202    , -2881.08    , array([ 0.830198   ,  22.4856    ,  1.33563e-60,  0.0229894  ])
5203    , -2881.08    , array([ 0.830198   ,  22.4856    ,  1.33563e-60,  0.0229894  ])
5204    , -2881.08    , array([ 0.831029   ,  22.4856    ,  1.33563e-60,  0.0229894  ])
5205    , -2881.11    , array([ 0.830198   ,  22.5081    ,  1.33563e-60,  0.0229894  ])
5206    , -2881.08    , array([ 0.830198   ,  22.4856    ,  1.33697e-60,  0.0229894  ])
5207    , -2881.72    , array([ 0.830198   ,  22.4856    ,  1.33563e-60,  0.0230124  ])
5214    , -2881.08    , array([ 0.830198   ,  22.4856    ,  1.33563e-60,  0.0229894  ])
