5315    , -2336.72    , array([ 2.46477    ,  0.0280959  ,  4.55669e-43,  1.22673e-07])
5316    , -2336.72    , array([ 2.46723    ,  0.0280959  ,  4.55669e-43,  1.22673e-07])
5317    , -2336.72    , array([ 2.46477    ,  0.028124   ,  4.55669e-43,  1.22673e-07])
5318    , -2336.72    , array([ 2.46477    ,  0.0280959  ,  4.56125e-43,  1.22673e-07])
5319    , -2336.72    , array([ 2.46477    ,  0.0280959  ,  4.55669e-43,  1.22796e-07])
5320    , -2336.72    , array([ 2.46477    ,  0.0280959  ,  4.55669e-43,  1.22673e-07])
5321    , -2336.71    , array([ 2.46477    ,  0.0258365  ,  4.55669e-43,  1.33098e-07])
5322    , -2336.71    , array([ 2.46477    ,  0.0258365  ,  4.55669e-43,  1.33098e-07])
5323    , -2336.71    , array([ 2.46723    ,  0.0258365  ,  4.55669e-43,  1.33098e-07])
5324    , -2336.71    , array([ 2.46477    ,  0.0258623  ,  4.55669e-43,  1.33098e-07])
5325    , -2336.71    , array([ 2.46477    ,  0.0258365  ,  4.56125e-43,  1.33098e-07])
5326    , -2336.71    , array([ 2.46477    ,  0.0258365  ,  4.55669e-43,  1.33231e-07])
5327    , -2336.62    , array([ 2.46477    ,  0.0184754  ,  4.55669e-43,  1.84442e-07])
5328    , -2336.62    , array([ 2.46477    ,  0.0184754  ,  4.55669e-43,  1.84442e-07])
5329    , -2336.62    , array([ 2.46723    ,  0.0184754  ,  4.55669e-43,  1.84442e-07])
5330    , -2336.62    , array([ 2.46477    ,  0.0184939  ,  4.55669e-43,  1.84442e-07])
5331    , -2336.62    , array([ 2.46477    ,  0.0184754  ,  4.56125e-43,  1.84442e-07])
5332    , -2336.62    , array([ 2.46477    ,  0.0184754  ,  4.55669e-43,  1.84626e-07])
5333    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5334    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5335    , -2334.12    , array([ 2.46723    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5336    , -2334.12    , array([ 2.46477    ,  0.00483586 ,  4.55669e-43,  6.80163e-07])
5337    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.56125e-43,  6.80163e-07])
5338    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80844e-07])
5345    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5346    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5347    , -2334.12    , array([ 2.46723    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5348    , -2334.12    , array([ 2.46477    ,  0.00483586 ,  4.55669e-43,  6.80163e-07])
5349    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.56125e-43,  6.80163e-07])
5350    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80844e-07])
5351    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5352    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5353    , -2334.12    , array([ 2.46723    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5354    , -2334.12    , array([ 2.46477    ,  0.00483586 ,  4.55669e-43,  6.80163e-07])
5355    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.56125e-43,  6.80163e-07])
5356    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80844e-07])
5363    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
5364    , -2334.12    , array([ 2.46477    ,  0.00483103 ,  4.55669e-43,  6.80163e-07])
