2504    , -6832.82    , array([ 4.41941    ,  34.1309    ,  1.90074e-54,  0.132424   ])
2505    , -6832.82    , array([ 4.42383    ,  34.1309    ,  1.90074e-54,  0.132424   ])
2506    , -6833.13    , array([ 4.41941    ,  34.165     ,  1.90074e-54,  0.132424   ])
2507    , -6832.82    , array([ 4.41941    ,  34.1309    ,  1.90264e-54,  0.132424   ])
2508    , -6837.86    , array([ 4.41941    ,  34.1309    ,  1.90074e-54,  0.132556   ])
2509    , -6832.82    , array([ 4.41941    ,  34.1309    ,  1.90074e-54,  0.132424   ])
2510    , -3693.12    , array([ 4.41941    ,  32.0839    ,  1.90074e-54,  0.0483227  ])
2511    , -3693.12    , array([ 4.41941    ,  32.0839    ,  1.90074e-54,  0.0483227  ])
2512    , -3693.12    , array([ 4.42383    ,  32.0839    ,  1.90074e-54,  0.0483227  ])
2513    , -3693.19    , array([ 4.41941    ,  32.116     ,  1.90074e-54,  0.0483227  ])
2514    , -3693.12    , array([ 4.41941    ,  32.0839    ,  1.90264e-54,  0.0483227  ])
2515    , -3694.77    , array([ 4.41941    ,  32.0839    ,  1.90074e-54,  0.048371   ])
2522    , -3693.1     , array([ 4.41941    ,  32.0927    ,  1.90074e-54,  0.0483216  ])
2523    , -3693.1     , array([ 4.41941    ,  32.0927    ,  1.90074e-54,  0.0483216  ])
2524    , -3693.1     , array([ 4.42383    ,  32.0927    ,  1.90074e-54,  0.0483216  ])
2525    , -3693.17    , array([ 4.41941    ,  32.1248    ,  1.90074e-54,  0.0483216  ])
2526    , -3693.1     , array([ 4.41941    ,  32.0927    ,  1.90264e-54,  0.0483216  ])
2527    , -3694.75    , array([ 4.41941    ,  32.0927    ,  1.90074e-54,  0.0483699  ])
2528    , -3693.09    , array([ 4.41941    ,  32.1016    ,  1.90074e-54,  0.0483205  ])
2529    , -3693.09    , array([ 4.41941    ,  32.1016    ,  1.90074e-54,  0.0483205  ])
2530    , -3693.09    , array([ 4.42383    ,  32.1016    ,  1.90074e-54,  0.0483205  ])
2531    , -3693.15    , array([ 4.41941    ,  32.1337    ,  1.90074e-54,  0.0483205  ])
2532    , -3693.09    , array([ 4.41941    ,  32.1016    ,  1.90264e-54,  0.0483205  ])
2533    , -3694.74    , array([ 4.41941    ,  32.1016    ,  1.90074e-54,  0.0483689  ])
2540    , -3693.08    , array([ 4.41941    ,  32.1038    ,  1.90074e-54,  0.0483202  ])
2541    , -3693.08    , array([ 4.41941    ,  32.1038    ,  1.90074e-54,  0.0483202  ])
2542    , -3693.08    , array([ 4.42383    ,  32.1038    ,  1.90074e-54,  0.0483202  ])
2543    , -3693.15    , array([ 4.41941    ,  32.1359    ,  1.90074e-54,  0.0483202  ])
2544    , -3693.08    , array([ 4.41941    ,  32.1038    ,  1.90264e-54,  0.0483202  ])
2545    , -3694.73    , array([ 4.41941    ,  32.1038    ,  1.90074e-54,  0.0483686  ])
2546    , -3693.08    , array([ 4.41941    ,  32.106     ,  1.90074e-54,  0.04832    ])
2547    , -3693.08    , array([ 4.41941    ,  32.106     ,  1.90074e-54,  0.04832    ])
2548    , -3693.08    , array([ 4.42383    ,  32.106     ,  1.90074e-54,  0.04832    ])
2549    , -3693.14    , array([ 4.41941    ,  32.1381    ,  1.90074e-54,  0.04832    ])
2550    , -3693.08    , array([ 4.41941    ,  32.106     ,  1.90264e-54,  0.04832    ])
2551    , -3694.73    , array([ 4.41941    ,  32.106     ,  1.90074e-54,  0.0483683  ])
2558    , -3693.08    , array([ 4.41941    ,  32.1065    ,  1.90074e-54,  0.0483199  ])
2559    , -3693.08    , array([ 4.41941    ,  32.1065    ,  1.90074e-54,  0.0483199  ])
2560    , -3693.08    , array([ 4.42383    ,  32.1065    ,  1.90074e-54,  0.0483199  ])
2561    , -3693.14    , array([ 4.41941    ,  32.1386    ,  1.90074e-54,  0.0483199  ])
2562    , -3693.08    , array([ 4.41941    ,  32.1065    ,  1.90264e-54,  0.0483199  ])
2563    , -3694.73    , array([ 4.41941    ,  32.1065    ,  1.90074e-54,  0.0483682  ])
2564    , -3693.07    , array([ 4.41941    ,  32.1071    ,  1.90074e-54,  0.0483198  ])
2565    , -3693.07    , array([ 4.41941    ,  32.1071    ,  1.90074e-54,  0.0483198  ])
2566    , -3693.07    , array([ 4.42383    ,  32.1071    ,  1.90074e-54,  0.0483198  ])
2567    , -3693.14    , array([ 4.41941    ,  32.1392    ,  1.90074e-54,  0.0483198  ])
2568    , -3693.07    , array([ 4.41941    ,  32.1071    ,  1.90264e-54,  0.0483198  ])
2569    , -3694.73    , array([ 4.41941    ,  32.1071    ,  1.90074e-54,  0.0483682  ])
2576    , -3693.07    , array([ 4.41941    ,  32.1072    ,  1.90074e-54,  0.0483198  ])
2577    , -3693.07    , array([ 4.41941    ,  32.1072    ,  1.90074e-54,  0.0483198  ])
2578    , -3693.07    , array([ 4.42383    ,  32.1072    ,  1.90074e-54,  0.0483198  ])
2579    , -3693.14    , array([ 4.41941    ,  32.1393    ,  1.90074e-54,  0.0483198  ])
2580    , -3693.07    , array([ 4.41941    ,  32.1072    ,  1.90264e-54,  0.0483198  ])
2581    , -3694.72    , array([ 4.41941    ,  32.1072    ,  1.90074e-54,  0.0483682  ])
2582    , -3693.07    , array([ 4.41941    ,  32.1073    ,  1.90074e-54,  0.0483198  ])
2583    , -3693.07    , array([ 4.41941    ,  32.1073    ,  1.90074e-54,  0.0483198  ])
2584    , -3693.07    , array([ 4.42383    ,  32.1073    ,  1.90074e-54,  0.0483198  ])
2585    , -3693.14    , array([ 4.41941    ,  32.1395    ,  1.90074e-54,  0.0483198  ])
2586    , -3693.07    , array([ 4.41941    ,  32.1073    ,  1.90264e-54,  0.0483198  ])
2587    , -3694.72    , array([ 4.41941    ,  32.1073    ,  1.90074e-54,  0.0483681  ])
2594    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
2595    , -3693.07    , array([ 4.41941    ,  32.1074    ,  1.90074e-54,  0.0483198  ])
