4157    , -2331.87    , array([ 0.318992   ,  0.0384294  ,  2.59972e-31,  1.03071e-05])
4158    , -2331.87    , array([ 0.319311   ,  0.0384294  ,  2.59972e-31,  1.03071e-05])
4159    , -2331.87    , array([ 0.318992   ,  0.0384678  ,  2.59972e-31,  1.03071e-05])
4160    , -2331.87    , array([ 0.318992   ,  0.0384294  ,  2.60232e-31,  1.03071e-05])
4161    , -2331.86    , array([ 0.318992   ,  0.0384294  ,  2.59972e-31,  1.03175e-05])
4162    , -2331.87    , array([ 0.318992   ,  0.0384294  ,  2.59972e-31,  1.03071e-05])
4163    , -2316.06    , array([ 0.318992   ,  0.0185625  ,  2.59972e-31,  2.07647e-05])
4164    , -2316.06    , array([ 0.318992   ,  0.0185625  ,  2.59972e-31,  2.07647e-05])
4165    , -2316.06    , array([ 0.319311   ,  0.0185625  ,  2.59972e-31,  2.07647e-05])
4166    , -2316.08    , array([ 0.318992   ,  0.018581   ,  2.59972e-31,  2.07647e-05])
4167    , -2316.06    , array([ 0.318992   ,  0.0185625  ,  2.60232e-31,  2.07647e-05])
4168    , -2316.04    , array([ 0.318992   ,  0.0185625  ,  2.59972e-31,  2.07855e-05])
4169    , -3179.16    , array([ 0.318992   ,  0.00101048 ,  2.59972e-31,  0.000342036])
4170    , -3179.16    , array([ 0.318992   ,  0.00101048 ,  2.59972e-31,  0.000342036])
4171    , -3179.16    , array([ 0.319311   ,  0.00101048 ,  2.59972e-31,  0.000342036])
4172    , -3176.68    , array([ 0.318992   ,  0.00101149 ,  2.59972e-31,  0.000342036])
4173    , -3179.16    , array([ 0.318992   ,  0.00101048 ,  2.60232e-31,  0.000342036])
4174    , -3181.62    , array([ 0.318992   ,  0.00101048 ,  2.59972e-31,  0.000342378])
4175    , -2204.7     , array([ 0.318992   ,  0.00691436 ,  2.59972e-31,  5.37206e-05])
4176    , -2204.7     , array([ 0.318992   ,  0.00691436 ,  2.59972e-31,  5.37206e-05])
4177    , -2204.7     , array([ 0.319311   ,  0.00691436 ,  2.59972e-31,  5.37206e-05])
4178    , -2204.82    , array([ 0.318992   ,  0.00692127 ,  2.59972e-31,  5.37206e-05])
4179    , -2204.7     , array([ 0.318992   ,  0.00691436 ,  2.60232e-31,  5.37206e-05])
4180    , -2204.58    , array([ 0.318992   ,  0.00691436 ,  2.59972e-31,  5.37743e-05])
4181    , -1805.65    , array([ 0.318992   ,  0.00231947 ,  2.59972e-31,  0.00015372 ])
