1008    , -2336.8     , array([ 0.00329666 ,  1.10925    ,  5.18762e-28,  1.91794e-08])
1009    , -2336.8     , array([ 0.00329996 ,  1.10925    ,  5.18762e-28,  1.91794e-08])
1010    , -2336.8     , array([ 0.00329666 ,  1.11036    ,  5.18762e-28,  1.91794e-08])
1011    , -2336.8     , array([ 0.00329666 ,  1.10925    ,  5.19281e-28,  1.91794e-08])
1012    , -2336.8     , array([ 0.00329666 ,  1.10925    ,  5.18762e-28,  1.91986e-08])
1013    , -2336.8     , array([ 0.00329666 ,  1.10925    ,  5.18762e-28,  1.91794e-08])
1014    , -2336.8     , array([ 0.00329666 ,  1.10888    ,  5.18762e-28,  1.91787e-08])
1015    , -2336.8     , array([ 0.00329666 ,  1.10888    ,  5.18762e-28,  1.91787e-08])
1016    , -2336.8     , array([ 0.00329996 ,  1.10888    ,  5.18762e-28,  1.91787e-08])
1017    , -2336.8     , array([ 0.00329666 ,  1.10999    ,  5.18762e-28,  1.91787e-08])
1018    , -2336.8     , array([ 0.00329666 ,  1.10888    ,  5.19281e-28,  1.91787e-08])
1019    , -2336.8     , array([ 0.00329666 ,  1.10888    ,  5.18762e-28,  1.91979e-08])
1020    , -2336.8     , array([ 0.00329666 ,  1.10741    ,  5.18762e-28,  1.91759e-08])
1021    , -2336.8     , array([ 0.00329666 ,  1.10741    ,  5.18762e-28,  1.91759e-08])
1022    , -2336.8     , array([ 0.00329996 ,  1.10741    ,  5.18762e-28,  1.91759e-08])
1023    , -2336.8     , array([ 0.00329666 ,  1.10852    ,  5.18762e-28,  1.91759e-08])
1024    , -2336.8     , array([ 0.00329666 ,  1.10741    ,  5.19281e-28,  1.91759e-08])
1025    , -2336.8     , array([ 0.00329666 ,  1.10741    ,  5.18762e-28,  1.91951e-08])
1026    , -2336.8     , array([ 0.00329666 ,  1.10154    ,  5.18762e-28,  1.91648e-08])
1027    , -2336.8     , array([ 0.00329666 ,  1.10154    ,  5.18762e-28,  1.91648e-08])
1028    , -2336.8     , array([ 0.00329996 ,  1.10154    ,  5.18762e-28,  1.91648e-08])
1029    , -2336.8     , array([ 0.00329666 ,  1.10265    ,  5.18762e-28,  1.91648e-08])
1030    , -2336.8     , array([ 0.00329666 ,  1.10154    ,  5.19281e-28,  1.91648e-08])
1031    , -2336.8     , array([ 0.00329666 ,  1.10154    ,  5.18762e-28,  1.91839e-08])
1032    , -2336.8     , array([ 0.00329666 ,  1.07838    ,  5.18762e-28,  1.91202e-08])
1033    , -2336.8     , array([ 0.00329666 ,  1.07838    ,  5.18762e-28,  1.91202e-08])
1034    , -2336.8     , array([ 0.00329996 ,  1.07838    ,  5.18762e-28,  1.91202e-08])
1035    , -2336.8     , array([ 0.00329666 ,  1.07946    ,  5.18762e-28,  1.91202e-08])
1036    , -2336.8     , array([ 0.00329666 ,  1.07838    ,  5.19281e-28,  1.91202e-08])
1037    , -2336.8     , array([ 0.00329666 ,  1.07838    ,  5.18762e-28,  1.91393e-08])
1038    , -2336.8     , array([ 0.00329666 ,  0.990487   ,  5.18762e-28,  1.89431e-08])
1039    , -2336.8     , array([ 0.00329666 ,  0.990487   ,  5.18762e-28,  1.89431e-08])
1040    , -2336.8     , array([ 0.00329996 ,  0.990487   ,  5.18762e-28,  1.89431e-08])
1041    , -2336.8     , array([ 0.00329666 ,  0.991478   ,  5.18762e-28,  1.89431e-08])
1042    , -2336.8     , array([ 0.00329666 ,  0.990487   ,  5.19281e-28,  1.89431e-08])
1043    , -2336.8     , array([ 0.00329666 ,  0.990487   ,  5.18762e-28,  1.8962e-08 ])
1044    , -2336.8     , array([ 0.00329666 ,  0.704951   ,  5.18762e-28,  1.82507e-08])
1045    , -2336.8     , array([ 0.00329666 ,  0.704951   ,  5.18762e-28,  1.82507e-08])
1046    , -2336.8     , array([ 0.00329996 ,  0.704951   ,  5.18762e-28,  1.82507e-08])
1047    , -2336.8     , array([ 0.00329666 ,  0.705656   ,  5.18762e-28,  1.82507e-08])
1048    , -2336.8     , array([ 0.00329666 ,  0.704951   ,  5.19281e-28,  1.82507e-08])
1049    , -2336.8     , array([ 0.00329666 ,  0.704951   ,  5.18762e-28,  1.82689e-08])
1050    , -2336.8     , array([ 0.00329666 ,  0.180883   ,  5.18762e-28,  1.57251e-08])
1051    , -2336.8     , array([ 0.00329666 ,  0.180883   ,  5.18762e-28,  1.57251e-08])
1052    , -2336.8     , array([ 0.00329996 ,  0.180883   ,  5.18762e-28,  1.57251e-08])
1053    , -2336.8     , array([ 0.00329666 ,  0.181064   ,  5.18762e-28,  1.57251e-08])
