4176    , -2336.79    , array([ 0.29913    ,  0.813315   ,  2.52368e-09,  3.55206e-06])
4177    , -2336.79    , array([ 0.299429   ,  0.813315   ,  2.52368e-09,  3.55206e-06])
4178    , -2336.79    , array([ 0.29913    ,  0.814129   ,  2.52368e-09,  3.55206e-06])
4179    , -2336.79    , array([ 0.29913    ,  0.813315   ,  2.5262e-09 ,  3.55206e-06])
4180    , -2336.79    , array([ 0.29913    ,  0.813315   ,  2.52368e-09,  3.55561e-06])
4181    , -2336.79    , array([ 0.29913    ,  0.813315   ,  2.52368e-09,  3.55206e-06])
4182    , -2336.78    , array([ 0.299081   ,  0.747886   ,  2.52397e-09,  3.60816e-06])
4183    , -2336.78    , array([ 0.299081   ,  0.747886   ,  2.52397e-09,  3.60816e-06])
4184    , -2336.78    , array([ 0.29938    ,  0.747886   ,  2.52397e-09,  3.60816e-06])
4185    , -2336.78    , array([ 0.299081   ,  0.748635   ,  2.52397e-09,  3.60816e-06])
4186    , -2336.78    , array([ 0.299081   ,  0.747886   ,  2.52649e-09,  3.60816e-06])
4187    , -2336.78    , array([ 0.299081   ,  0.747886   ,  2.52397e-09,  3.61177e-06])
4188    , -2336.74    , array([ 0.298887   ,  0.53474    ,  2.52511e-09,  3.8416e-06 ])
4189    , -2336.74    , array([ 0.298887   ,  0.53474    ,  2.52511e-09,  3.8416e-06 ])
4190    , -2336.74    , array([ 0.299186   ,  0.53474    ,  2.52511e-09,  3.8416e-06 ])
4191    , -2336.74    , array([ 0.298887   ,  0.535275   ,  2.52511e-09,  3.8416e-06 ])
4192    , -2336.74    , array([ 0.298887   ,  0.53474    ,  2.52764e-09,  3.8416e-06 ])
4193    , -2336.74    , array([ 0.298887   ,  0.53474    ,  2.52511e-09,  3.84544e-06])
4194    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4195    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4196    , -2336.22    , array([ 0.298412   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4197    , -2336.22    , array([ 0.298113   ,  0.139896   ,  2.52971e-09,  4.93647e-06])
4198    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.53224e-09,  4.93647e-06])
4199    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.9414e-06 ])
4206    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4207    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4208    , -2336.22    , array([ 0.298412   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4209    , -2336.22    , array([ 0.298113   ,  0.139896   ,  2.52971e-09,  4.93647e-06])
4210    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.53224e-09,  4.93647e-06])
4211    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.9414e-06 ])
4212    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4213    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4214    , -2336.22    , array([ 0.298412   ,  0.139756   ,  2.52971e-09,  4.93647e-06])
4215    , -2336.22    , array([ 0.298113   ,  0.139896   ,  2.52971e-09,  4.93647e-06])
4216    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.53224e-09,  4.93647e-06])
4217    , -2336.22    , array([ 0.298113   ,  0.139756   ,  2.52971e-09,  4.9414e-06 ])
4218    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4219    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4220    , -2320.77    , array([ 0.296868   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4221    , -2320.78    , array([ 0.296572   ,  0.00955574 ,  2.53893e-09,  8.15124e-06])
4222    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.54147e-09,  8.15124e-06])
4223    , -2320.75    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.1594e-06 ])
4224    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4225    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4226    , -2320.77    , array([ 0.296868   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4227    , -2320.78    , array([ 0.296572   ,  0.00955574 ,  2.53893e-09,  8.15124e-06])
4228    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.54147e-09,  8.15124e-06])
4229    , -2320.75    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.1594e-06 ])
4230    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4231    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4232    , -2320.77    , array([ 0.296868   ,  0.00954619 ,  2.53893e-09,  8.15124e-06])
4233    , -2320.78    , array([ 0.296572   ,  0.00955574 ,  2.53893e-09,  8.15124e-06])
4234    , -2320.77    , array([ 0.296572   ,  0.00954619 ,  2.54147e-09,  8.15124e-06])
4235    , -2320.75    , array([ 0.296572   ,  0.00954619 ,  2.53893e-09,  8.1594e-06 ])
4236    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4237    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4238    , -2261.3     , array([ 0.296099   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4239    , -2261.37    , array([ 0.295804   ,  0.00249743 ,  2.54355e-09,  1.04744e-05])
4240    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.5461e-09 ,  1.04744e-05])
4241    , -2261.23    , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04848e-05])
4242    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4243    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4244    , -2261.3     , array([ 0.296099   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4245    , -2261.37    , array([ 0.295804   ,  0.00249743 ,  2.54355e-09,  1.04744e-05])
4246    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.5461e-09 ,  1.04744e-05])
4247    , -2261.23    , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04848e-05])
4248    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4249    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4250    , -2261.3     , array([ 0.296099   ,  0.00249493 ,  2.54355e-09,  1.04744e-05])
4251    , -2261.37    , array([ 0.295804   ,  0.00249743 ,  2.54355e-09,  1.04744e-05])
4252    , -2261.3     , array([ 0.295804   ,  0.00249493 ,  2.5461e-09 ,  1.04744e-05])
4253    , -2261.23    , array([ 0.295804   ,  0.00249493 ,  2.54355e-09,  1.04848e-05])
4254    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4255    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4256    , -2181.23    , array([ 0.295716   ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4257    , -2181.36    , array([ 0.29542    ,  0.00127676 ,  2.54587e-09,  1.18735e-05])
4258    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54842e-09,  1.18735e-05])
4259    , -2181.09    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18854e-05])
4260    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4261    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4262    , -2181.23    , array([ 0.295716   ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4263    , -2181.36    , array([ 0.29542    ,  0.00127676 ,  2.54587e-09,  1.18735e-05])
4264    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54842e-09,  1.18735e-05])
4265    , -2181.09    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18854e-05])
4266    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4267    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4268    , -2181.23    , array([ 0.295716   ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4269    , -2181.36    , array([ 0.29542    ,  0.00127676 ,  2.54587e-09,  1.18735e-05])
4270    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54842e-09,  1.18735e-05])
4271    , -2181.09    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18854e-05])
4278    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4279    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4280    , -2181.23    , array([ 0.295716   ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4281    , -2181.36    , array([ 0.29542    ,  0.00127676 ,  2.54587e-09,  1.18735e-05])
4282    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54842e-09,  1.18735e-05])
4283    , -2181.09    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18854e-05])
4284    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4285    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4286    , -2181.23    , array([ 0.295716   ,  0.00127548 ,  2.54587e-09,  1.18735e-05])
4287    , -2181.36    , array([ 0.29542    ,  0.00127676 ,  2.54587e-09,  1.18735e-05])
4288    , -2181.23    , array([ 0.29542    ,  0.00127548 ,  2.54842e-09,  1.18735e-05])
4289    , -2181.09    , array([ 0.29542    ,  0.00127548 ,  2.54587e-09,  1.18854e-05])
4290    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4291    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4292    , -2152.39    , array([ 0.29562    ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4293    , -2152.54    , array([ 0.295325   ,  0.0010796  ,  2.54645e-09,  1.22516e-05])
4294    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54899e-09,  1.22516e-05])
4295    , -2152.23    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22639e-05])
4296    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4297    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4298    , -2152.39    , array([ 0.29562    ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4299    , -2152.54    , array([ 0.295325   ,  0.0010796  ,  2.54645e-09,  1.22516e-05])
4300    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54899e-09,  1.22516e-05])
4301    , -2152.23    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22639e-05])
4302    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4303    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4304    , -2152.39    , array([ 0.29562    ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4305    , -2152.54    , array([ 0.295325   ,  0.0010796  ,  2.54645e-09,  1.22516e-05])
4306    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54899e-09,  1.22516e-05])
4307    , -2152.23    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22639e-05])
4314    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4315    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4316    , -2152.39    , array([ 0.29562    ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4317    , -2152.54    , array([ 0.295325   ,  0.0010796  ,  2.54645e-09,  1.22516e-05])
4318    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54899e-09,  1.22516e-05])
4319    , -2152.23    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22639e-05])
4320    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4321    , -2152.39    , array([ 0.295325   ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
4322    , -2152.39    , array([ 0.29562    ,  0.00107852 ,  2.54645e-09,  1.22516e-05])
