1488    , -2335.25    , array([ 0.183524   ,  0.578897   ,  1.82507e-05,  4.32787e-43])
1489    , -2335.25    , array([ 0.183708   ,  0.578897   ,  1.82507e-05,  4.32787e-43])
1490    , -2335.25    , array([ 0.183524   ,  0.579476   ,  1.82507e-05,  4.32787e-43])
1491    , -2335.24    , array([ 0.183524   ,  0.578897   ,  1.8269e-05 ,  4.32787e-43])
1492    , -2335.25    , array([ 0.183524   ,  0.578897   ,  1.82507e-05,  4.3322e-43 ])
1493    , -2335.25    , array([ 0.183524   ,  0.578897   ,  1.82507e-05,  4.32787e-43])
1494    , -2329.6     , array([ 0.0839576  ,  0.578897   ,  3.4583e-05 ,  4.32787e-43])
1495    , -2329.6     , array([ 0.0839576  ,  0.578897   ,  3.4583e-05 ,  4.32787e-43])
1496    , -2329.6     , array([ 0.0840416  ,  0.578897   ,  3.4583e-05 ,  4.32787e-43])
1497    , -2329.6     , array([ 0.0839576  ,  0.579476   ,  3.4583e-05 ,  4.32787e-43])
1498    , -2329.59    , array([ 0.0839576  ,  0.578897   ,  3.46176e-05,  4.32787e-43])
1499    , -2329.6     , array([ 0.0839576  ,  0.578897   ,  3.4583e-05 ,  4.3322e-43 ])
1500    , -1862.99    , array([ 0.00367729 ,  0.578897   ,  0.000445855,  4.32787e-43])
1501    , -1862.99    , array([ 0.00367729 ,  0.578897   ,  0.000445855,  4.32787e-43])
1502    , -1862.61    , array([ 0.00368097 ,  0.578897   ,  0.000445855,  4.32787e-43])
1503    , -1862.99    , array([ 0.00367729 ,  0.579476   ,  0.000445855,  4.32787e-43])
1504    , -1863.35    , array([ 0.00367729 ,  0.578897   ,  0.000446301,  4.32787e-43])
1505    , -1862.99    , array([ 0.00367729 ,  0.578897   ,  0.000445855,  4.3322e-43 ])
1506    , -2328.69    , array([ 0.0788448  ,  0.578897   ,  3.64053e-05,  4.32787e-43])
1507    , -2328.69    , array([ 0.0788448  ,  0.578897   ,  3.64053e-05,  4.32787e-43])
1508    , -2328.69    , array([ 0.0789237  ,  0.578897   ,  3.64053e-05,  4.32787e-43])
1509    , -2328.69    , array([ 0.0788448  ,  0.579476   ,  3.64053e-05,  4.32787e-43])
1510    , -2328.68    , array([ 0.0788448  ,  0.578897   ,  3.64417e-05,  4.32787e-43])
1511    , -2328.69    , array([ 0.0788448  ,  0.578897   ,  3.64053e-05,  4.3322e-43 ])
1512    , -1933.39    , array([ 0.00746784 ,  0.578897   ,  0.000249883,  4.32787e-43])
1513    , -1933.39    , array([ 0.00746784 ,  0.578897   ,  0.000249883,  4.32787e-43])
1514    , -1933.62    , array([ 0.00747531 ,  0.578897   ,  0.000249883,  4.32787e-43])
1515    , -1933.39    , array([ 0.00746784 ,  0.579476   ,  0.000249883,  4.32787e-43])
1516    , -1933.16    , array([ 0.00746784 ,  0.578897   ,  0.000250133,  4.32787e-43])
1517    , -1933.39    , array([ 0.00746784 ,  0.578897   ,  0.000249883,  4.3322e-43 ])
1518    , -1794.51    , array([ 0.00467551 ,  0.578897   ,  0.000366394,  4.32787e-43])
1519    , -1794.51    , array([ 0.00467551 ,  0.578897   ,  0.000366394,  4.32787e-43])
1520    , -1794.52    , array([ 0.00468018 ,  0.578897   ,  0.000366394,  4.32787e-43])
1521    , -1794.51    , array([ 0.00467551 ,  0.579476   ,  0.000366394,  4.32787e-43])
1522    , -1794.5     , array([ 0.00467551 ,  0.578897   ,  0.000366761,  4.32787e-43])
1523    , -1794.51    , array([ 0.00467551 ,  0.578897   ,  0.000366394,  4.3322e-43 ])
1524    , -1794.39    , array([ 0.00462372 ,  0.578897   ,  0.000369744,  4.32787e-43])
1525    , -1794.39    , array([ 0.00462372 ,  0.578897   ,  0.000369744,  4.32787e-43])
1526    , -1794.39    , array([ 0.00462835 ,  0.578897   ,  0.000369744,  4.32787e-43])
1527    , -1794.39    , array([ 0.00462372 ,  0.579476   ,  0.000369744,  4.32787e-43])
1528    , -1794.39    , array([ 0.00462372 ,  0.578897   ,  0.000370114,  4.32787e-43])
1529    , -1794.39    , array([ 0.00462372 ,  0.578897   ,  0.000369744,  4.3322e-43 ])
1530    , -5987.09    , array([ 0.00636418 ,  0.578897   ,  0.00532713 ,  4.32787e-43])
1531    , -5987.09    , array([ 0.00636418 ,  0.578897   ,  0.00532713 ,  4.32787e-43])
1532    , -5983.16    , array([ 0.00637055 ,  0.578897   ,  0.00532713 ,  4.32787e-43])
1533    , -5987.09    , array([ 0.00636418 ,  0.579476   ,  0.00532713 ,  4.32787e-43])
1534    , -5990.57    , array([ 0.00636418 ,  0.578897   ,  0.00533246 ,  4.32787e-43])
1535    , -5987.09    , array([ 0.00636418 ,  0.578897   ,  0.00532713 ,  4.3322e-43 ])
1536    , -1794.39    , array([ 0.00462459 ,  0.578897   ,  0.000370327,  4.32787e-43])
1537    , -1794.39    , array([ 0.00462459 ,  0.578897   ,  0.000370327,  4.32787e-43])
1538    , -1794.38    , array([ 0.00462922 ,  0.578897   ,  0.000370327,  4.32787e-43])
1539    , -1794.39    , array([ 0.00462459 ,  0.579476   ,  0.000370327,  4.32787e-43])
1540    , -1794.39    , array([ 0.00462459 ,  0.578897   ,  0.000370698,  4.32787e-43])
1541    , -1794.39    , array([ 0.00462459 ,  0.578897   ,  0.000370327,  4.3322e-43 ])
1542    , -1794.38    , array([ 0.00463235 ,  0.578897   ,  0.00037096 ,  4.32787e-43])
1543    , -1794.38    , array([ 0.00463235 ,  0.578897   ,  0.00037096 ,  4.32787e-43])
1544    , -1794.38    , array([ 0.00463698 ,  0.578897   ,  0.00037096 ,  4.32787e-43])
1545    , -1794.38    , array([ 0.00463235 ,  0.579476   ,  0.00037096 ,  4.32787e-43])
1546    , -1794.38    , array([ 0.00463235 ,  0.578897   ,  0.000371332,  4.32787e-43])
1547    , -1794.38    , array([ 0.00463235 ,  0.578897   ,  0.00037096 ,  4.3322e-43 ])
1548    , -1794.35    , array([ 0.0046635  ,  0.578897   ,  0.000373505,  4.32787e-43])
1549    , -1794.35    , array([ 0.0046635  ,  0.578897   ,  0.000373505,  4.32787e-43])
1550    , -1794.35    , array([ 0.00466817 ,  0.578897   ,  0.000373505,  4.32787e-43])
