7204    , -2336.8     , array([ 0.0710428  ,  0.0371483  ,  9.67699e-39,  3.76571e-09])
7205    , -2336.8     , array([ 0.0711139  ,  0.0371483  ,  9.67699e-39,  3.76571e-09])
7206    , -2336.8     , array([ 0.0710428  ,  0.0371855  ,  9.67699e-39,  3.76571e-09])
7207    , -2336.8     , array([ 0.0710428  ,  0.0371483  ,  9.68667e-39,  3.76571e-09])
7208    , -2336.8     , array([ 0.0710428  ,  0.0371483  ,  9.67699e-39,  3.76948e-09])
7209    , -2336.8     , array([ 0.0710428  ,  0.0371483  ,  9.67699e-39,  3.76571e-09])
7210    , -2336.8     , array([ 0.0710428  ,  0.0370761  ,  9.67699e-39,  3.77279e-09])
7211    , -2336.8     , array([ 0.0710428  ,  0.0370761  ,  9.67699e-39,  3.77279e-09])
7212    , -2336.8     , array([ 0.0711139  ,  0.0370761  ,  9.67699e-39,  3.77279e-09])
7213    , -2336.8     , array([ 0.0710428  ,  0.0371131  ,  9.67699e-39,  3.77279e-09])
7214    , -2336.8     , array([ 0.0710428  ,  0.0370761  ,  9.68667e-39,  3.77279e-09])
7215    , -2336.8     , array([ 0.0710428  ,  0.0370761  ,  9.67699e-39,  3.77656e-09])
7216    , -2336.8     , array([ 0.0710428  ,  0.0367885  ,  9.67699e-39,  3.80121e-09])
7217    , -2336.8     , array([ 0.0710428  ,  0.0367885  ,  9.67699e-39,  3.80121e-09])
7218    , -2336.8     , array([ 0.0711139  ,  0.0367885  ,  9.67699e-39,  3.80121e-09])
7219    , -2336.8     , array([ 0.0710428  ,  0.0368253  ,  9.67699e-39,  3.80121e-09])
7220    , -2336.8     , array([ 0.0710428  ,  0.0367885  ,  9.68667e-39,  3.80121e-09])
7221    , -2336.8     , array([ 0.0710428  ,  0.0367885  ,  9.67699e-39,  3.80501e-09])
7222    , -2336.8     , array([ 0.0710428  ,  0.0356603  ,  9.67699e-39,  3.91705e-09])
7223    , -2336.8     , array([ 0.0710428  ,  0.0356603  ,  9.67699e-39,  3.91705e-09])
7224    , -2336.8     , array([ 0.0711139  ,  0.0356603  ,  9.67699e-39,  3.91705e-09])
7225    , -2336.8     , array([ 0.0710428  ,  0.035696   ,  9.67699e-39,  3.91705e-09])
7226    , -2336.8     , array([ 0.0710428  ,  0.0356603  ,  9.68667e-39,  3.91705e-09])
7227    , -2336.8     , array([ 0.0710428  ,  0.0356603  ,  9.67699e-39,  3.92097e-09])
