33806   , -2221.39    , array([ 0.114185   ,  0.118231   ,  0.526715   ,  0.143765   ])
33807   , -2218.2     , array([ 0.114299   ,  0.118231   ,  0.526715   ,  0.143765   ])
33808   , -2223.74    , array([ 0.114185   ,  0.118349   ,  0.526715   ,  0.143765   ])
33809   , -2222.28    , array([ 0.114185   ,  0.118231   ,  0.527242   ,  0.143765   ])
33810   , -2221.54    , array([ 0.114185   ,  0.118231   ,  0.526715   ,  0.143909   ])
33811   , -2221.39    , array([ 0.114185   ,  0.118231   ,  0.526715   ,  0.143765   ])
33812   , -407.602    , array([ 0.251991   ,  0.0658527  ,  0.421603   ,  0.138337   ])
33813   , -407.602    , array([ 0.251991   ,  0.0658527  ,  0.421603   ,  0.138337   ])
33814   , -407.344    , array([ 0.252243   ,  0.0658527  ,  0.421603   ,  0.138337   ])
33815   , -407.443    , array([ 0.251991   ,  0.0659186  ,  0.421603   ,  0.138337   ])
33816   , -407.743    , array([ 0.251991   ,  0.0658527  ,  0.422025   ,  0.138337   ])
33817   , -407.996    , array([ 0.251991   ,  0.0658527  ,  0.421603   ,  0.138475   ])
33818   , -3757.77    , array([ 3.66007    ,  1.46309    ,  0.0735244  ,  0.000476596])
33819   , -3757.77    , array([ 3.66007    ,  1.46309    ,  0.0735244  ,  0.000476596])
33820   , -3758.55    , array([ 3.66374    ,  1.46309    ,  0.0735244  ,  0.000476596])
33821   , -3757.79    , array([ 3.66007    ,  1.46456    ,  0.0735244  ,  0.000476596])
33822   , -3759.29    , array([ 3.66007    ,  1.46309    ,  0.073598   ,  0.000476596])
33823   , -3757.77    , array([ 3.66007    ,  1.46309    ,  0.0735244  ,  0.000477072])
33824   , -1463.56    , array([ 0.342154   ,  0.0938667  ,  0.345307   ,  0.0723472  ])
33825   , -1463.56    , array([ 0.342154   ,  0.0938667  ,  0.345307   ,  0.0723472  ])
33826   , -1465.08    , array([ 0.342497   ,  0.0938667  ,  0.345307   ,  0.0723472  ])
33827   , -1462.33    , array([ 0.342154   ,  0.0939606  ,  0.345307   ,  0.0723472  ])
33828   , -1462.61    , array([ 0.342154   ,  0.0938667  ,  0.345652   ,  0.0723472  ])
