14922   , -30036.5    , array([ 0.00515256 ,  0.179475   ,  1.36147    ,  0.0694593  ])
14923   , -30029.5    , array([ 0.00515771 ,  0.179475   ,  1.36147    ,  0.0694593  ])
14924   , -30063.5    , array([ 0.00515256 ,  0.179655   ,  1.36147    ,  0.0694593  ])
14925   , -30036.5    , array([ 0.00515256 ,  0.179475   ,  1.36283    ,  0.0694593  ])
14926   , -30016.6    , array([ 0.00515256 ,  0.179475   ,  1.36147    ,  0.0695288  ])
14927   , -30036.5    , array([ 0.00515256 ,  0.179475   ,  1.36147    ,  0.0694593  ])
14928   , -5242.89    , array([ 0.00633594 ,  0.0810768  ,  1.36147    ,  0.125071   ])
14929   , -5242.89    , array([ 0.00633594 ,  0.0810768  ,  1.36147    ,  0.125071   ])
14930   , -5242.49    , array([ 0.00634228 ,  0.0810768  ,  1.36147    ,  0.125071   ])
14931   , -5249.83    , array([ 0.00633594 ,  0.0811579  ,  1.36147    ,  0.125071   ])
14932   , -5242.89    , array([ 0.00633594 ,  0.0810768  ,  1.36283    ,  0.125071   ])
14933   , -5236.35    , array([ 0.00633594 ,  0.0810768  ,  1.36147    ,  0.125196   ])
14940   , -5238.7     , array([ 0.00632814 ,  0.0810967  ,  1.36147    ,  0.125193   ])
14941   , -5238.7     , array([ 0.00632814 ,  0.0810967  ,  1.36147    ,  0.125193   ])
14942   , -5238.31    , array([ 0.00633447 ,  0.0810967  ,  1.36147    ,  0.125193   ])
14943   , -5245.63    , array([ 0.00632814 ,  0.0811779  ,  1.36147    ,  0.125193   ])
14944   , -5238.7     , array([ 0.00632814 ,  0.0810967  ,  1.36283    ,  0.125193   ])
14945   , -5232.18    , array([ 0.00632814 ,  0.0810967  ,  1.36147    ,  0.125318   ])
14946   , -5200.29    , array([ 0.00625673 ,  0.0812803  ,  1.36147    ,  0.126322   ])
14947   , -5200.29    , array([ 0.00625673 ,  0.0812803  ,  1.36147    ,  0.126322   ])
14948   , -5199.91    , array([ 0.00626299 ,  0.0812803  ,  1.36147    ,  0.126322   ])
