12399   , -2336.8     , array([ 43.6135    ,  0.0834991  ,  1.66654e-18,  3.88486e-08])
12400   , -2336.8     , array([ 43.6571    ,  0.0834991  ,  1.66654e-18,  3.88486e-08])
12401   , -2336.8     , array([ 43.6135    ,  0.0835826  ,  1.66654e-18,  3.88486e-08])
12402   , -2336.8     , array([ 43.6135    ,  0.0834991  ,  1.66821e-18,  3.88486e-08])
12403   , -2336.8     , array([ 43.6135    ,  0.0834991  ,  1.66654e-18,  3.88874e-08])
12404   , -2336.8     , array([ 43.6135    ,  0.0834991  ,  1.66654e-18,  3.88486e-08])
12405   , -2336.8     , array([ 43.6135    ,  0.0827564  ,  1.66654e-18,  3.91683e-08])
12406   , -2336.8     , array([ 43.6135    ,  0.0827564  ,  1.66654e-18,  3.91683e-08])
12407   , -2336.8     , array([ 43.6571    ,  0.0827564  ,  1.66654e-18,  3.91683e-08])
12408   , -2336.8     , array([ 43.6135    ,  0.0828392  ,  1.66654e-18,  3.91683e-08])
12409   , -2336.8     , array([ 43.6135    ,  0.0827564  ,  1.66821e-18,  3.91683e-08])
12410   , -2336.8     , array([ 43.6135    ,  0.0827564  ,  1.66654e-18,  3.92075e-08])
12411   , -2336.8     , array([ 43.6135    ,  0.079851   ,  1.66654e-18,  4.04738e-08])
12412   , -2336.8     , array([ 43.6135    ,  0.079851   ,  1.66654e-18,  4.04738e-08])
12413   , -2336.8     , array([ 43.6571    ,  0.079851   ,  1.66654e-18,  4.04738e-08])
12414   , -2336.8     , array([ 43.6135    ,  0.0799309  ,  1.66654e-18,  4.04738e-08])
12415   , -2336.8     , array([ 43.6135    ,  0.079851   ,  1.66821e-18,  4.04738e-08])
12416   , -2336.8     , array([ 43.6135    ,  0.079851   ,  1.66654e-18,  4.05143e-08])
12417   , -2336.79    , array([ 43.6135    ,  0.0692145  ,  1.66654e-18,  4.61456e-08])
12418   , -2336.79    , array([ 43.6135    ,  0.0692145  ,  1.66654e-18,  4.61456e-08])
12419   , -2336.79    , array([ 43.6571    ,  0.0692145  ,  1.66654e-18,  4.61456e-08])
12420   , -2336.79    , array([ 43.6135    ,  0.0692837  ,  1.66654e-18,  4.61456e-08])
12421   , -2336.79    , array([ 43.6135    ,  0.0692145  ,  1.66821e-18,  4.61456e-08])
12422   , -2336.79    , array([ 43.6135    ,  0.0692145  ,  1.66654e-18,  4.61917e-08])
12423   , -2336.77    , array([ 43.6135    ,  0.0390717  ,  1.66654e-18,  7.79749e-08])
12424   , -2336.77    , array([ 43.6135    ,  0.0390717  ,  1.66654e-18,  7.79749e-08])
12425   , -2336.77    , array([ 43.6571    ,  0.0390717  ,  1.66654e-18,  7.79749e-08])
12426   , -2336.77    , array([ 43.6135    ,  0.0391108  ,  1.66654e-18,  7.79749e-08])
12427   , -2336.77    , array([ 43.6135    ,  0.0390717  ,  1.66821e-18,  7.79749e-08])
12428   , -2336.77    , array([ 43.6135    ,  0.0390717  ,  1.66654e-18,  7.80529e-08])
12429   , -2333.75    , array([ 43.6135    ,  0.00396757 ,  1.66654e-18,  6.35701e-07])
12430   , -2333.75    , array([ 43.6135    ,  0.00396757 ,  1.66654e-18,  6.35701e-07])
12431   , -2333.75    , array([ 43.6571    ,  0.00396757 ,  1.66654e-18,  6.35701e-07])
12432   , -2333.75    , array([ 43.6135    ,  0.00397154 ,  1.66654e-18,  6.35701e-07])
12433   , -2333.75    , array([ 43.6135    ,  0.00396757 ,  1.66821e-18,  6.35701e-07])
12434   , -2333.74    , array([ 43.6135    ,  0.00396757 ,  1.66654e-18,  6.36337e-07])
12441   , -2333.75    , array([ 43.6135    ,  0.00396756 ,  1.66654e-18,  6.35702e-07])
12442   , -2333.75    , array([ 43.6135    ,  0.00396756 ,  1.66654e-18,  6.35702e-07])
12443   , -2333.75    , array([ 43.6571    ,  0.00396756 ,  1.66654e-18,  6.35702e-07])
