13075   , -2340.94    , array([ 0.003073   ,  1.46211    ,  0.09852    ,  6.61209e-07])
13076   , -2340.94    , array([ 0.00307607 ,  1.46211    ,  0.09852    ,  6.61209e-07])
13077   , -2340.94    , array([ 0.003073   ,  1.46357    ,  0.09852    ,  6.61209e-07])
13078   , -2340.94    , array([ 0.003073   ,  1.46211    ,  0.0986186  ,  6.61209e-07])
13079   , -2340.95    , array([ 0.003073   ,  1.46211    ,  0.09852    ,  6.61871e-07])
13080   , -2340.94    , array([ 0.003073   ,  1.46211    ,  0.09852    ,  6.61209e-07])
13081   , -2337.58    , array([ 0.00627908 ,  1.45991    ,  0.09852    ,  3.23851e-07])
13082   , -2337.58    , array([ 0.00627908 ,  1.45991    ,  0.09852    ,  3.23851e-07])
13083   , -2337.57    , array([ 0.00628536 ,  1.45991    ,  0.09852    ,  3.23851e-07])
13084   , -2337.58    , array([ 0.00627908 ,  1.46137    ,  0.09852    ,  3.23851e-07])
13085   , -2337.58    , array([ 0.00627908 ,  1.45991    ,  0.0986186  ,  3.23851e-07])
13086   , -2337.58    , array([ 0.00627908 ,  1.45991    ,  0.09852    ,  3.24175e-07])
13087   , -1549.15    , array([ 0.0184941  ,  1.45758    ,  0.0597808  ,  1.76793e-07])
13088   , -1549.15    , array([ 0.0184941  ,  1.45758    ,  0.0597808  ,  1.76793e-07])
13089   , -1553.8     , array([ 0.0185126  ,  1.45758    ,  0.0597808  ,  1.76793e-07])
13090   , -1549.15    , array([ 0.0184941  ,  1.45904    ,  0.0597808  ,  1.76793e-07])
13091   , -1542.35    , array([ 0.0184941  ,  1.45758    ,  0.0598406  ,  1.76793e-07])
13092   , -1549.15    , array([ 0.0184941  ,  1.45758    ,  0.0597808  ,  1.7697e-07 ])
13093   , -2337.57    , array([ 0.00628455 ,  1.45991    ,  0.0984803  ,  3.23693e-07])
13094   , -2337.57    , array([ 0.00628455 ,  1.45991    ,  0.0984803  ,  3.23693e-07])
13095   , -2337.57    , array([ 0.00629084 ,  1.45991    ,  0.0984803  ,  3.23693e-07])
13096   , -2337.57    , array([ 0.00628455 ,  1.46137    ,  0.0984803  ,  3.23693e-07])
13097   , -2337.57    , array([ 0.00628455 ,  1.45991    ,  0.0985788  ,  3.23693e-07])
13098   , -2337.57    , array([ 0.00628455 ,  1.45991    ,  0.0984803  ,  3.24017e-07])
13099   , -492.77     , array([ 0.013658   ,  1.45823    ,  0.068777   ,  2.09523e-07])
13100   , -492.77     , array([ 0.013658   ,  1.45823    ,  0.068777   ,  2.09523e-07])
13101   , -490.839    , array([ 0.0136717  ,  1.45823    ,  0.068777   ,  2.09523e-07])
13102   , -492.77     , array([ 0.013658   ,  1.45969    ,  0.068777   ,  2.09523e-07])
13103   , -495.21     , array([ 0.013658   ,  1.45823    ,  0.0688459  ,  2.09523e-07])
13104   , -492.77     , array([ 0.013658   ,  1.45823    ,  0.068777   ,  2.09733e-07])
13105   , -404.573    , array([ 0.0148759  ,  1.45805    ,  0.0661131  ,  1.99731e-07])
13106   , -404.573    , array([ 0.0148759  ,  1.45805    ,  0.0661131  ,  1.99731e-07])
13107   , -405.262    , array([ 0.0148908  ,  1.45805    ,  0.0661131  ,  1.99731e-07])
