15683   , -2336.81    , array([ 4.6691     ,  0.940383   ,  5.95769e-07,  7.98529e-52])
15684   , -2336.81    , array([ 4.67377    ,  0.940383   ,  5.95769e-07,  7.98529e-52])
15685   , -2336.81    , array([ 4.6691     ,  0.941324   ,  5.95769e-07,  7.98529e-52])
15686   , -2336.81    , array([ 4.6691     ,  0.940383   ,  5.96365e-07,  7.98529e-52])
15687   , -2336.81    , array([ 4.6691     ,  0.940383   ,  5.95769e-07,  7.99328e-52])
15688   , -2336.81    , array([ 4.6691     ,  0.940383   ,  5.95769e-07,  7.98529e-52])
15689   , -2336.81    , array([ 4.65767    ,  0.940383   ,  5.90431e-07,  7.98529e-52])
15690   , -2336.81    , array([ 4.65767    ,  0.940383   ,  5.90431e-07,  7.98529e-52])
15691   , -2336.81    , array([ 4.66233    ,  0.940383   ,  5.90431e-07,  7.98529e-52])
15692   , -2336.81    , array([ 4.65767    ,  0.941324   ,  5.90431e-07,  7.98529e-52])
15693   , -2336.81    , array([ 4.65767    ,  0.940383   ,  5.91022e-07,  7.98529e-52])
15694   , -2336.81    , array([ 4.65767    ,  0.940383   ,  5.90431e-07,  7.99328e-52])
15695   , -2336.81    , array([ 4.61225    ,  0.940383   ,  5.69554e-07,  7.98529e-52])
15696   , -2336.81    , array([ 4.61225    ,  0.940383   ,  5.69554e-07,  7.98529e-52])
15697   , -2336.81    , array([ 4.61686    ,  0.940383   ,  5.69554e-07,  7.98529e-52])
15698   , -2336.81    , array([ 4.61225    ,  0.941324   ,  5.69554e-07,  7.98529e-52])
15699   , -2336.81    , array([ 4.61225    ,  0.940383   ,  5.70124e-07,  7.98529e-52])
15700   , -2336.81    , array([ 4.61225    ,  0.940383   ,  5.69554e-07,  7.99328e-52])
15701   , -2336.81    , array([ 4.43492    ,  0.940383   ,  4.93172e-07,  7.98529e-52])
15702   , -2336.81    , array([ 4.43492    ,  0.940383   ,  4.93172e-07,  7.98529e-52])
15703   , -2336.81    , array([ 4.43935    ,  0.940383   ,  4.93172e-07,  7.98529e-52])
15704   , -2336.81    , array([ 4.43492    ,  0.941324   ,  4.93172e-07,  7.98529e-52])
15705   , -2336.81    , array([ 4.43492    ,  0.940383   ,  4.93666e-07,  7.98529e-52])
15706   , -2336.81    , array([ 4.43492    ,  0.940383   ,  4.93172e-07,  7.99328e-52])
15707   , -2336.81    , array([ 3.95195    ,  0.940383   ,  3.23357e-07,  7.98529e-52])
15708   , -2336.81    , array([ 3.95195    ,  0.940383   ,  3.23357e-07,  7.98529e-52])
