6714    , -515.4      , array([ 0.238004   ,  0.00236909 ,  0.462051   ,  3.12787e-64])
6715    , -515.134    , array([ 0.238242   ,  0.00236909 ,  0.462051   ,  3.12787e-64])
6716    , -515.4      , array([ 0.238004   ,  0.00237146 ,  0.462051   ,  3.12787e-64])
6717    , -516.341    , array([ 0.238004   ,  0.00236909 ,  0.462514   ,  3.12787e-64])
6718    , -515.4      , array([ 0.238004   ,  0.00236909 ,  0.462051   ,  3.131e-64  ])
6719    , -515.4      , array([ 0.238004   ,  0.00236909 ,  0.462051   ,  3.12787e-64])
6720    , -646.84     , array([ 0.313098   ,  0.00236909 ,  0.174796   ,  3.12787e-64])
6721    , -646.84     , array([ 0.313098   ,  0.00236909 ,  0.174796   ,  3.12787e-64])
6722    , -646.848    , array([ 0.313411   ,  0.00236909 ,  0.174796   ,  3.12787e-64])
6723    , -646.84     , array([ 0.313098   ,  0.00237146 ,  0.174796   ,  3.12787e-64])
6724    , -646.356    , array([ 0.313098   ,  0.00236909 ,  0.17497    ,  3.12787e-64])
6725    , -646.84     , array([ 0.313098   ,  0.00236909 ,  0.174796   ,  3.131e-64  ])
6726    , -413.243    , array([ 0.260222   ,  0.00236909 ,  0.336746   ,  3.12787e-64])
6727    , -413.243    , array([ 0.260222   ,  0.00236909 ,  0.336746   ,  3.12787e-64])
6728    , -413.292    , array([ 0.260482   ,  0.00236909 ,  0.336746   ,  3.12787e-64])
6729    , -413.243    , array([ 0.260222   ,  0.00237146 ,  0.336746   ,  3.12787e-64])
6730    , -413.101    , array([ 0.260222   ,  0.00236909 ,  0.337083   ,  3.12787e-64])
6731    , -413.243    , array([ 0.260222   ,  0.00236909 ,  0.336746   ,  3.131e-64  ])
6738    , -413.243    , array([ 0.260221   ,  0.00236909 ,  0.336746   ,  3.12787e-64])
6739    , -413.243    , array([ 0.260221   ,  0.00236909 ,  0.336746   ,  3.12787e-64])
6740    , -413.292    , array([ 0.260482   ,  0.00236909 ,  0.336746   ,  3.12787e-64])
6741    , -413.243    , array([ 0.260221   ,  0.00237146 ,  0.336746   ,  3.12787e-64])
6742    , -413.101    , array([ 0.260221   ,  0.00236909 ,  0.337082   ,  3.12787e-64])
6743    , -413.243    , array([ 0.260221   ,  0.00236909 ,  0.336746   ,  3.131e-64  ])
6744    , -413.168    , array([ 0.25583    ,  0.00236909 ,  0.335116   ,  3.12787e-64])
6745    , -413.168    , array([ 0.25583    ,  0.00236909 ,  0.335116   ,  3.12787e-64])
6746    , -413.213    , array([ 0.256086   ,  0.00236909 ,  0.335116   ,  3.12787e-64])
6747    , -413.168    , array([ 0.25583    ,  0.00237146 ,  0.335116   ,  3.12787e-64])
6748    , -413.011    , array([ 0.25583    ,  0.00236909 ,  0.335451   ,  3.12787e-64])
