27651   , -2336.8     , array([ 0.280453   ,  0.381575   ,  1.94754e-09,  3.86606e-54])
27652   , -2336.8     , array([ 0.280733   ,  0.381575   ,  1.94754e-09,  3.86606e-54])
27653   , -2336.8     , array([ 0.280453   ,  0.381957   ,  1.94754e-09,  3.86606e-54])
27654   , -2336.8     , array([ 0.280453   ,  0.381575   ,  1.94948e-09,  3.86606e-54])
27655   , -2336.8     , array([ 0.280453   ,  0.381575   ,  1.94754e-09,  3.86993e-54])
27656   , -2336.8     , array([ 0.280453   ,  0.381575   ,  1.94754e-09,  3.86606e-54])
27657   , -2336.8     , array([ 0.280415   ,  0.381575   ,  1.94772e-09,  3.86606e-54])
27658   , -2336.8     , array([ 0.280415   ,  0.381575   ,  1.94772e-09,  3.86606e-54])
27659   , -2336.8     , array([ 0.280696   ,  0.381575   ,  1.94772e-09,  3.86606e-54])
27660   , -2336.8     , array([ 0.280415   ,  0.381957   ,  1.94772e-09,  3.86606e-54])
27661   , -2336.8     , array([ 0.280415   ,  0.381575   ,  1.94967e-09,  3.86606e-54])
27662   , -2336.8     , array([ 0.280415   ,  0.381575   ,  1.94772e-09,  3.86993e-54])
27663   , -2336.8     , array([ 0.280266   ,  0.381575   ,  1.94847e-09,  3.86606e-54])
27664   , -2336.8     , array([ 0.280266   ,  0.381575   ,  1.94847e-09,  3.86606e-54])
27665   , -2336.8     , array([ 0.280546   ,  0.381575   ,  1.94847e-09,  3.86606e-54])
27666   , -2336.8     , array([ 0.280266   ,  0.381957   ,  1.94847e-09,  3.86606e-54])
27667   , -2336.8     , array([ 0.280266   ,  0.381575   ,  1.95042e-09,  3.86606e-54])
27668   , -2336.8     , array([ 0.280266   ,  0.381575   ,  1.94847e-09,  3.86993e-54])
27669   , -2336.8     , array([ 0.279669   ,  0.381575   ,  1.95147e-09,  3.86606e-54])
27670   , -2336.8     , array([ 0.279669   ,  0.381575   ,  1.95147e-09,  3.86606e-54])
27671   , -2336.8     , array([ 0.279948   ,  0.381575   ,  1.95147e-09,  3.86606e-54])
27672   , -2336.8     , array([ 0.279669   ,  0.381957   ,  1.95147e-09,  3.86606e-54])
27673   , -2336.8     , array([ 0.279669   ,  0.381575   ,  1.95342e-09,  3.86606e-54])
27674   , -2336.8     , array([ 0.279669   ,  0.381575   ,  1.95147e-09,  3.86993e-54])
27675   , -2336.8     , array([ 0.277292   ,  0.381575   ,  1.9635e-09 ,  3.86606e-54])
27676   , -2336.8     , array([ 0.277292   ,  0.381575   ,  1.9635e-09 ,  3.86606e-54])
27677   , -2336.8     , array([ 0.277569   ,  0.381575   ,  1.9635e-09 ,  3.86606e-54])
27678   , -2336.8     , array([ 0.277292   ,  0.381957   ,  1.9635e-09 ,  3.86606e-54])
27679   , -2336.8     , array([ 0.277292   ,  0.381575   ,  1.96546e-09,  3.86606e-54])
27680   , -2336.8     , array([ 0.277292   ,  0.381575   ,  1.9635e-09 ,  3.86993e-54])
27681   , -2336.8     , array([ 0.267985   ,  0.381575   ,  2.01236e-09,  3.86606e-54])
27682   , -2336.8     , array([ 0.267985   ,  0.381575   ,  2.01236e-09,  3.86606e-54])
27683   , -2336.8     , array([ 0.268253   ,  0.381575   ,  2.01236e-09,  3.86606e-54])
27684   , -2336.8     , array([ 0.267985   ,  0.381957   ,  2.01236e-09,  3.86606e-54])
27685   , -2336.8     , array([ 0.267985   ,  0.381575   ,  2.01438e-09,  3.86606e-54])
27686   , -2336.8     , array([ 0.267985   ,  0.381575   ,  2.01236e-09,  3.86993e-54])
27687   , -2336.8     , array([ 0.233778   ,  0.381575   ,  2.22029e-09,  3.86606e-54])
27688   , -2336.8     , array([ 0.233778   ,  0.381575   ,  2.22029e-09,  3.86606e-54])
27689   , -2336.8     , array([ 0.234012   ,  0.381575   ,  2.22029e-09,  3.86606e-54])
27690   , -2336.8     , array([ 0.233778   ,  0.381957   ,  2.22029e-09,  3.86606e-54])
27691   , -2336.8     , array([ 0.233778   ,  0.381575   ,  2.22251e-09,  3.86606e-54])
