24418   , -2365.83    , array([ 10.0596    ,  3.87934    ,  1.84383e-57,  0.00198792 ])
24419   , -2365.83    , array([ 10.0696    ,  3.87934    ,  1.84383e-57,  0.00198792 ])
24420   , -2365.84    , array([ 10.0596    ,  3.88322    ,  1.84383e-57,  0.00198792 ])
24421   , -2365.83    , array([ 10.0596    ,  3.87934    ,  1.84567e-57,  0.00198792 ])
24422   , -2365.85    , array([ 10.0596    ,  3.87934    ,  1.84383e-57,  0.00198991 ])
24423   , -2365.83    , array([ 10.0596    ,  3.87934    ,  1.84383e-57,  0.00198792 ])
24424   , -2346.31    , array([ 10.0596    ,  2.78624    ,  1.84383e-57,  0.000765565])
24425   , -2346.31    , array([ 10.0596    ,  2.78624    ,  1.84383e-57,  0.000765565])
24426   , -2346.31    , array([ 10.0696    ,  2.78624    ,  1.84383e-57,  0.000765565])
24427   , -2346.32    , array([ 10.0596    ,  2.78903    ,  1.84383e-57,  0.000765565])
24428   , -2346.31    , array([ 10.0596    ,  2.78624    ,  1.84567e-57,  0.000765565])
24429   , -2346.32    , array([ 10.0596    ,  2.78624    ,  1.84383e-57,  0.000766331])
24430   , -2230.77    , array([ 10.0596    ,  0.13444    ,  1.84383e-57,  0.000936464])
24431   , -2230.77    , array([ 10.0596    ,  0.13444    ,  1.84383e-57,  0.000936464])
24432   , -2230.77    , array([ 10.0696    ,  0.13444    ,  1.84383e-57,  0.000936464])
24433   , -2230.89    , array([ 10.0596    ,  0.134574   ,  1.84383e-57,  0.000936464])
24434   , -2230.77    , array([ 10.0596    ,  0.13444    ,  1.84567e-57,  0.000936464])
24435   , -2230.68    , array([ 10.0596    ,  0.13444    ,  1.84383e-57,  0.000937401])
24442   , -2230.77    , array([ 10.0596    ,  0.134436   ,  1.84383e-57,  0.000936466])
24443   , -2230.77    , array([ 10.0596    ,  0.134436   ,  1.84383e-57,  0.000936466])
24444   , -2230.77    , array([ 10.0696    ,  0.134436   ,  1.84383e-57,  0.000936466])
24445   , -2230.88    , array([ 10.0596    ,  0.13457    ,  1.84383e-57,  0.000936466])
24446   , -2230.77    , array([ 10.0596    ,  0.134436   ,  1.84567e-57,  0.000936466])
24447   , -2230.67    , array([ 10.0596    ,  0.134436   ,  1.84383e-57,  0.000937403])
24448   , -2230.77    , array([ 10.0596    ,  0.134432   ,  1.84383e-57,  0.000936468])
24449   , -2230.77    , array([ 10.0596    ,  0.134432   ,  1.84383e-57,  0.000936468])
24450   , -2230.77    , array([ 10.0696    ,  0.134432   ,  1.84383e-57,  0.000936468])
24451   , -2230.88    , array([ 10.0596    ,  0.134566   ,  1.84383e-57,  0.000936468])
24452   , -2230.77    , array([ 10.0596    ,  0.134432   ,  1.84567e-57,  0.000936468])
24453   , -2230.67    , array([ 10.0596    ,  0.134432   ,  1.84383e-57,  0.000937404])
24460   , -2230.77    , array([ 10.0596    ,  0.134431   ,  1.84383e-57,  0.000936468])
24461   , -2230.77    , array([ 10.0596    ,  0.134431   ,  1.84383e-57,  0.000936468])
24462   , -2230.77    , array([ 10.0696    ,  0.134431   ,  1.84383e-57,  0.000936468])
24463   , -2230.88    , array([ 10.0596    ,  0.134565   ,  1.84383e-57,  0.000936468])
24464   , -2230.77    , array([ 10.0596    ,  0.134431   ,  1.84567e-57,  0.000936468])
24465   , -2230.67    , array([ 10.0596    ,  0.134431   ,  1.84383e-57,  0.000937405])
24466   , -2230.77    , array([ 10.0596    ,  0.13443    ,  1.84383e-57,  0.000936468])
24467   , -2230.77    , array([ 10.0596    ,  0.13443    ,  1.84383e-57,  0.000936468])
24468   , -2230.77    , array([ 10.0696    ,  0.13443    ,  1.84383e-57,  0.000936468])
24469   , -2230.88    , array([ 10.0596    ,  0.134564   ,  1.84383e-57,  0.000936468])
24470   , -2230.77    , array([ 10.0596    ,  0.13443    ,  1.84567e-57,  0.000936468])
24471   , -2230.67    , array([ 10.0596    ,  0.13443    ,  1.84383e-57,  0.000937405])
24472   , -2078.38    , array([ 10.0596    ,  0.00648656 ,  1.84383e-57,  0.00114552 ])
24473   , -2078.38    , array([ 10.0596    ,  0.00648656 ,  1.84383e-57,  0.00114552 ])
24474   , -2078.38    , array([ 10.0696    ,  0.00648656 ,  1.84383e-57,  0.00114552 ])
24475   , -2077.47    , array([ 10.0596    ,  0.00649305 ,  1.84383e-57,  0.00114552 ])
24476   , -2078.38    , array([ 10.0596    ,  0.00648656 ,  1.84567e-57,  0.00114552 ])
24477   , -2079.26    , array([ 10.0596    ,  0.00648656 ,  1.84383e-57,  0.00114666 ])
24478   , -2185.92    , array([ 10.0596    ,  0.0966796  ,  1.84383e-57,  0.000957215])
24479   , -2185.92    , array([ 10.0596    ,  0.0966796  ,  1.84383e-57,  0.000957215])
24480   , -2185.92    , array([ 10.0696    ,  0.0966796  ,  1.84383e-57,  0.000957215])
24481   , -2186.07    , array([ 10.0596    ,  0.0967763  ,  1.84383e-57,  0.000957215])
24482   , -2185.92    , array([ 10.0596    ,  0.0966796  ,  1.84567e-57,  0.000957215])
24483   , -2185.79    , array([ 10.0596    ,  0.0966796  ,  1.84383e-57,  0.000958172])
24484   , -1796.16    , array([ 10.0596    ,  0.0159309  ,  1.84383e-57,  0.0010791  ])
24485   , -1796.16    , array([ 10.0596    ,  0.0159309  ,  1.84383e-57,  0.0010791  ])
24486   , -1796.16    , array([ 10.0696    ,  0.0159309  ,  1.84383e-57,  0.0010791  ])
24487   , -1796.26    , array([ 10.0596    ,  0.0159468  ,  1.84383e-57,  0.0010791  ])
24488   , -1796.16    , array([ 10.0596    ,  0.0159309  ,  1.84567e-57,  0.0010791  ])
24489   , -1796.05    , array([ 10.0596    ,  0.0159309  ,  1.84383e-57,  0.00108018 ])
24490   , -1785.95    , array([ 10.0596    ,  0.0132216  ,  1.84383e-57,  0.00109256 ])
24491   , -1785.95    , array([ 10.0596    ,  0.0132216  ,  1.84383e-57,  0.00109256 ])
24492   , -1785.95    , array([ 10.0696    ,  0.0132216  ,  1.84383e-57,  0.00109256 ])
24493   , -1785.94    , array([ 10.0596    ,  0.0132348  ,  1.84383e-57,  0.00109256 ])
24494   , -1785.95    , array([ 10.0596    ,  0.0132216  ,  1.84567e-57,  0.00109256 ])
24495   , -1785.94    , array([ 10.0596    ,  0.0132216  ,  1.84383e-57,  0.00109365 ])
24496   , -1785.91    , array([ 10.0596    ,  0.0133695  ,  1.84383e-57,  0.00109175 ])
24497   , -1785.91    , array([ 10.0596    ,  0.0133695  ,  1.84383e-57,  0.00109175 ])
24498   , -1785.91    , array([ 10.0696    ,  0.0133695  ,  1.84383e-57,  0.00109175 ])
24499   , -1785.91    , array([ 10.0596    ,  0.0133829  ,  1.84383e-57,  0.00109175 ])
24500   , -1785.91    , array([ 10.0596    ,  0.0133695  ,  1.84567e-57,  0.00109175 ])
24501   , -1785.9     , array([ 10.0596    ,  0.0133695  ,  1.84383e-57,  0.00109284 ])
24508   , -1785.91    , array([ 10.0596    ,  0.0133695  ,  1.84383e-57,  0.00109175 ])
24509   , -1785.91    , array([ 10.0596    ,  0.0133695  ,  1.84383e-57,  0.00109175 ])
24510   , -1785.91    , array([ 10.0696    ,  0.0133695  ,  1.84383e-57,  0.00109175 ])
24511   , -1785.91    , array([ 10.0596    ,  0.0133829  ,  1.84383e-57,  0.00109175 ])
24512   , -1785.91    , array([ 10.0596    ,  0.0133695  ,  1.84567e-57,  0.00109175 ])
24513   , -1785.9     , array([ 10.0596    ,  0.0133695  ,  1.84383e-57,  0.00109284 ])
24514   , -1785.91    , array([ 10.0596    ,  0.0133271  ,  1.84383e-57,  0.00109243 ])
24515   , -1785.91    , array([ 10.0596    ,  0.0133271  ,  1.84383e-57,  0.00109243 ])
24516   , -1785.91    , array([ 10.0696    ,  0.0133271  ,  1.84383e-57,  0.00109243 ])
24517   , -1785.91    , array([ 10.0596    ,  0.0133404  ,  1.84383e-57,  0.00109243 ])
24518   , -1785.91    , array([ 10.0596    ,  0.0133271  ,  1.84567e-57,  0.00109243 ])
24519   , -1785.9     , array([ 10.0596    ,  0.0133271  ,  1.84383e-57,  0.00109353 ])
24520   , -1785.9     , array([ 10.0596    ,  0.0133351  ,  1.84383e-57,  0.00109312 ])
24521   , -1785.9     , array([ 10.0596    ,  0.0133351  ,  1.84383e-57,  0.00109312 ])
24522   , -1785.9     , array([ 10.0696    ,  0.0133351  ,  1.84383e-57,  0.00109312 ])
24523   , -1785.9     , array([ 10.0596    ,  0.0133484  ,  1.84383e-57,  0.00109312 ])
24524   , -1785.9     , array([ 10.0596    ,  0.0133351  ,  1.84567e-57,  0.00109312 ])
24525   , -1785.89    , array([ 10.0596    ,  0.0133351  ,  1.84383e-57,  0.00109421 ])
24526   , -1785.87    , array([ 10.0596    ,  0.0133671  ,  1.84383e-57,  0.00109585 ])
24527   , -1785.87    , array([ 10.0596    ,  0.0133671  ,  1.84383e-57,  0.00109585 ])
24528   , -1785.87    , array([ 10.0696    ,  0.0133671  ,  1.84383e-57,  0.00109585 ])
24529   , -1785.87    , array([ 10.0596    ,  0.0133805  ,  1.84383e-57,  0.00109585 ])
24530   , -1785.87    , array([ 10.0596    ,  0.0133671  ,  1.84567e-57,  0.00109585 ])
24531   , -1785.86    , array([ 10.0596    ,  0.0133671  ,  1.84383e-57,  0.00109694 ])
24532   , -1785.74    , array([ 10.0596    ,  0.0134961  ,  1.84383e-57,  0.00110685 ])
24533   , -1785.74    , array([ 10.0596    ,  0.0134961  ,  1.84383e-57,  0.00110685 ])
24534   , -1785.74    , array([ 10.0696    ,  0.0134961  ,  1.84383e-57,  0.00110685 ])
24535   , -1785.74    , array([ 10.0596    ,  0.0135096  ,  1.84383e-57,  0.00110685 ])
24536   , -1785.74    , array([ 10.0596    ,  0.0134961  ,  1.84567e-57,  0.00110685 ])
24537   , -1785.73    , array([ 10.0596    ,  0.0134961  ,  1.84383e-57,  0.00110795 ])
24538   , -1785.21    , array([ 10.0596    ,  0.0140245  ,  1.84383e-57,  0.00115195 ])
24539   , -1785.21    , array([ 10.0596    ,  0.0140245  ,  1.84383e-57,  0.00115195 ])
24540   , -1785.21    , array([ 10.0696    ,  0.0140245  ,  1.84383e-57,  0.00115195 ])
24541   , -1785.21    , array([ 10.0596    ,  0.0140386  ,  1.84383e-57,  0.00115195 ])
24542   , -1785.21    , array([ 10.0596    ,  0.0140245  ,  1.84567e-57,  0.00115195 ])
24543   , -1785.2     , array([ 10.0596    ,  0.0140245  ,  1.84383e-57,  0.0011531  ])
24544   , -1782.87    , array([ 10.0596    ,  0.0163535  ,  1.84383e-57,  0.00135152 ])
24545   , -1782.87    , array([ 10.0596    ,  0.0163535  ,  1.84383e-57,  0.00135152 ])
24546   , -1782.87    , array([ 10.0696    ,  0.0163535  ,  1.84383e-57,  0.00135152 ])
24547   , -1782.87    , array([ 10.0596    ,  0.0163699  ,  1.84383e-57,  0.00135152 ])
24548   , -1782.87    , array([ 10.0596    ,  0.0163535  ,  1.84567e-57,  0.00135152 ])
24549   , -1782.86    , array([ 10.0596    ,  0.0163535  ,  1.84383e-57,  0.00135287 ])
24550   , -1768.79    , array([ 10.0596    ,  0.0302343  ,  1.84383e-57,  0.00256076 ])
24551   , -1768.79    , array([ 10.0596    ,  0.0302343  ,  1.84383e-57,  0.00256076 ])
24552   , -1768.79    , array([ 10.0696    ,  0.0302343  ,  1.84383e-57,  0.00256076 ])
24553   , -1768.79    , array([ 10.0596    ,  0.0302645  ,  1.84383e-57,  0.00256076 ])
24554   , -1768.79    , array([ 10.0596    ,  0.0302343  ,  1.84567e-57,  0.00256076 ])
24555   , -1768.75    , array([ 10.0596    ,  0.0302343  ,  1.84383e-57,  0.00256332 ])
24556   , -1642.04    , array([ 10.0596    ,  0.353227   ,  1.84383e-57,  0.0330037  ])
24557   , -1642.04    , array([ 10.0596    ,  0.353227   ,  1.84383e-57,  0.0330037  ])
24558   , -1642.04    , array([ 10.0696    ,  0.353227   ,  1.84383e-57,  0.0330037  ])
24559   , -1642.62    , array([ 10.0596    ,  0.35358    ,  1.84383e-57,  0.0330037  ])
24560   , -1642.04    , array([ 10.0596    ,  0.353227   ,  1.84567e-57,  0.0330037  ])
24561   , -1641.57    , array([ 10.0596    ,  0.353227   ,  1.84383e-57,  0.0330367  ])
24562   , -1742.71    , array([ 10.0596    ,  0.0566005  ,  1.84383e-57,  0.00491549 ])
24563   , -1742.71    , array([ 10.0596    ,  0.0566005  ,  1.84383e-57,  0.00491549 ])
24564   , -1742.71    , array([ 10.0696    ,  0.0566005  ,  1.84383e-57,  0.00491549 ])
24565   , -1742.75    , array([ 10.0596    ,  0.0566571  ,  1.84383e-57,  0.00491549 ])
24566   , -1742.71    , array([ 10.0596    ,  0.0566005  ,  1.84567e-57,  0.00491549 ])
24567   , -1742.62    , array([ 10.0596    ,  0.0566005  ,  1.84383e-57,  0.0049204  ])
24568   , -1635.26    , array([ 10.0596    ,  0.255758   ,  1.84383e-57,  0.0235905  ])
24569   , -1635.26    , array([ 10.0596    ,  0.255758   ,  1.84383e-57,  0.0235905  ])
