27303   , -2336.8     , array([ 3.8351     ,  0.679383   ,  1.42371e-08,  4.64082e-23])
27304   , -2336.8     , array([ 3.83894    ,  0.679383   ,  1.42371e-08,  4.64082e-23])
27305   , -2336.8     , array([ 3.8351     ,  0.680062   ,  1.42371e-08,  4.64082e-23])
27306   , -2336.8     , array([ 3.8351     ,  0.679383   ,  1.42513e-08,  4.64082e-23])
27307   , -2336.8     , array([ 3.8351     ,  0.679383   ,  1.42371e-08,  4.64547e-23])
27308   , -2336.8     , array([ 3.8351     ,  0.679383   ,  1.42371e-08,  4.64082e-23])
27309   , -2336.8     , array([ 3.83483    ,  0.679383   ,  1.42342e-08,  4.64082e-23])
27310   , -2336.8     , array([ 3.83483    ,  0.679383   ,  1.42342e-08,  4.64082e-23])
27311   , -2336.8     , array([ 3.83867    ,  0.679383   ,  1.42342e-08,  4.64082e-23])
27312   , -2336.8     , array([ 3.83483    ,  0.680062   ,  1.42342e-08,  4.64082e-23])
27313   , -2336.8     , array([ 3.83483    ,  0.679383   ,  1.42484e-08,  4.64082e-23])
27314   , -2336.8     , array([ 3.83483    ,  0.679383   ,  1.42342e-08,  4.64547e-23])
27315   , -2336.8     , array([ 3.83374    ,  0.679383   ,  1.42227e-08,  4.64082e-23])
27316   , -2336.8     , array([ 3.83374    ,  0.679383   ,  1.42227e-08,  4.64082e-23])
27317   , -2336.8     , array([ 3.83757    ,  0.679383   ,  1.42227e-08,  4.64082e-23])
27318   , -2336.8     , array([ 3.83374    ,  0.680062   ,  1.42227e-08,  4.64082e-23])
27319   , -2336.8     , array([ 3.83374    ,  0.679383   ,  1.42369e-08,  4.64082e-23])
27320   , -2336.8     , array([ 3.83374    ,  0.679383   ,  1.42227e-08,  4.64547e-23])
27321   , -2336.8     , array([ 3.82937    ,  0.679383   ,  1.41767e-08,  4.64082e-23])
27322   , -2336.8     , array([ 3.82937    ,  0.679383   ,  1.41767e-08,  4.64082e-23])
27323   , -2336.8     , array([ 3.8332     ,  0.679383   ,  1.41767e-08,  4.64082e-23])
27324   , -2336.8     , array([ 3.82937    ,  0.680062   ,  1.41767e-08,  4.64082e-23])
27325   , -2336.8     , array([ 3.82937    ,  0.679383   ,  1.41909e-08,  4.64082e-23])
27326   , -2336.8     , array([ 3.82937    ,  0.679383   ,  1.41767e-08,  4.64547e-23])
27327   , -2336.8     , array([ 3.81194    ,  0.679383   ,  1.39944e-08,  4.64082e-23])
27328   , -2336.8     , array([ 3.81194    ,  0.679383   ,  1.39944e-08,  4.64082e-23])
27329   , -2336.8     , array([ 3.81575    ,  0.679383   ,  1.39944e-08,  4.64082e-23])
27330   , -2336.8     , array([ 3.81194    ,  0.680062   ,  1.39944e-08,  4.64082e-23])
27331   , -2336.8     , array([ 3.81194    ,  0.679383   ,  1.40084e-08,  4.64082e-23])
27332   , -2336.8     , array([ 3.81194    ,  0.679383   ,  1.39944e-08,  4.64547e-23])
27333   , -2336.8     , array([ 3.74302    ,  0.679383   ,  1.32882e-08,  4.64082e-23])
27334   , -2336.8     , array([ 3.74302    ,  0.679383   ,  1.32882e-08,  4.64082e-23])
