27417   , -2336.4     , array([ 0.893584   ,  7.04776    ,  0.000178682,  4.56381e-53])
27418   , -2336.4     , array([ 0.894478   ,  7.04776    ,  0.000178682,  4.56381e-53])
27419   , -2336.4     , array([ 0.893584   ,  7.05481    ,  0.000178682,  4.56381e-53])
27420   , -2336.4     , array([ 0.893584   ,  7.04776    ,  0.000178861,  4.56381e-53])
27421   , -2336.4     , array([ 0.893584   ,  7.04776    ,  0.000178682,  4.56838e-53])
27422   , -2336.4     , array([ 0.893584   ,  7.04776    ,  0.000178682,  4.56381e-53])
27423   , -2329       , array([ 0.327315   ,  7.04776    ,  0.000198861,  4.56381e-53])
27424   , -2329       , array([ 0.327315   ,  7.04776    ,  0.000198861,  4.56381e-53])
27425   , -2329.01    , array([ 0.327643   ,  7.04776    ,  0.000198861,  4.56381e-53])
27426   , -2329       , array([ 0.327315   ,  7.05481    ,  0.000198861,  4.56381e-53])
27427   , -2328.99    , array([ 0.327315   ,  7.04776    ,  0.00019906 ,  4.56381e-53])
27428   , -2329       , array([ 0.327315   ,  7.04776    ,  0.000198861,  4.56838e-53])
27429   , -1839.62    , array([ 0.00589236 ,  7.04776    ,  0.000305085,  4.56381e-53])
27430   , -1839.62    , array([ 0.00589236 ,  7.04776    ,  0.000305085,  4.56381e-53])
27431   , -1839.8     , array([ 0.00589826 ,  7.04776    ,  0.000305085,  4.56381e-53])
27432   , -1839.62    , array([ 0.00589236 ,  7.05481    ,  0.000305085,  4.56381e-53])
27433   , -1839.44    , array([ 0.00589236 ,  7.04776    ,  0.00030539 ,  4.56381e-53])
27434   , -1839.62    , array([ 0.00589236 ,  7.04776    ,  0.000305085,  4.56838e-53])
27441   , -1839.6     , array([ 0.00589186 ,  7.04776    ,  0.000305088,  4.56381e-53])
27442   , -1839.6     , array([ 0.00589186 ,  7.04776    ,  0.000305088,  4.56381e-53])
27443   , -1839.78    , array([ 0.00589775 ,  7.04776    ,  0.000305088,  4.56381e-53])
27444   , -1839.6     , array([ 0.00589186 ,  7.05481    ,  0.000305088,  4.56381e-53])
27445   , -1839.42    , array([ 0.00589186 ,  7.04776    ,  0.000305393,  4.56381e-53])
27446   , -1839.6     , array([ 0.00589186 ,  7.04776    ,  0.000305088,  4.56838e-53])
27447   , -1830.57    , array([ 0.00302302 ,  7.04776    ,  0.000327567,  4.56381e-53])
27448   , -1830.57    , array([ 0.00302302 ,  7.04776    ,  0.000327567,  4.56381e-53])
27449   , -1830.32    , array([ 0.00302604 ,  7.04776    ,  0.000327567,  4.56381e-53])
27450   , -1830.57    , array([ 0.00302302 ,  7.05481    ,  0.000327567,  4.56381e-53])
27451   , -1830.81    , array([ 0.00302302 ,  7.04776    ,  0.000327895,  4.56381e-53])
27452   , -1830.57    , array([ 0.00302302 ,  7.04776    ,  0.000327567,  4.56838e-53])
27453   , -1799.2     , array([ 0.00445444 ,  7.04776    ,  0.000314315,  4.56381e-53])
27454   , -1799.2     , array([ 0.00445444 ,  7.04776    ,  0.000314315,  4.56381e-53])
27455   , -1799.27    , array([ 0.00445889 ,  7.04776    ,  0.000314315,  4.56381e-53])
27456   , -1799.2     , array([ 0.00445444 ,  7.05481    ,  0.000314315,  4.56381e-53])
27457   , -1799.13    , array([ 0.00445444 ,  7.04776    ,  0.000314629,  4.56381e-53])
27458   , -1799.2     , array([ 0.00445444 ,  7.04776    ,  0.000314315,  4.56838e-53])
27459   , -1794.99    , array([ 0.00399276 ,  7.04776    ,  0.000318   ,  4.56381e-53])
27460   , -1794.99    , array([ 0.00399276 ,  7.04776    ,  0.000318   ,  4.56381e-53])
27461   , -1794.99    , array([ 0.00399675 ,  7.04776    ,  0.000318   ,  4.56381e-53])
27462   , -1794.99    , array([ 0.00399276 ,  7.05481    ,  0.000318   ,  4.56381e-53])
