31560   , -2336.71    , array([ 0.359687   ,  0.856073   ,  4.08093e-70,  3.02482e-05])
31561   , -2336.71    , array([ 0.360047   ,  0.856073   ,  4.08093e-70,  3.02482e-05])
31562   , -2336.71    , array([ 0.359687   ,  0.856929   ,  4.08093e-70,  3.02482e-05])
31563   , -2336.71    , array([ 0.359687   ,  0.856073   ,  4.08501e-70,  3.02482e-05])
31564   , -2336.71    , array([ 0.359687   ,  0.856073   ,  4.08093e-70,  3.02784e-05])
31565   , -2336.71    , array([ 0.359687   ,  0.856073   ,  4.08093e-70,  3.02482e-05])
31566   , -2335.97    , array([ 0.359687   ,  0.434377   ,  4.08093e-70,  3.33541e-05])
31567   , -2335.97    , array([ 0.359687   ,  0.434377   ,  4.08093e-70,  3.33541e-05])
31568   , -2335.97    , array([ 0.360047   ,  0.434377   ,  4.08093e-70,  3.33541e-05])
31569   , -2335.97    , array([ 0.359687   ,  0.434812   ,  4.08093e-70,  3.33541e-05])
31570   , -2335.97    , array([ 0.359687   ,  0.434377   ,  4.08501e-70,  3.33541e-05])
31571   , -2335.97    , array([ 0.359687   ,  0.434377   ,  4.08093e-70,  3.33875e-05])
31572   , -2305.65    , array([ 0.359687   ,  0.0287934  ,  4.08093e-70,  4.93119e-05])
31573   , -2305.65    , array([ 0.359687   ,  0.0287934  ,  4.08093e-70,  4.93119e-05])
31574   , -2305.65    , array([ 0.360047   ,  0.0287934  ,  4.08093e-70,  4.93119e-05])
31575   , -2305.68    , array([ 0.359687   ,  0.0288222  ,  4.08093e-70,  4.93119e-05])
31576   , -2305.65    , array([ 0.359687   ,  0.0287934  ,  4.08501e-70,  4.93119e-05])
31577   , -2305.62    , array([ 0.359687   ,  0.0287934  ,  4.08093e-70,  4.93612e-05])
31584   , -2305.65    , array([ 0.359687   ,  0.0287932  ,  4.08093e-70,  4.9312e-05 ])
31585   , -2305.65    , array([ 0.359687   ,  0.0287932  ,  4.08093e-70,  4.9312e-05 ])
31586   , -2305.65    , array([ 0.360047   ,  0.0287932  ,  4.08093e-70,  4.9312e-05 ])
31587   , -2305.68    , array([ 0.359687   ,  0.028822   ,  4.08093e-70,  4.9312e-05 ])
31588   , -2305.65    , array([ 0.359687   ,  0.0287932  ,  4.08501e-70,  4.9312e-05 ])
31589   , -2305.62    , array([ 0.359687   ,  0.0287932  ,  4.08093e-70,  4.93613e-05])
31590   , -2305.65    , array([ 0.359687   ,  0.0287929  ,  4.08093e-70,  4.9312e-05 ])
31591   , -2305.65    , array([ 0.359687   ,  0.0287929  ,  4.08093e-70,  4.9312e-05 ])
31592   , -2305.65    , array([ 0.360047   ,  0.0287929  ,  4.08093e-70,  4.9312e-05 ])
31593   , -2305.68    , array([ 0.359687   ,  0.0288218  ,  4.08093e-70,  4.9312e-05 ])
31594   , -2305.65    , array([ 0.359687   ,  0.0287929  ,  4.08501e-70,  4.9312e-05 ])
31595   , -2305.62    , array([ 0.359687   ,  0.0287929  ,  4.08093e-70,  4.93613e-05])
31602   , -2305.65    , array([ 0.359687   ,  0.0287929  ,  4.08093e-70,  4.9312e-05 ])
31603   , -2305.65    , array([ 0.359687   ,  0.0287929  ,  4.08093e-70,  4.9312e-05 ])
31604   , -2305.65    , array([ 0.360047   ,  0.0287929  ,  4.08093e-70,  4.9312e-05 ])
31605   , -2305.68    , array([ 0.359687   ,  0.0288217  ,  4.08093e-70,  4.9312e-05 ])
31606   , -2305.65    , array([ 0.359687   ,  0.0287929  ,  4.08501e-70,  4.9312e-05 ])
31607   , -2305.62    , array([ 0.359687   ,  0.0287929  ,  4.08093e-70,  4.93614e-05])
31608   , -2305.65    , array([ 0.359687   ,  0.0287928  ,  4.08093e-70,  4.9312e-05 ])
31609   , -2305.65    , array([ 0.359687   ,  0.0287928  ,  4.08093e-70,  4.9312e-05 ])
31610   , -2305.65    , array([ 0.360047   ,  0.0287928  ,  4.08093e-70,  4.9312e-05 ])
31611   , -2305.68    , array([ 0.359687   ,  0.0288217  ,  4.08093e-70,  4.9312e-05 ])
31612   , -2305.65    , array([ 0.359687   ,  0.0287928  ,  4.08501e-70,  4.9312e-05 ])
31613   , -2305.62    , array([ 0.359687   ,  0.0287928  ,  4.08093e-70,  4.93614e-05])
31614   , -1902.62    , array([ 0.359687   ,  0.00190859 ,  4.08093e-70,  7.29046e-05])
31615   , -1902.62    , array([ 0.359687   ,  0.00190859 ,  4.08093e-70,  7.29046e-05])
31616   , -1902.62    , array([ 0.360047   ,  0.00190859 ,  4.08093e-70,  7.29046e-05])
31617   , -1902.85    , array([ 0.359687   ,  0.0019105  ,  4.08093e-70,  7.29046e-05])
31618   , -1902.62    , array([ 0.359687   ,  0.00190859 ,  4.08501e-70,  7.29046e-05])
31619   , -1902.4     , array([ 0.359687   ,  0.00190859 ,  4.08093e-70,  7.29775e-05])
31620   , -1902.62    , array([ 0.359687   ,  0.00190858 ,  4.08093e-70,  7.29046e-05])
31621   , -1902.62    , array([ 0.359687   ,  0.00190858 ,  4.08093e-70,  7.29046e-05])
31622   , -1902.62    , array([ 0.360047   ,  0.00190858 ,  4.08093e-70,  7.29046e-05])
31623   , -1902.84    , array([ 0.359687   ,  0.00191049 ,  4.08093e-70,  7.29046e-05])
31624   , -1902.62    , array([ 0.359687   ,  0.00190858 ,  4.08501e-70,  7.29046e-05])
