25582   , -2336.8     , array([ 0.0016474  ,  0.66289    ,  1.27338e-24,  3.99446e-08])
25583   , -2336.8     , array([ 0.00164905 ,  0.66289    ,  1.27338e-24,  3.99446e-08])
25584   , -2336.8     , array([ 0.0016474  ,  0.663553   ,  1.27338e-24,  3.99446e-08])
25585   , -2336.8     , array([ 0.0016474  ,  0.66289    ,  1.27465e-24,  3.99446e-08])
25586   , -2336.8     , array([ 0.0016474  ,  0.66289    ,  1.27338e-24,  3.99846e-08])
25587   , -2336.8     , array([ 0.0016474  ,  0.66289    ,  1.27338e-24,  3.99446e-08])
25588   , -2336.8     , array([ 0.0016474  ,  0.662124   ,  1.27338e-24,  3.99602e-08])
25589   , -2336.8     , array([ 0.0016474  ,  0.662124   ,  1.27338e-24,  3.99602e-08])
25590   , -2336.8     , array([ 0.00164905 ,  0.662124   ,  1.27338e-24,  3.99602e-08])
25591   , -2336.8     , array([ 0.0016474  ,  0.662786   ,  1.27338e-24,  3.99602e-08])
25592   , -2336.8     , array([ 0.0016474  ,  0.662124   ,  1.27465e-24,  3.99602e-08])
25593   , -2336.8     , array([ 0.0016474  ,  0.662124   ,  1.27338e-24,  4.00002e-08])
25594   , -2336.8     , array([ 0.0016474  ,  0.659066   ,  1.27338e-24,  4.00227e-08])
25595   , -2336.8     , array([ 0.0016474  ,  0.659066   ,  1.27338e-24,  4.00227e-08])
25596   , -2336.8     , array([ 0.00164905 ,  0.659066   ,  1.27338e-24,  4.00227e-08])
25597   , -2336.8     , array([ 0.0016474  ,  0.659725   ,  1.27338e-24,  4.00227e-08])
25598   , -2336.8     , array([ 0.0016474  ,  0.659066   ,  1.27465e-24,  4.00227e-08])
25599   , -2336.8     , array([ 0.0016474  ,  0.659066   ,  1.27338e-24,  4.00627e-08])
25600   , -2336.8     , array([ 0.0016474  ,  0.646976   ,  1.27338e-24,  4.02735e-08])
25601   , -2336.8     , array([ 0.0016474  ,  0.646976   ,  1.27338e-24,  4.02735e-08])
25602   , -2336.8     , array([ 0.00164905 ,  0.646976   ,  1.27338e-24,  4.02735e-08])
25603   , -2336.8     , array([ 0.0016474  ,  0.647623   ,  1.27338e-24,  4.02735e-08])
25604   , -2336.8     , array([ 0.0016474  ,  0.646976   ,  1.27465e-24,  4.02735e-08])
25605   , -2336.8     , array([ 0.0016474  ,  0.646976   ,  1.27338e-24,  4.03138e-08])
25606   , -2336.8     , array([ 0.0016474  ,  0.600792   ,  1.27338e-24,  4.12926e-08])
25607   , -2336.8     , array([ 0.0016474  ,  0.600792   ,  1.27338e-24,  4.12926e-08])
25608   , -2336.8     , array([ 0.00164905 ,  0.600792   ,  1.27338e-24,  4.12926e-08])
25609   , -2336.8     , array([ 0.0016474  ,  0.601393   ,  1.27338e-24,  4.12926e-08])
25610   , -2336.8     , array([ 0.0016474  ,  0.600792   ,  1.27465e-24,  4.12926e-08])
25611   , -2336.8     , array([ 0.0016474  ,  0.600792   ,  1.27338e-24,  4.13339e-08])
25612   , -2336.8     , array([ 0.0016474  ,  0.446756   ,  1.27338e-24,  4.56334e-08])
25613   , -2336.8     , array([ 0.0016474  ,  0.446756   ,  1.27338e-24,  4.56334e-08])
25614   , -2336.8     , array([ 0.00164905 ,  0.446756   ,  1.27338e-24,  4.56334e-08])
25615   , -2336.8     , array([ 0.0016474  ,  0.447203   ,  1.27338e-24,  4.56334e-08])
25616   , -2336.8     , array([ 0.0016474  ,  0.446756   ,  1.27465e-24,  4.56334e-08])
25617   , -2336.8     , array([ 0.0016474  ,  0.446756   ,  1.27338e-24,  4.56791e-08])
25618   , -2336.8     , array([ 0.0016474  ,  0.136601   ,  1.27338e-24,  6.80656e-08])
25619   , -2336.8     , array([ 0.0016474  ,  0.136601   ,  1.27338e-24,  6.80656e-08])
25620   , -2336.8     , array([ 0.00164905 ,  0.136601   ,  1.27338e-24,  6.80656e-08])
25621   , -2336.8     , array([ 0.0016474  ,  0.136737   ,  1.27338e-24,  6.80656e-08])
25622   , -2336.8     , array([ 0.0016474  ,  0.136601   ,  1.27465e-24,  6.80656e-08])
25623   , -2336.8     , array([ 0.0016474  ,  0.136601   ,  1.27338e-24,  6.81337e-08])
25624   , -2331.41    , array([ 0.0016474  ,  0.00119394 ,  1.27338e-24,  3.36904e-07])
25625   , -2331.41    , array([ 0.0016474  ,  0.00119394 ,  1.27338e-24,  3.36904e-07])
25626   , -2331.41    , array([ 0.00164905 ,  0.00119394 ,  1.27338e-24,  3.36904e-07])
25627   , -2331.42    , array([ 0.0016474  ,  0.00119513 ,  1.27338e-24,  3.36904e-07])
25628   , -2331.41    , array([ 0.0016474  ,  0.00119394 ,  1.27465e-24,  3.36904e-07])
25629   , -2331.41    , array([ 0.0016474  ,  0.00119394 ,  1.27338e-24,  3.37241e-07])
25636   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25637   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25638   , -2331.41    , array([ 0.00164905 ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25639   , -2331.42    , array([ 0.0016474  ,  0.00119513 ,  1.27338e-24,  3.36905e-07])
25640   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27465e-24,  3.36905e-07])
25641   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.37242e-07])
25642   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25643   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25644   , -2331.41    , array([ 0.00164905 ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25645   , -2331.42    , array([ 0.0016474  ,  0.00119512 ,  1.27338e-24,  3.36905e-07])
25646   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27465e-24,  3.36905e-07])
25647   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.37242e-07])
25654   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25655   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25656   , -2331.41    , array([ 0.00164905 ,  0.00119393 ,  1.27338e-24,  3.36905e-07])
25657   , -2331.42    , array([ 0.0016474  ,  0.00119512 ,  1.27338e-24,  3.36905e-07])
25658   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27465e-24,  3.36905e-07])
25659   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.37242e-07])
25660   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25661   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25662   , -2331.41    , array([ 0.00164905 ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25663   , -2331.42    , array([ 0.0016474  ,  0.00119512 ,  1.27338e-24,  3.36906e-07])
25664   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27465e-24,  3.36906e-07])
25665   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.37243e-07])
25672   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25673   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25674   , -2331.41    , array([ 0.00164905 ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25675   , -2331.42    , array([ 0.0016474  ,  0.00119512 ,  1.27338e-24,  3.36906e-07])
25676   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27465e-24,  3.36906e-07])
25677   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.37243e-07])
25678   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25679   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25680   , -2331.41    , array([ 0.00164905 ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
25681   , -2331.42    , array([ 0.0016474  ,  0.00119512 ,  1.27338e-24,  3.36906e-07])
25682   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27465e-24,  3.36906e-07])
25683   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.37243e-07])
25690   , -2331.41    , array([ 0.0016474  ,  0.00119393 ,  1.27338e-24,  3.36906e-07])
