850     , -2336.8     , array([ 0.232906   ,  0.555468   ,  3.25298e-09,  3.29233e-88])
851     , -2336.8     , array([ 0.233139   ,  0.555468   ,  3.25298e-09,  3.29233e-88])
852     , -2336.8     , array([ 0.232906   ,  0.556024   ,  3.25298e-09,  3.29233e-88])
853     , -2336.8     , array([ 0.232906   ,  0.555468   ,  3.25624e-09,  3.29233e-88])
854     , -2336.8     , array([ 0.232906   ,  0.555468   ,  3.25298e-09,  3.29563e-88])
855     , -2336.8     , array([ 0.232906   ,  0.555468   ,  3.25298e-09,  3.29233e-88])
856     , -2336.8     , array([ 0.232843   ,  0.555468   ,  3.25365e-09,  3.29233e-88])
857     , -2336.8     , array([ 0.232843   ,  0.555468   ,  3.25365e-09,  3.29233e-88])
858     , -2336.8     , array([ 0.233076   ,  0.555468   ,  3.25365e-09,  3.29233e-88])
859     , -2336.8     , array([ 0.232843   ,  0.556024   ,  3.25365e-09,  3.29233e-88])
860     , -2336.8     , array([ 0.232843   ,  0.555468   ,  3.25691e-09,  3.29233e-88])
861     , -2336.8     , array([ 0.232843   ,  0.555468   ,  3.25365e-09,  3.29563e-88])
862     , -2336.8     , array([ 0.232594   ,  0.555468   ,  3.25634e-09,  3.29233e-88])
863     , -2336.8     , array([ 0.232594   ,  0.555468   ,  3.25634e-09,  3.29233e-88])
864     , -2336.8     , array([ 0.232826   ,  0.555468   ,  3.25634e-09,  3.29233e-88])
865     , -2336.8     , array([ 0.232594   ,  0.556024   ,  3.25634e-09,  3.29233e-88])
866     , -2336.8     , array([ 0.232594   ,  0.555468   ,  3.25959e-09,  3.29233e-88])
867     , -2336.8     , array([ 0.232594   ,  0.555468   ,  3.25634e-09,  3.29563e-88])
868     , -2336.8     , array([ 0.231598   ,  0.555468   ,  3.26708e-09,  3.29233e-88])
869     , -2336.8     , array([ 0.231598   ,  0.555468   ,  3.26708e-09,  3.29233e-88])
870     , -2336.8     , array([ 0.231829   ,  0.555468   ,  3.26708e-09,  3.29233e-88])
871     , -2336.8     , array([ 0.231598   ,  0.556024   ,  3.26708e-09,  3.29233e-88])
872     , -2336.8     , array([ 0.231598   ,  0.555468   ,  3.27035e-09,  3.29233e-88])
873     , -2336.8     , array([ 0.231598   ,  0.555468   ,  3.26708e-09,  3.29563e-88])
874     , -2336.8     , array([ 0.227656   ,  0.555468   ,  3.31043e-09,  3.29233e-88])
875     , -2336.8     , array([ 0.227656   ,  0.555468   ,  3.31043e-09,  3.29233e-88])
876     , -2336.8     , array([ 0.227884   ,  0.555468   ,  3.31043e-09,  3.29233e-88])
877     , -2336.8     , array([ 0.227656   ,  0.556024   ,  3.31043e-09,  3.29233e-88])
878     , -2336.8     , array([ 0.227656   ,  0.555468   ,  3.31374e-09,  3.29233e-88])
879     , -2336.8     , array([ 0.227656   ,  0.555468   ,  3.31043e-09,  3.29563e-88])
880     , -2336.8     , array([ 0.212551   ,  0.555468   ,  3.48966e-09,  3.29233e-88])
881     , -2336.8     , array([ 0.212551   ,  0.555468   ,  3.48966e-09,  3.29233e-88])
882     , -2336.8     , array([ 0.212763   ,  0.555468   ,  3.48966e-09,  3.29233e-88])
883     , -2336.8     , array([ 0.212551   ,  0.556024   ,  3.48966e-09,  3.29233e-88])
884     , -2336.8     , array([ 0.212551   ,  0.555468   ,  3.49315e-09,  3.29233e-88])
885     , -2336.8     , array([ 0.212551   ,  0.555468   ,  3.48966e-09,  3.29563e-88])
886     , -2336.8     , array([ 0.161508   ,  0.555468   ,  4.30898e-09,  3.29233e-88])
887     , -2336.8     , array([ 0.161508   ,  0.555468   ,  4.30898e-09,  3.29233e-88])
888     , -2336.8     , array([ 0.161669   ,  0.555468   ,  4.30898e-09,  3.29233e-88])
889     , -2336.8     , array([ 0.161508   ,  0.556024   ,  4.30898e-09,  3.29233e-88])
890     , -2336.8     , array([ 0.161508   ,  0.555468   ,  4.31329e-09,  3.29233e-88])
891     , -2336.8     , array([ 0.161508   ,  0.555468   ,  4.30898e-09,  3.29563e-88])
892     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
893     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
894     , -2336.8     , array([ 0.0538953  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
895     , -2336.8     , array([ 0.0538414  ,  0.556024   ,  1.00171e-08,  3.29233e-88])
896     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00271e-08,  3.29233e-88])
897     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29563e-88])
904     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
905     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
906     , -2336.8     , array([ 0.0538953  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
907     , -2336.8     , array([ 0.0538414  ,  0.556024   ,  1.00171e-08,  3.29233e-88])
908     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00271e-08,  3.29233e-88])
909     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29563e-88])
910     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
911     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
912     , -2336.8     , array([ 0.0538953  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
913     , -2336.8     , array([ 0.0538414  ,  0.556024   ,  1.00171e-08,  3.29233e-88])
914     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00271e-08,  3.29233e-88])
915     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29563e-88])
916     , -2336.8     , array([ 0.0538414  ,  0.555468   ,  1.00171e-08,  3.29233e-88])
