31674   , -2337.05    , array([ 0.023695   ,  1.11763    ,  8.01571e-45,  0.000121243])
31675   , -2337.05    , array([ 0.0237187  ,  1.11763    ,  8.01571e-45,  0.000121243])
31676   , -2337.05    , array([ 0.023695   ,  1.11875    ,  8.01571e-45,  0.000121243])
31677   , -2337.05    , array([ 0.023695   ,  1.11763    ,  8.02373e-45,  0.000121243])
31678   , -2337.05    , array([ 0.023695   ,  1.11763    ,  8.01571e-45,  0.000121364])
31679   , -2337.05    , array([ 0.023695   ,  1.11763    ,  8.01571e-45,  0.000121243])
31680   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.01571e-45,  0.000107735])
31681   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.01571e-45,  0.000107735])
31682   , -2333.83    , array([ 0.0237187  ,  0.409892   ,  8.01571e-45,  0.000107735])
31683   , -2333.84    , array([ 0.023695   ,  0.410302   ,  8.01571e-45,  0.000107735])
31684   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.02373e-45,  0.000107735])
31685   , -2333.83    , array([ 0.023695   ,  0.409892   ,  8.01571e-45,  0.000107843])
31686   , -2185.67    , array([ 0.023695   ,  0.00741583 ,  8.01571e-45,  6.71689e-05])
31687   , -2185.67    , array([ 0.023695   ,  0.00741583 ,  8.01571e-45,  6.71689e-05])
31688   , -2185.67    , array([ 0.0237187  ,  0.00741583 ,  8.01571e-45,  6.71689e-05])
31689   , -2185.8     , array([ 0.023695   ,  0.00742325 ,  8.01571e-45,  6.71689e-05])
31690   , -2185.67    , array([ 0.023695   ,  0.00741583 ,  8.02373e-45,  6.71689e-05])
31691   , -2185.54    , array([ 0.023695   ,  0.00741583 ,  8.01571e-45,  6.72361e-05])
31698   , -2185.67    , array([ 0.023695   ,  0.00741545 ,  8.01571e-45,  6.71685e-05])
31699   , -2185.67    , array([ 0.023695   ,  0.00741545 ,  8.01571e-45,  6.71685e-05])
31700   , -2185.67    , array([ 0.0237187  ,  0.00741545 ,  8.01571e-45,  6.71685e-05])
31701   , -2185.8     , array([ 0.023695   ,  0.00742287 ,  8.01571e-45,  6.71685e-05])
31702   , -2185.67    , array([ 0.023695   ,  0.00741545 ,  8.02373e-45,  6.71685e-05])
31703   , -2185.53    , array([ 0.023695   ,  0.00741545 ,  8.01571e-45,  6.72357e-05])
31704   , -2185.66    , array([ 0.023695   ,  0.00741508 ,  8.01571e-45,  6.71681e-05])
31705   , -2185.66    , array([ 0.023695   ,  0.00741508 ,  8.01571e-45,  6.71681e-05])
