31962   , -2336.8     , array([ 2.16007    ,  0.715482   ,  2.1126e-08 ,  1.76365e-25])
31963   , -2336.8     , array([ 2.16223    ,  0.715482   ,  2.1126e-08 ,  1.76365e-25])
31964   , -2336.8     , array([ 2.16007    ,  0.716198   ,  2.1126e-08 ,  1.76365e-25])
31965   , -2336.8     , array([ 2.16007    ,  0.715482   ,  2.11471e-08,  1.76365e-25])
31966   , -2336.8     , array([ 2.16007    ,  0.715482   ,  2.1126e-08 ,  1.76542e-25])
31967   , -2336.8     , array([ 2.16007    ,  0.715482   ,  2.1126e-08 ,  1.76365e-25])
31968   , -2336.8     , array([ 2.15967    ,  0.715482   ,  2.11213e-08,  1.76365e-25])
31969   , -2336.8     , array([ 2.15967    ,  0.715482   ,  2.11213e-08,  1.76365e-25])
31970   , -2336.8     , array([ 2.16183    ,  0.715482   ,  2.11213e-08,  1.76365e-25])
31971   , -2336.8     , array([ 2.15967    ,  0.716198   ,  2.11213e-08,  1.76365e-25])
31972   , -2336.8     , array([ 2.15967    ,  0.715482   ,  2.11425e-08,  1.76365e-25])
31973   , -2336.8     , array([ 2.15967    ,  0.715482   ,  2.11213e-08,  1.76542e-25])
31974   , -2336.8     , array([ 2.15805    ,  0.715482   ,  2.11029e-08,  1.76365e-25])
31975   , -2336.8     , array([ 2.15805    ,  0.715482   ,  2.11029e-08,  1.76365e-25])
31976   , -2336.8     , array([ 2.16021    ,  0.715482   ,  2.11029e-08,  1.76365e-25])
31977   , -2336.8     , array([ 2.15805    ,  0.716198   ,  2.11029e-08,  1.76365e-25])
31978   , -2336.8     , array([ 2.15805    ,  0.715482   ,  2.1124e-08 ,  1.76365e-25])
31979   , -2336.8     , array([ 2.15805    ,  0.715482   ,  2.11029e-08,  1.76542e-25])
31980   , -2336.8     , array([ 2.15157    ,  0.715482   ,  2.10294e-08,  1.76365e-25])
31981   , -2336.8     , array([ 2.15157    ,  0.715482   ,  2.10294e-08,  1.76365e-25])
31982   , -2336.8     , array([ 2.15372    ,  0.715482   ,  2.10294e-08,  1.76365e-25])
31983   , -2336.8     , array([ 2.15157    ,  0.716198   ,  2.10294e-08,  1.76365e-25])
31984   , -2336.8     , array([ 2.15157    ,  0.715482   ,  2.10505e-08,  1.76365e-25])
31985   , -2336.8     , array([ 2.15157    ,  0.715482   ,  2.10294e-08,  1.76542e-25])
