25415   , -2336.95    , array([ 14.3406    ,  0.468516   ,  7.92121e-06,  2.66029e-24])
25416   , -2336.95    , array([ 14.3549    ,  0.468516   ,  7.92121e-06,  2.66029e-24])
25417   , -2336.95    , array([ 14.3406    ,  0.468985   ,  7.92121e-06,  2.66029e-24])
25418   , -2336.95    , array([ 14.3406    ,  0.468516   ,  7.92914e-06,  2.66029e-24])
25419   , -2336.95    , array([ 14.3406    ,  0.468516   ,  7.92121e-06,  2.66295e-24])
25420   , -2336.95    , array([ 14.3406    ,  0.468516   ,  7.92121e-06,  2.66029e-24])
25421   , -2336.93    , array([ 14.1892    ,  0.468516   ,  6.87479e-06,  2.66029e-24])
25422   , -2336.93    , array([ 14.1892    ,  0.468516   ,  6.87479e-06,  2.66029e-24])
25423   , -2336.93    , array([ 14.2034    ,  0.468516   ,  6.87479e-06,  2.66029e-24])
25424   , -2336.93    , array([ 14.1892    ,  0.468985   ,  6.87479e-06,  2.66029e-24])
25425   , -2336.93    , array([ 14.1892    ,  0.468516   ,  6.88166e-06,  2.66029e-24])
25426   , -2336.93    , array([ 14.1892    ,  0.468516   ,  6.87479e-06,  2.66295e-24])
25427   , -2336.89    , array([ 13.8626    ,  0.468516   ,  5.05533e-06,  2.66029e-24])
25428   , -2336.89    , array([ 13.8626    ,  0.468516   ,  5.05533e-06,  2.66029e-24])
25429   , -2336.89    , array([ 13.8765    ,  0.468516   ,  5.05533e-06,  2.66029e-24])
25430   , -2336.89    , array([ 13.8626    ,  0.468985   ,  5.05533e-06,  2.66029e-24])
25431   , -2336.89    , array([ 13.8626    ,  0.468516   ,  5.06038e-06,  2.66029e-24])
25432   , -2336.89    , array([ 13.8626    ,  0.468516   ,  5.05533e-06,  2.66295e-24])
25433   , -2336.85    , array([ 13.1123    ,  0.468516   ,  2.44288e-06,  2.66029e-24])
25434   , -2336.85    , array([ 13.1123    ,  0.468516   ,  2.44288e-06,  2.66029e-24])
25435   , -2336.85    , array([ 13.1254    ,  0.468516   ,  2.44288e-06,  2.66029e-24])
25436   , -2336.85    , array([ 13.1123    ,  0.468985   ,  2.44288e-06,  2.66029e-24])
25437   , -2336.85    , array([ 13.1123    ,  0.468516   ,  2.44532e-06,  2.66029e-24])
25438   , -2336.85    , array([ 13.1123    ,  0.468516   ,  2.44288e-06,  2.66295e-24])
25439   , -2336.83    , array([ 12.4477    ,  0.468516   ,  1.24434e-06,  2.66029e-24])
25440   , -2336.83    , array([ 12.4477    ,  0.468516   ,  1.24434e-06,  2.66029e-24])
