26343   , -2234.85    , array([ 0.743519   ,  0.137575   ,  0.0163775  ,  5.01049e-11])
26344   , -2235.22    , array([ 0.744263   ,  0.137575   ,  0.0163775  ,  5.01049e-11])
26345   , -2234.85    , array([ 0.743519   ,  0.137712   ,  0.0163775  ,  5.01049e-11])
26346   , -2234.75    , array([ 0.743519   ,  0.137575   ,  0.0163938  ,  5.01049e-11])
26347   , -2234.85    , array([ 0.743519   ,  0.137575   ,  0.0163775  ,  5.0155e-11 ])
26348   , -2234.85    , array([ 0.743519   ,  0.137575   ,  0.0163775  ,  5.01049e-11])
26349   , -1718.72    , array([ 0.279691   ,  0.137575   ,  0.0210995  ,  5.01049e-11])
26350   , -1718.72    , array([ 0.279691   ,  0.137575   ,  0.0210995  ,  5.01049e-11])
26351   , -1719.17    , array([ 0.279971   ,  0.137575   ,  0.0210995  ,  5.01049e-11])
26352   , -1718.72    , array([ 0.279691   ,  0.137712   ,  0.0210995  ,  5.01049e-11])
26353   , -1718.32    , array([ 0.279691   ,  0.137575   ,  0.0211207  ,  5.01049e-11])
26354   , -1718.72    , array([ 0.279691   ,  0.137575   ,  0.0210995  ,  5.0155e-11 ])
26355   , -2287.52    , array([ 0.00560045 ,  0.137575   ,  0.0581272  ,  5.01049e-11])
26356   , -2287.52    , array([ 0.00560045 ,  0.137575   ,  0.0581272  ,  5.01049e-11])
26357   , -2287.06    , array([ 0.00560605 ,  0.137575   ,  0.0581272  ,  5.01049e-11])
26358   , -2287.52    , array([ 0.00560045 ,  0.137712   ,  0.0581272  ,  5.01049e-11])
26359   , -2288.03    , array([ 0.00560045 ,  0.137575   ,  0.0581854  ,  5.01049e-11])
26360   , -2287.52    , array([ 0.00560045 ,  0.137575   ,  0.0581272  ,  5.0155e-11 ])
26361   , -2259.86    , array([ 0.0751089  ,  0.137575   ,  0.0296639  ,  5.01049e-11])
26362   , -2259.86    , array([ 0.0751089  ,  0.137575   ,  0.0296639  ,  5.01049e-11])
26363   , -2257.91    , array([ 0.0751841  ,  0.137575   ,  0.0296639  ,  5.01049e-11])
26364   , -2259.86    , array([ 0.0751089  ,  0.137712   ,  0.0296639  ,  5.01049e-11])
26365   , -2260.8     , array([ 0.0751089  ,  0.137575   ,  0.0296936  ,  5.01049e-11])
26366   , -2259.86    , array([ 0.0751089  ,  0.137575   ,  0.0296639  ,  5.0155e-11 ])
26367   , -1536.22    , array([ 0.176071   ,  0.137575   ,  0.0237878  ,  5.01049e-11])
26368   , -1536.22    , array([ 0.176071   ,  0.137575   ,  0.0237878  ,  5.01049e-11])
26369   , -1536.3     , array([ 0.176248   ,  0.137575   ,  0.0237878  ,  5.01049e-11])
26370   , -1536.22    , array([ 0.176071   ,  0.137712   ,  0.0237878  ,  5.01049e-11])
26371   , -1535.94    , array([ 0.176071   ,  0.137575   ,  0.0238116  ,  5.01049e-11])
26372   , -1536.22    , array([ 0.176071   ,  0.137575   ,  0.0237878  ,  5.0155e-11 ])
26373   , -2336.8     , array([ 0.0115268  ,  0.137575   ,  1.47828    ,  5.01049e-11])
26374   , -2336.8     , array([ 0.0115268  ,  0.137575   ,  1.47828    ,  5.01049e-11])
26375   , -2336.8     , array([ 0.0115383  ,  0.137575   ,  1.47828    ,  5.01049e-11])
26376   , -2336.8     , array([ 0.0115268  ,  0.137712   ,  1.47828    ,  5.01049e-11])
26377   , -2336.8     , array([ 0.0115268  ,  0.137575   ,  1.47976    ,  5.01049e-11])
26378   , -2336.8     , array([ 0.0115268  ,  0.137575   ,  1.47828    ,  5.0155e-11 ])
26379   , -1795.65    , array([ 0.115027   ,  0.137575   ,  0.0453322  ,  5.01049e-11])
26380   , -1795.65    , array([ 0.115027   ,  0.137575   ,  0.0453322  ,  5.01049e-11])
26381   , -1794.14    , array([ 0.115143   ,  0.137575   ,  0.0453322  ,  5.01049e-11])
26382   , -1795.65    , array([ 0.115027   ,  0.137712   ,  0.0453322  ,  5.01049e-11])
26383   , -1796.02    , array([ 0.115027   ,  0.137575   ,  0.0453776  ,  5.01049e-11])
26384   , -1795.65    , array([ 0.115027   ,  0.137575   ,  0.0453322  ,  5.0155e-11 ])
26385   , -1502.14    , array([ 0.158034   ,  0.137575   ,  0.0280191  ,  5.01049e-11])
26386   , -1502.14    , array([ 0.158034   ,  0.137575   ,  0.0280191  ,  5.01049e-11])
26387   , -1501.95    , array([ 0.158192   ,  0.137575   ,  0.0280191  ,  5.01049e-11])
26388   , -1502.14    , array([ 0.158034   ,  0.137712   ,  0.0280191  ,  5.01049e-11])
26389   , -1501.96    , array([ 0.158034   ,  0.137575   ,  0.0280471  ,  5.01049e-11])
26390   , -1502.14    , array([ 0.158034   ,  0.137575   ,  0.0280191  ,  5.0155e-11 ])
26391   , -1424.32    , array([ 0.174981   ,  0.137575   ,  0.0369013  ,  5.01049e-11])
26392   , -1424.32    , array([ 0.174981   ,  0.137575   ,  0.0369013  ,  5.01049e-11])
26393   , -1424.06    , array([ 0.175156   ,  0.137575   ,  0.0369013  ,  5.01049e-11])
26394   , -1424.32    , array([ 0.174981   ,  0.137712   ,  0.0369013  ,  5.01049e-11])
26395   , -1424.11    , array([ 0.174981   ,  0.137575   ,  0.0369382  ,  5.01049e-11])
26396   , -1424.32    , array([ 0.174981   ,  0.137575   ,  0.0369013  ,  5.01551e-11])
26397   , -900.367    , array([ 0.263001   ,  0.137574   ,  0.111018   ,  5.01052e-11])
26398   , -900.367    , array([ 0.263001   ,  0.137574   ,  0.111018   ,  5.01052e-11])
26399   , -900.094    , array([ 0.263264   ,  0.137574   ,  0.111018   ,  5.01052e-11])
26400   , -900.367    , array([ 0.263001   ,  0.137712   ,  0.111018   ,  5.01052e-11])
26401   , -899.878    , array([ 0.263001   ,  0.137574   ,  0.111129   ,  5.01052e-11])
26402   , -900.367    , array([ 0.263001   ,  0.137574   ,  0.111018   ,  5.01553e-11])
26409   , -900.355    , array([ 0.263003   ,  0.137574   ,  0.11102    ,  5.01052e-11])
