36621   , -2323.13    , array([ 2.85357    ,  0.797438   ,  2.13106e-15,  0.00282706 ])
36622   , -2323.13    , array([ 2.85643    ,  0.797438   ,  2.13106e-15,  0.00282706 ])
36623   , -2323.19    , array([ 2.85357    ,  0.798236   ,  2.13106e-15,  0.00282706 ])
36624   , -2323.13    , array([ 2.85357    ,  0.797438   ,  2.13319e-15,  0.00282706 ])
36625   , -2323.11    , array([ 2.85357    ,  0.797438   ,  2.13106e-15,  0.00282989 ])
36626   , -2323.13    , array([ 2.85357    ,  0.797438   ,  2.13106e-15,  0.00282706 ])
36627   , -2195.94    , array([ 2.85357    ,  0.296375   ,  2.13106e-15,  0.00345673 ])
36628   , -2195.94    , array([ 2.85357    ,  0.296375   ,  2.13106e-15,  0.00345673 ])
36629   , -2195.94    , array([ 2.85643    ,  0.296375   ,  2.13106e-15,  0.00345673 ])
36630   , -2196.12    , array([ 2.85357    ,  0.296671   ,  2.13106e-15,  0.00345673 ])
36631   , -2195.94    , array([ 2.85357    ,  0.296375   ,  2.13319e-15,  0.00345673 ])
36632   , -2195.82    , array([ 2.85357    ,  0.296375   ,  2.13106e-15,  0.00346018 ])
36633   , -7361.45    , array([ 2.85357    ,  0.00565479 ,  2.13106e-15,  0.00772654 ])
36634   , -7361.45    , array([ 2.85357    ,  0.00565479 ,  2.13106e-15,  0.00772654 ])
36635   , -7361.45    , array([ 2.85643    ,  0.00565479 ,  2.13106e-15,  0.00772654 ])
36636   , -7359.19    , array([ 2.85357    ,  0.00566045 ,  2.13106e-15,  0.00772654 ])
36637   , -7361.45    , array([ 2.85357    ,  0.00565479 ,  2.13319e-15,  0.00772654 ])
36638   , -7362.85    , array([ 2.85357    ,  0.00565479 ,  2.13106e-15,  0.00773427 ])
36639   , -2144.34    , array([ 2.85357    ,  0.235567   ,  2.13106e-15,  0.00362181 ])
36640   , -2144.34    , array([ 2.85357    ,  0.235567   ,  2.13106e-15,  0.00362181 ])
36641   , -2144.34    , array([ 2.85643    ,  0.235567   ,  2.13106e-15,  0.00362181 ])
36642   , -2144.55    , array([ 2.85357    ,  0.235802   ,  2.13106e-15,  0.00362181 ])
