44173   , -2336.99    , array([ 39.8777    ,  19.1552    ,  9.6633e-06 ,  5.75975e-28])
44174   , -2336.99    , array([ 39.9176    ,  19.1552    ,  9.6633e-06 ,  5.75975e-28])
44175   , -2336.99    , array([ 39.8777    ,  19.1744    ,  9.6633e-06 ,  5.75975e-28])
44176   , -2336.99    , array([ 39.8777    ,  19.1552    ,  9.67297e-06,  5.75975e-28])
44177   , -2336.99    , array([ 39.8777    ,  19.1552    ,  9.6633e-06 ,  5.76551e-28])
44178   , -2336.99    , array([ 39.8777    ,  19.1552    ,  9.6633e-06 ,  5.75975e-28])
44179   , -2336.96    , array([ 39.6925    ,  19.1552    ,  8.06216e-06,  5.75975e-28])
44180   , -2336.96    , array([ 39.6925    ,  19.1552    ,  8.06216e-06,  5.75975e-28])
44181   , -2336.96    , array([ 39.7323    ,  19.1552    ,  8.06216e-06,  5.75975e-28])
44182   , -2336.96    , array([ 39.6925    ,  19.1744    ,  8.06216e-06,  5.75975e-28])
44183   , -2336.96    , array([ 39.6925    ,  19.1552    ,  8.07023e-06,  5.75975e-28])
44184   , -2336.96    , array([ 39.6925    ,  19.1552    ,  8.06216e-06,  5.76551e-28])
44185   , -2336.91    , array([ 39.2837    ,  19.1552    ,  5.39882e-06,  5.75975e-28])
44186   , -2336.91    , array([ 39.2837    ,  19.1552    ,  5.39882e-06,  5.75975e-28])
44187   , -2336.91    , array([ 39.323     ,  19.1552    ,  5.39882e-06,  5.75975e-28])
44188   , -2336.91    , array([ 39.2837    ,  19.1744    ,  5.39882e-06,  5.75975e-28])
44189   , -2336.91    , array([ 39.2837    ,  19.1552    ,  5.40422e-06,  5.75975e-28])
44190   , -2336.91    , array([ 39.2837    ,  19.1552    ,  5.39882e-06,  5.76551e-28])
44191   , -2336.85    , array([ 38.4655    ,  19.1552    ,  2.39689e-06,  5.75975e-28])
44192   , -2336.85    , array([ 38.4655    ,  19.1552    ,  2.39689e-06,  5.75975e-28])
44193   , -2336.85    , array([ 38.5039    ,  19.1552    ,  2.39689e-06,  5.75975e-28])
44194   , -2336.85    , array([ 38.4655    ,  19.1744    ,  2.39689e-06,  5.75975e-28])
44195   , -2336.85    , array([ 38.4655    ,  19.1552    ,  2.39929e-06,  5.75975e-28])
44196   , -2336.85    , array([ 38.4655    ,  19.1552    ,  2.39689e-06,  5.76551e-28])
44197   , -2336.83    , array([ 37.8234    ,  19.1552    ,  1.25428e-06,  5.75975e-28])
44198   , -2336.83    , array([ 37.8234    ,  19.1552    ,  1.25428e-06,  5.75975e-28])
44199   , -2336.83    , array([ 37.8612    ,  19.1552    ,  1.25428e-06,  5.75975e-28])
44200   , -2336.83    , array([ 37.8234    ,  19.1744    ,  1.25428e-06,  5.75975e-28])
44201   , -2336.83    , array([ 37.8234    ,  19.1552    ,  1.25554e-06,  5.75975e-28])
44202   , -2336.83    , array([ 37.8234    ,  19.1552    ,  1.25428e-06,  5.76551e-28])
44203   , -2336.82    , array([ 37.1307    ,  19.1552    ,  6.16545e-07,  5.75975e-28])
44204   , -2336.82    , array([ 37.1307    ,  19.1552    ,  6.16545e-07,  5.75975e-28])
44205   , -2336.82    , array([ 37.1678    ,  19.1552    ,  6.16545e-07,  5.75975e-28])
