31867   , -2336.8     , array([ 7.80391    ,  0.538343   ,  1.29259e-09,  2.82569e-57])
31868   , -2336.8     , array([ 7.81172    ,  0.538343   ,  1.29259e-09,  2.82569e-57])
31869   , -2336.8     , array([ 7.80391    ,  0.538882   ,  1.29259e-09,  2.82569e-57])
31870   , -2336.8     , array([ 7.80391    ,  0.538343   ,  1.29389e-09,  2.82569e-57])
31871   , -2336.8     , array([ 7.80391    ,  0.538343   ,  1.29259e-09,  2.82852e-57])
31872   , -2336.8     , array([ 7.80391    ,  0.538343   ,  1.29259e-09,  2.82569e-57])
31873   , -2336.8     , array([ 7.80389    ,  0.538343   ,  1.29257e-09,  2.82569e-57])
31874   , -2336.8     , array([ 7.80389    ,  0.538343   ,  1.29257e-09,  2.82569e-57])
31875   , -2336.8     , array([ 7.81169    ,  0.538343   ,  1.29257e-09,  2.82569e-57])
31876   , -2336.8     , array([ 7.80389    ,  0.538882   ,  1.29257e-09,  2.82569e-57])
31877   , -2336.8     , array([ 7.80389    ,  0.538343   ,  1.29386e-09,  2.82569e-57])
31878   , -2336.8     , array([ 7.80389    ,  0.538343   ,  1.29257e-09,  2.82852e-57])
31879   , -2336.8     , array([ 7.80379    ,  0.538343   ,  1.29246e-09,  2.82569e-57])
31880   , -2336.8     , array([ 7.80379    ,  0.538343   ,  1.29246e-09,  2.82569e-57])
31881   , -2336.8     , array([ 7.8116     ,  0.538343   ,  1.29246e-09,  2.82569e-57])
31882   , -2336.8     , array([ 7.80379    ,  0.538882   ,  1.29246e-09,  2.82569e-57])
31883   , -2336.8     , array([ 7.80379    ,  0.538343   ,  1.29375e-09,  2.82569e-57])
31884   , -2336.8     , array([ 7.80379    ,  0.538343   ,  1.29246e-09,  2.82852e-57])
31885   , -2336.8     , array([ 7.8034     ,  0.538343   ,  1.29201e-09,  2.82569e-57])
31886   , -2336.8     , array([ 7.8034     ,  0.538343   ,  1.29201e-09,  2.82569e-57])
31887   , -2336.8     , array([ 7.81121    ,  0.538343   ,  1.29201e-09,  2.82569e-57])
31888   , -2336.8     , array([ 7.8034     ,  0.538882   ,  1.29201e-09,  2.82569e-57])
31889   , -2336.8     , array([ 7.8034     ,  0.538343   ,  1.2933e-09 ,  2.82569e-57])
31890   , -2336.8     , array([ 7.8034     ,  0.538343   ,  1.29201e-09,  2.82852e-57])
31891   , -2336.8     , array([ 7.80186    ,  0.538343   ,  1.29023e-09,  2.82569e-57])
31892   , -2336.8     , array([ 7.80186    ,  0.538343   ,  1.29023e-09,  2.82569e-57])
31893   , -2336.8     , array([ 7.80967    ,  0.538343   ,  1.29023e-09,  2.82569e-57])
31894   , -2336.8     , array([ 7.80186    ,  0.538882   ,  1.29023e-09,  2.82569e-57])
31895   , -2336.8     , array([ 7.80186    ,  0.538343   ,  1.29152e-09,  2.82569e-57])
31896   , -2336.8     , array([ 7.80186    ,  0.538343   ,  1.29023e-09,  2.82852e-57])
31897   , -2336.8     , array([ 7.79569    ,  0.538343   ,  1.28311e-09,  2.82569e-57])
31898   , -2336.8     , array([ 7.79569    ,  0.538343   ,  1.28311e-09,  2.82569e-57])
31899   , -2336.8     , array([ 7.80349    ,  0.538343   ,  1.28311e-09,  2.82569e-57])
31900   , -2336.8     , array([ 7.79569    ,  0.538882   ,  1.28311e-09,  2.82569e-57])
31901   , -2336.8     , array([ 7.79569    ,  0.538343   ,  1.2844e-09 ,  2.82569e-57])
31902   , -2336.8     , array([ 7.79569    ,  0.538343   ,  1.28311e-09,  2.82852e-57])
31903   , -2336.8     , array([ 7.77104    ,  0.538343   ,  1.25506e-09,  2.82569e-57])
31904   , -2336.8     , array([ 7.77104    ,  0.538343   ,  1.25506e-09,  2.82569e-57])
31905   , -2336.8     , array([ 7.77881    ,  0.538343   ,  1.25506e-09,  2.82569e-57])
31906   , -2336.8     , array([ 7.77104    ,  0.538882   ,  1.25506e-09,  2.82569e-57])
31907   , -2336.8     , array([ 7.77104    ,  0.538343   ,  1.25632e-09,  2.82569e-57])
31908   , -2336.8     , array([ 7.77104    ,  0.538343   ,  1.25506e-09,  2.82852e-57])
31909   , -2336.8     , array([ 7.67323    ,  0.538343   ,  1.14886e-09,  2.82569e-57])
31910   , -2336.8     , array([ 7.67323    ,  0.538343   ,  1.14886e-09,  2.82569e-57])
31911   , -2336.8     , array([ 7.68091    ,  0.538343   ,  1.14886e-09,  2.82569e-57])
31912   , -2336.8     , array([ 7.67323    ,  0.538882   ,  1.14886e-09,  2.82569e-57])
31913   , -2336.8     , array([ 7.67323    ,  0.538343   ,  1.15e-09   ,  2.82569e-57])
31914   , -2336.8     , array([ 7.67323    ,  0.538343   ,  1.14886e-09,  2.82852e-57])
31915   , -2336.8     , array([ 7.40018    ,  0.538343   ,  8.92102e-10,  2.82569e-57])
31916   , -2336.8     , array([ 7.40018    ,  0.538343   ,  8.92102e-10,  2.82569e-57])
31917   , -2336.8     , array([ 7.40758    ,  0.538343   ,  8.92102e-10,  2.82569e-57])
31918   , -2336.8     , array([ 7.40018    ,  0.538882   ,  8.92102e-10,  2.82569e-57])
31919   , -2336.8     , array([ 7.40018    ,  0.538343   ,  8.92994e-10,  2.82569e-57])
31920   , -2336.8     , array([ 7.40018    ,  0.538343   ,  8.92102e-10,  2.82852e-57])
31921   , -2336.8     , array([ 6.80765    ,  0.538343   ,  4.9819e-10 ,  2.82569e-57])
31922   , -2336.8     , array([ 6.80765    ,  0.538343   ,  4.9819e-10 ,  2.82569e-57])
31923   , -2336.8     , array([ 6.81446    ,  0.538343   ,  4.9819e-10 ,  2.82569e-57])
31924   , -2336.8     , array([ 6.80765    ,  0.538882   ,  4.9819e-10 ,  2.82569e-57])
31925   , -2336.8     , array([ 6.80765    ,  0.538343   ,  4.98688e-10,  2.82569e-57])
31926   , -2336.8     , array([ 6.80765    ,  0.538343   ,  4.9819e-10 ,  2.82852e-57])
