35478   , -2336.81    , array([ 3.32599    ,  4.28641    ,  2.25322e-53,  7.03299e-07])
35479   , -2336.81    , array([ 3.32931    ,  4.28641    ,  2.25322e-53,  7.03299e-07])
35480   , -2336.81    , array([ 3.32599    ,  4.2907     ,  2.25322e-53,  7.03299e-07])
35481   , -2336.81    , array([ 3.32599    ,  4.28641    ,  2.25547e-53,  7.03299e-07])
35482   , -2336.81    , array([ 3.32599    ,  4.28641    ,  2.25322e-53,  7.04002e-07])
35483   , -2336.81    , array([ 3.32599    ,  4.28641    ,  2.25322e-53,  7.03299e-07])
35484   , -2336.81    , array([ 3.32599    ,  4.27293    ,  2.25322e-53,  6.96046e-07])
35485   , -2336.81    , array([ 3.32599    ,  4.27293    ,  2.25322e-53,  6.96046e-07])
35486   , -2336.81    , array([ 3.32931    ,  4.27293    ,  2.25322e-53,  6.96046e-07])
35487   , -2336.81    , array([ 3.32599    ,  4.2772     ,  2.25322e-53,  6.96046e-07])
35488   , -2336.81    , array([ 3.32599    ,  4.27293    ,  2.25547e-53,  6.96046e-07])
35489   , -2336.81    , array([ 3.32599    ,  4.27293    ,  2.25322e-53,  6.96742e-07])
35490   , -2336.81    , array([ 3.32599    ,  4.21941    ,  2.25322e-53,  6.67777e-07])
35491   , -2336.81    , array([ 3.32599    ,  4.21941    ,  2.25322e-53,  6.67777e-07])
35492   , -2336.81    , array([ 3.32931    ,  4.21941    ,  2.25322e-53,  6.67777e-07])
35493   , -2336.81    , array([ 3.32599    ,  4.22363    ,  2.25322e-53,  6.67777e-07])
35494   , -2336.81    , array([ 3.32599    ,  4.21941    ,  2.25547e-53,  6.67777e-07])
35495   , -2336.81    , array([ 3.32599    ,  4.21941    ,  2.25322e-53,  6.68445e-07])
35496   , -2336.81    , array([ 3.32599    ,  4.01196    ,  2.25322e-53,  5.65723e-07])
35497   , -2336.81    , array([ 3.32599    ,  4.01196    ,  2.25322e-53,  5.65723e-07])
35498   , -2336.81    , array([ 3.32931    ,  4.01196    ,  2.25322e-53,  5.65723e-07])
35499   , -2336.81    , array([ 3.32599    ,  4.01598    ,  2.25322e-53,  5.65723e-07])
35500   , -2336.81    , array([ 3.32599    ,  4.01196    ,  2.25547e-53,  5.65723e-07])
35501   , -2336.81    , array([ 3.32599    ,  4.01196    ,  2.25322e-53,  5.66289e-07])
35502   , -2336.81    , array([ 3.32599    ,  3.45001    ,  2.25322e-53,  3.45092e-07])
35503   , -2336.81    , array([ 3.32599    ,  3.45001    ,  2.25322e-53,  3.45092e-07])
35504   , -2336.81    , array([ 3.32931    ,  3.45001    ,  2.25322e-53,  3.45092e-07])
35505   , -2336.81    , array([ 3.32599    ,  3.45346    ,  2.25322e-53,  3.45092e-07])
35506   , -2336.81    , array([ 3.32599    ,  3.45001    ,  2.25547e-53,  3.45092e-07])
35507   , -2336.81    , array([ 3.32599    ,  3.45001    ,  2.25322e-53,  3.45437e-07])
35508   , -2336.81    , array([ 3.32599    ,  2.77637    ,  2.25322e-53,  1.69878e-07])
