38573   , -2134.19    , array([ 0.883388   ,  0.00431717 ,  1.92168e-29,  5.50908e-05])
38574   , -2134.19    , array([ 0.884272   ,  0.00431717 ,  1.92168e-29,  5.50908e-05])
38575   , -2134.36    , array([ 0.883388   ,  0.00432149 ,  1.92168e-29,  5.50908e-05])
38576   , -2134.19    , array([ 0.883388   ,  0.00431717 ,  1.9236e-29 ,  5.50908e-05])
38577   , -2134.02    , array([ 0.883388   ,  0.00431717 ,  1.92168e-29,  5.51459e-05])
38578   , -2134.19    , array([ 0.883388   ,  0.00431717 ,  1.92168e-29,  5.50908e-05])
38579   , -1835.46    , array([ 0.883388   ,  0.00211109 ,  1.92168e-29,  0.000112386])
38580   , -1835.46    , array([ 0.883388   ,  0.00211109 ,  1.92168e-29,  0.000112386])
38581   , -1835.46    , array([ 0.884272   ,  0.00211109 ,  1.92168e-29,  0.000112386])
38582   , -1835.63    , array([ 0.883388   ,  0.0021132  ,  1.92168e-29,  0.000112386])
38583   , -1835.46    , array([ 0.883388   ,  0.00211109 ,  1.9236e-29 ,  0.000112386])
38584   , -1835.29    , array([ 0.883388   ,  0.00211109 ,  1.92168e-29,  0.000112498])
38591   , -1835.46    , array([ 0.883388   ,  0.00211108 ,  1.92168e-29,  0.000112387])
38592   , -1835.46    , array([ 0.883388   ,  0.00211108 ,  1.92168e-29,  0.000112387])
38593   , -1835.46    , array([ 0.884272   ,  0.00211108 ,  1.92168e-29,  0.000112387])
38594   , -1835.63    , array([ 0.883388   ,  0.00211319 ,  1.92168e-29,  0.000112387])
38595   , -1835.46    , array([ 0.883388   ,  0.00211108 ,  1.9236e-29 ,  0.000112387])
38596   , -1835.29    , array([ 0.883388   ,  0.00211108 ,  1.92168e-29,  0.000112499])
38597   , -1818.65    , array([ 0.883388   ,  0.00153051 ,  1.92168e-29,  0.000154848])
38598   , -1818.65    , array([ 0.883388   ,  0.00153051 ,  1.92168e-29,  0.000154848])
38599   , -1818.65    , array([ 0.884272   ,  0.00153051 ,  1.92168e-29,  0.000154848])
38600   , -1818.46    , array([ 0.883388   ,  0.00153204 ,  1.92168e-29,  0.000154848])
38601   , -1818.65    , array([ 0.883388   ,  0.00153051 ,  1.9236e-29 ,  0.000154848])
38602   , -1818.84    , array([ 0.883388   ,  0.00153051 ,  1.92168e-29,  0.000155003])
38603   , -1799.55    , array([ 0.883388   ,  0.00181172 ,  1.92168e-29,  0.000130888])
38604   , -1799.55    , array([ 0.883388   ,  0.00181172 ,  1.92168e-29,  0.000130888])
38605   , -1799.55    , array([ 0.884272   ,  0.00181172 ,  1.92168e-29,  0.000130888])
38606   , -1799.61    , array([ 0.883388   ,  0.00181353 ,  1.92168e-29,  0.000130888])
38607   , -1799.55    , array([ 0.883388   ,  0.00181172 ,  1.9236e-29 ,  0.000130888])
38608   , -1799.5     , array([ 0.883388   ,  0.00181172 ,  1.92168e-29,  0.000131019])
38609   , -2016.8     , array([ 0.883388   ,  0.00241799 ,  1.92168e-29,  0.00038576 ])
38610   , -2016.8     , array([ 0.883388   ,  0.00241799 ,  1.92168e-29,  0.00038576 ])
38611   , -2016.8     , array([ 0.884272   ,  0.00241799 ,  1.92168e-29,  0.00038576 ])
38612   , -2016.04    , array([ 0.883388   ,  0.00242041 ,  1.92168e-29,  0.00038576 ])
38613   , -2016.8     , array([ 0.883388   ,  0.00241799 ,  1.9236e-29 ,  0.00038576 ])
38614   , -2017.55    , array([ 0.883388   ,  0.00241799 ,  1.92168e-29,  0.000386146])
38615   , -1797.03    , array([ 0.883388   ,  0.00186635 ,  1.92168e-29,  0.000146288])
38616   , -1797.03    , array([ 0.883388   ,  0.00186635 ,  1.92168e-29,  0.000146288])
38617   , -1797.03    , array([ 0.884272   ,  0.00186635 ,  1.92168e-29,  0.000146288])
38618   , -1797.04    , array([ 0.883388   ,  0.00186821 ,  1.92168e-29,  0.000146288])
38619   , -1797.03    , array([ 0.883388   ,  0.00186635 ,  1.9236e-29 ,  0.000146288])
38620   , -1797.03    , array([ 0.883388   ,  0.00186635 ,  1.92168e-29,  0.000146434])
38621   , -1795.63    , array([ 0.883388   ,  0.00331526 ,  1.92168e-29,  0.000264226])
38622   , -1795.63    , array([ 0.883388   ,  0.00331526 ,  1.92168e-29,  0.000264226])
38623   , -1795.63    , array([ 0.884272   ,  0.00331526 ,  1.92168e-29,  0.000264226])
38624   , -1795.63    , array([ 0.883388   ,  0.00331857 ,  1.92168e-29,  0.000264226])
38625   , -1795.63    , array([ 0.883388   ,  0.00331526 ,  1.9236e-29 ,  0.000264226])
38626   , -1795.63    , array([ 0.883388   ,  0.00331526 ,  1.92168e-29,  0.000264491])
38627   , -1765.87    , array([ 0.883388   ,  0.0330078  ,  1.92168e-29,  0.00281218 ])
38628   , -1765.87    , array([ 0.883388   ,  0.0330078  ,  1.92168e-29,  0.00281218 ])
38629   , -1765.87    , array([ 0.884272   ,  0.0330078  ,  1.92168e-29,  0.00281218 ])
38630   , -1765.88    , array([ 0.883388   ,  0.0330408  ,  1.92168e-29,  0.00281218 ])
38631   , -1765.87    , array([ 0.883388   ,  0.0330078  ,  1.9236e-29 ,  0.00281218 ])
38632   , -1765.83    , array([ 0.883388   ,  0.0330078  ,  1.92168e-29,  0.002815   ])
38639   , -1765.87    , array([ 0.883388   ,  0.033008   ,  1.92168e-29,  0.0028122  ])
38640   , -1765.87    , array([ 0.883388   ,  0.033008   ,  1.92168e-29,  0.0028122  ])
38641   , -1765.87    , array([ 0.884272   ,  0.033008   ,  1.92168e-29,  0.0028122  ])
38642   , -1765.88    , array([ 0.883388   ,  0.033041   ,  1.92168e-29,  0.0028122  ])
38643   , -1765.87    , array([ 0.883388   ,  0.033008   ,  1.9236e-29 ,  0.0028122  ])
38644   , -1765.83    , array([ 0.883388   ,  0.033008   ,  1.92168e-29,  0.00281501 ])
38645   , -1765.87    , array([ 0.883388   ,  0.0330081  ,  1.92168e-29,  0.00281221 ])
38646   , -1765.87    , array([ 0.883388   ,  0.0330081  ,  1.92168e-29,  0.00281221 ])
38647   , -1765.87    , array([ 0.884272   ,  0.0330081  ,  1.92168e-29,  0.00281221 ])
38648   , -1765.88    , array([ 0.883388   ,  0.0330411  ,  1.92168e-29,  0.00281221 ])
38649   , -1765.87    , array([ 0.883388   ,  0.0330081  ,  1.9236e-29 ,  0.00281221 ])
38650   , -1765.83    , array([ 0.883388   ,  0.0330081  ,  1.92168e-29,  0.00281502 ])
38651   , -7172.6     , array([ 0.883388   ,  3.27203    ,  1.92168e-29,  0.318552   ])
38652   , -7172.6     , array([ 0.883388   ,  3.27203    ,  1.92168e-29,  0.318552   ])
38653   , -7172.6     , array([ 0.884272   ,  3.27203    ,  1.92168e-29,  0.318552   ])
38654   , -7176.73    , array([ 0.883388   ,  3.2753     ,  1.92168e-29,  0.318552   ])
38655   , -7172.6     , array([ 0.883388   ,  3.27203    ,  1.9236e-29 ,  0.318552   ])
38656   , -7175.68    , array([ 0.883388   ,  3.27203    ,  1.92168e-29,  0.318871   ])
38657   , -1700.05    , array([ 0.883388   ,  0.109121   ,  1.92168e-29,  0.00962516 ])
38658   , -1700.05    , array([ 0.883388   ,  0.109121   ,  1.92168e-29,  0.00962516 ])
38659   , -1700.05    , array([ 0.884272   ,  0.109121   ,  1.92168e-29,  0.00962516 ])
38660   , -1700.18    , array([ 0.883388   ,  0.10923    ,  1.92168e-29,  0.00962516 ])
38661   , -1700.05    , array([ 0.883388   ,  0.109121   ,  1.9236e-29 ,  0.00962516 ])
38662   , -1699.84    , array([ 0.883388   ,  0.109121   ,  1.92168e-29,  0.00963479 ])
38663   , -1681.98    , array([ 0.883388   ,  0.427439   ,  1.92168e-29,  0.0392268  ])
38664   , -1681.98    , array([ 0.883388   ,  0.427439   ,  1.92168e-29,  0.0392268  ])
38665   , -1681.98    , array([ 0.884272   ,  0.427439   ,  1.92168e-29,  0.0392268  ])
38666   , -1682.69    , array([ 0.883388   ,  0.427866   ,  1.92168e-29,  0.0392268  ])
38667   , -1681.98    , array([ 0.883388   ,  0.427439   ,  1.9236e-29 ,  0.0392268  ])
38668   , -1681.5     , array([ 0.883388   ,  0.427439   ,  1.92168e-29,  0.039266   ])
38669   , -1671.93    , array([ 0.883388   ,  0.155965   ,  1.92168e-29,  0.0139004  ])
38670   , -1671.93    , array([ 0.883388   ,  0.155965   ,  1.92168e-29,  0.0139004  ])
38671   , -1671.93    , array([ 0.884272   ,  0.155965   ,  1.92168e-29,  0.0139004  ])
38672   , -1672.15    , array([ 0.883388   ,  0.156121   ,  1.92168e-29,  0.0139004  ])
38673   , -1671.93    , array([ 0.883388   ,  0.155965   ,  1.9236e-29 ,  0.0139004  ])
38674   , -1671.64    , array([ 0.883388   ,  0.155965   ,  1.92168e-29,  0.0139143  ])
38675   , -1642.61    , array([ 0.883388   ,  0.275002   ,  1.92168e-29,  0.0249164  ])
38676   , -1642.61    , array([ 0.883388   ,  0.275002   ,  1.92168e-29,  0.0249164  ])
38677   , -1642.61    , array([ 0.884272   ,  0.275002   ,  1.92168e-29,  0.0249164  ])
38678   , -1643.04    , array([ 0.883388   ,  0.275277   ,  1.92168e-29,  0.0249164  ])
38679   , -1642.61    , array([ 0.883388   ,  0.275002   ,  1.9236e-29 ,  0.0249164  ])
38680   , -1642.18    , array([ 0.883388   ,  0.275002   ,  1.92168e-29,  0.0249413  ])
38681   , -1642.6     , array([ 0.883388   ,  0.27724    ,  1.92168e-29,  0.0251251  ])
38682   , -1642.6     , array([ 0.883388   ,  0.27724    ,  1.92168e-29,  0.0251251  ])
38683   , -1642.6     , array([ 0.884272   ,  0.27724    ,  1.92168e-29,  0.0251251  ])
38684   , -1643.04    , array([ 0.883388   ,  0.277518   ,  1.92168e-29,  0.0251251  ])
38685   , -1642.6     , array([ 0.883388   ,  0.27724    ,  1.9236e-29 ,  0.0251251  ])
38686   , -1642.17    , array([ 0.883388   ,  0.27724    ,  1.92168e-29,  0.0251503  ])
38693   , -1642.6     , array([ 0.883388   ,  0.277267   ,  1.92168e-29,  0.0251276  ])
38694   , -1642.6     , array([ 0.883388   ,  0.277267   ,  1.92168e-29,  0.0251276  ])
38695   , -1642.6     , array([ 0.884272   ,  0.277267   ,  1.92168e-29,  0.0251276  ])
38696   , -1643.04    , array([ 0.883388   ,  0.277545   ,  1.92168e-29,  0.0251276  ])
38697   , -1642.6     , array([ 0.883388   ,  0.277267   ,  1.9236e-29 ,  0.0251276  ])
38698   , -1642.17    , array([ 0.883388   ,  0.277267   ,  1.92168e-29,  0.0251528  ])
38699   , -1642.6     , array([ 0.883388   ,  0.277285   ,  1.92168e-29,  0.0251293  ])
38700   , -1642.6     , array([ 0.883388   ,  0.277285   ,  1.92168e-29,  0.0251293  ])
38701   , -1642.6     , array([ 0.884272   ,  0.277285   ,  1.92168e-29,  0.0251293  ])
38702   , -1643.04    , array([ 0.883388   ,  0.277563   ,  1.92168e-29,  0.0251293  ])
38703   , -1642.6     , array([ 0.883388   ,  0.277285   ,  1.9236e-29 ,  0.0251293  ])
38704   , -1642.17    , array([ 0.883388   ,  0.277285   ,  1.92168e-29,  0.0251544  ])
38711   , -1642.6     , array([ 0.883388   ,  0.277292   ,  1.92168e-29,  0.0251299  ])
38712   , -1642.6     , array([ 0.883388   ,  0.277292   ,  1.92168e-29,  0.0251299  ])
38713   , -1642.6     , array([ 0.884272   ,  0.277292   ,  1.92168e-29,  0.0251299  ])
38714   , -1643.04    , array([ 0.883388   ,  0.277569   ,  1.92168e-29,  0.0251299  ])
38715   , -1642.6     , array([ 0.883388   ,  0.277292   ,  1.9236e-29 ,  0.0251299  ])
38716   , -1642.17    , array([ 0.883388   ,  0.277292   ,  1.92168e-29,  0.0251551  ])
38717   , -1642.6     , array([ 0.883388   ,  0.277296   ,  1.92168e-29,  0.0251303  ])
38718   , -1642.6     , array([ 0.883388   ,  0.277296   ,  1.92168e-29,  0.0251303  ])
38719   , -1642.6     , array([ 0.884272   ,  0.277296   ,  1.92168e-29,  0.0251303  ])
38720   , -1643.04    , array([ 0.883388   ,  0.277573   ,  1.92168e-29,  0.0251303  ])
38721   , -1642.6     , array([ 0.883388   ,  0.277296   ,  1.9236e-29 ,  0.0251303  ])
38722   , -1642.17    , array([ 0.883388   ,  0.277296   ,  1.92168e-29,  0.0251555  ])
38729   , -1642.6     , array([ 0.883388   ,  0.277298   ,  1.92168e-29,  0.0251305  ])
38730   , -1642.6     , array([ 0.883388   ,  0.277298   ,  1.92168e-29,  0.0251305  ])
38731   , -1642.6     , array([ 0.884272   ,  0.277298   ,  1.92168e-29,  0.0251305  ])
38732   , -1643.04    , array([ 0.883388   ,  0.277575   ,  1.92168e-29,  0.0251305  ])
38733   , -1642.6     , array([ 0.883388   ,  0.277298   ,  1.9236e-29 ,  0.0251305  ])
38734   , -1642.17    , array([ 0.883388   ,  0.277298   ,  1.92168e-29,  0.0251556  ])
38735   , -1642.6     , array([ 0.883388   ,  0.277299   ,  1.92168e-29,  0.0251306  ])
