35656   , -2336.8     , array([ 0.0807646  ,  0.00122886 ,  5.33584e-09,  9.12777e-50])
35657   , -2336.8     , array([ 0.0808454  ,  0.00122886 ,  5.33584e-09,  9.12777e-50])
35658   , -2336.8     , array([ 0.0807646  ,  0.00123009 ,  5.33584e-09,  9.12777e-50])
35659   , -2336.8     , array([ 0.0807646  ,  0.00122886 ,  5.34117e-09,  9.12777e-50])
35660   , -2336.8     , array([ 0.0807646  ,  0.00122886 ,  5.33584e-09,  9.1369e-50 ])
35661   , -2336.8     , array([ 0.0807646  ,  0.00122886 ,  5.33584e-09,  9.12777e-50])
35662   , -2336.8     , array([ 0.0806622  ,  0.00122886 ,  5.34207e-09,  9.12777e-50])
35663   , -2336.8     , array([ 0.0806622  ,  0.00122886 ,  5.34207e-09,  9.12777e-50])
35664   , -2336.8     , array([ 0.0807429  ,  0.00122886 ,  5.34207e-09,  9.12777e-50])
35665   , -2336.8     , array([ 0.0806622  ,  0.00123009 ,  5.34207e-09,  9.12777e-50])
35666   , -2336.8     , array([ 0.0806622  ,  0.00122886 ,  5.34741e-09,  9.12777e-50])
35667   , -2336.8     , array([ 0.0806622  ,  0.00122886 ,  5.34207e-09,  9.1369e-50 ])
35668   , -2336.8     , array([ 0.0802539  ,  0.00122886 ,  5.36707e-09,  9.12777e-50])
35669   , -2336.8     , array([ 0.0802539  ,  0.00122886 ,  5.36707e-09,  9.12777e-50])
35670   , -2336.8     , array([ 0.0803342  ,  0.00122886 ,  5.36707e-09,  9.12777e-50])
35671   , -2336.8     , array([ 0.0802539  ,  0.00123009 ,  5.36707e-09,  9.12777e-50])
35672   , -2336.8     , array([ 0.0802539  ,  0.00122886 ,  5.37244e-09,  9.12777e-50])
35673   , -2336.8     , array([ 0.0802539  ,  0.00122886 ,  5.36707e-09,  9.1369e-50 ])
35674   , -2336.8     , array([ 0.0786412  ,  0.00122886 ,  5.46827e-09,  9.12777e-50])
35675   , -2336.8     , array([ 0.0786412  ,  0.00122886 ,  5.46827e-09,  9.12777e-50])
35676   , -2336.8     , array([ 0.0787199  ,  0.00122886 ,  5.46827e-09,  9.12777e-50])
35677   , -2336.8     , array([ 0.0786412  ,  0.00123009 ,  5.46827e-09,  9.12777e-50])
35678   , -2336.8     , array([ 0.0786412  ,  0.00122886 ,  5.47374e-09,  9.12777e-50])
35679   , -2336.8     , array([ 0.0786412  ,  0.00122886 ,  5.46827e-09,  9.1369e-50 ])
35680   , -2336.8     , array([ 0.0725082  ,  0.00122886 ,  5.89249e-09,  9.12777e-50])
35681   , -2336.8     , array([ 0.0725082  ,  0.00122886 ,  5.89249e-09,  9.12777e-50])
35682   , -2336.8     , array([ 0.0725807  ,  0.00122886 ,  5.89249e-09,  9.12777e-50])
35683   , -2336.8     , array([ 0.0725082  ,  0.00123009 ,  5.89249e-09,  9.12777e-50])
35684   , -2336.8     , array([ 0.0725082  ,  0.00122886 ,  5.89838e-09,  9.12777e-50])
35685   , -2336.8     , array([ 0.0725082  ,  0.00122886 ,  5.89249e-09,  9.1369e-50 ])
35686   , -2336.8     , array([ 0.0524003  ,  0.00122886 ,  7.945e-09  ,  9.12777e-50])
35687   , -2336.8     , array([ 0.0524003  ,  0.00122886 ,  7.945e-09  ,  9.12777e-50])
35688   , -2336.8     , array([ 0.0524528  ,  0.00122886 ,  7.945e-09  ,  9.12777e-50])
35689   , -2336.8     , array([ 0.0524003  ,  0.00123009 ,  7.945e-09  ,  9.12777e-50])
35690   , -2336.8     , array([ 0.0524003  ,  0.00122886 ,  7.95295e-09,  9.12777e-50])
35691   , -2336.8     , array([ 0.0524003  ,  0.00122886 ,  7.945e-09  ,  9.1369e-50 ])
35692   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35693   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35694   , -2336.77    , array([ 0.0143073  ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35695   , -2336.77    , array([ 0.014293   ,  0.00123009 ,  2.62588e-08,  9.12777e-50])
35696   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62851e-08,  9.12777e-50])
35697   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.1369e-50 ])
35704   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35705   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35706   , -2336.77    , array([ 0.0143073  ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35707   , -2336.77    , array([ 0.014293   ,  0.00123009 ,  2.62588e-08,  9.12777e-50])
35708   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62851e-08,  9.12777e-50])
35709   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.1369e-50 ])
35710   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35711   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35712   , -2336.77    , array([ 0.0143073  ,  0.00122886 ,  2.62588e-08,  9.12777e-50])
35713   , -2336.77    , array([ 0.014293   ,  0.00123009 ,  2.62588e-08,  9.12777e-50])
35714   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62851e-08,  9.12777e-50])
35715   , -2336.77    , array([ 0.014293   ,  0.00122886 ,  2.62588e-08,  9.1369e-50 ])
35716   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35717   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35718   , -2331.65    , array([ 0.00106447 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35719   , -2331.65    , array([ 0.00106341 ,  0.00123009 ,  2.86838e-07,  9.12777e-50])
35720   , -2331.64    , array([ 0.00106341 ,  0.00122886 ,  2.87125e-07,  9.12777e-50])
35721   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.1369e-50 ])
35722   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35723   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35724   , -2331.65    , array([ 0.00106447 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35725   , -2331.65    , array([ 0.00106341 ,  0.00123009 ,  2.86838e-07,  9.12777e-50])
35726   , -2331.64    , array([ 0.00106341 ,  0.00122886 ,  2.87125e-07,  9.12777e-50])
35727   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.1369e-50 ])
35728   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35729   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35730   , -2331.65    , array([ 0.00106447 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35731   , -2331.65    , array([ 0.00106341 ,  0.00123009 ,  2.86838e-07,  9.12777e-50])
35732   , -2331.64    , array([ 0.00106341 ,  0.00122886 ,  2.87125e-07,  9.12777e-50])
35733   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.1369e-50 ])
35740   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35741   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35742   , -2331.65    , array([ 0.00106447 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35743   , -2331.65    , array([ 0.00106341 ,  0.00123009 ,  2.86838e-07,  9.12777e-50])
35744   , -2331.64    , array([ 0.00106341 ,  0.00122886 ,  2.87125e-07,  9.12777e-50])
35745   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.1369e-50 ])
35746   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35747   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35748   , -2331.65    , array([ 0.00106447 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
35749   , -2331.65    , array([ 0.00106341 ,  0.00123009 ,  2.86838e-07,  9.12777e-50])
35750   , -2331.64    , array([ 0.00106341 ,  0.00122886 ,  2.87125e-07,  9.12777e-50])
35751   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.1369e-50 ])
35758   , -2331.65    , array([ 0.00106341 ,  0.00122886 ,  2.86838e-07,  9.12777e-50])
