42174   , -2336.8     , array([ 13.203     ,  0.22097    ,  9.57142e-77,  5.48779e-10])
42175   , -2336.8     , array([ 13.2162    ,  0.22097    ,  9.57142e-77,  5.48779e-10])
42176   , -2336.8     , array([ 13.203     ,  0.221192   ,  9.57142e-77,  5.48779e-10])
42177   , -2336.8     , array([ 13.203     ,  0.22097    ,  9.58099e-77,  5.48779e-10])
42178   , -2336.8     , array([ 13.203     ,  0.22097    ,  9.57142e-77,  5.49328e-10])
42179   , -2336.8     , array([ 13.203     ,  0.22097    ,  9.57142e-77,  5.48779e-10])
42180   , -2336.8     , array([ 13.203     ,  0.22096    ,  9.57142e-77,  5.488e-10  ])
42181   , -2336.8     , array([ 13.203     ,  0.22096    ,  9.57142e-77,  5.488e-10  ])
42182   , -2336.8     , array([ 13.2162    ,  0.22096    ,  9.57142e-77,  5.488e-10  ])
42183   , -2336.8     , array([ 13.203     ,  0.221181   ,  9.57142e-77,  5.488e-10  ])
42184   , -2336.8     , array([ 13.203     ,  0.22096    ,  9.58099e-77,  5.488e-10  ])
42185   , -2336.8     , array([ 13.203     ,  0.22096    ,  9.57142e-77,  5.49349e-10])
42186   , -2336.8     , array([ 13.203     ,  0.220918   ,  9.57142e-77,  5.48881e-10])
42187   , -2336.8     , array([ 13.203     ,  0.220918   ,  9.57142e-77,  5.48881e-10])
42188   , -2336.8     , array([ 13.2162    ,  0.220918   ,  9.57142e-77,  5.48881e-10])
42189   , -2336.8     , array([ 13.203     ,  0.221139   ,  9.57142e-77,  5.48881e-10])
42190   , -2336.8     , array([ 13.203     ,  0.220918   ,  9.58099e-77,  5.48881e-10])
42191   , -2336.8     , array([ 13.203     ,  0.220918   ,  9.57142e-77,  5.4943e-10 ])
42192   , -2336.8     , array([ 13.203     ,  0.220749   ,  9.57142e-77,  5.49208e-10])
42193   , -2336.8     , array([ 13.203     ,  0.220749   ,  9.57142e-77,  5.49208e-10])
42194   , -2336.8     , array([ 13.2162    ,  0.220749   ,  9.57142e-77,  5.49208e-10])
42195   , -2336.8     , array([ 13.203     ,  0.22097    ,  9.57142e-77,  5.49208e-10])
42196   , -2336.8     , array([ 13.203     ,  0.220749   ,  9.58099e-77,  5.49208e-10])
42197   , -2336.8     , array([ 13.203     ,  0.220749   ,  9.57142e-77,  5.49758e-10])
42198   , -2336.8     , array([ 13.203     ,  0.220076   ,  9.57142e-77,  5.50517e-10])
42199   , -2336.8     , array([ 13.203     ,  0.220076   ,  9.57142e-77,  5.50517e-10])
42200   , -2336.8     , array([ 13.2162    ,  0.220076   ,  9.57142e-77,  5.50517e-10])
42201   , -2336.8     , array([ 13.203     ,  0.220296   ,  9.57142e-77,  5.50517e-10])
42202   , -2336.8     , array([ 13.203     ,  0.220076   ,  9.58099e-77,  5.50517e-10])
42203   , -2336.8     , array([ 13.203     ,  0.220076   ,  9.57142e-77,  5.51068e-10])
42204   , -2336.8     , array([ 13.203     ,  0.217403   ,  9.57142e-77,  5.55786e-10])
42205   , -2336.8     , array([ 13.203     ,  0.217403   ,  9.57142e-77,  5.55786e-10])
42206   , -2336.8     , array([ 13.2162    ,  0.217403   ,  9.57142e-77,  5.55786e-10])
42207   , -2336.8     , array([ 13.203     ,  0.217621   ,  9.57142e-77,  5.55786e-10])
42208   , -2336.8     , array([ 13.203     ,  0.217403   ,  9.58099e-77,  5.55786e-10])
42209   , -2336.8     , array([ 13.203     ,  0.217403   ,  9.57142e-77,  5.56342e-10])
42210   , -2336.8     , array([ 13.203     ,  0.207035   ,  9.57142e-77,  5.7737e-10 ])
42211   , -2336.8     , array([ 13.203     ,  0.207035   ,  9.57142e-77,  5.7737e-10 ])
42212   , -2336.8     , array([ 13.2162    ,  0.207035   ,  9.57142e-77,  5.7737e-10 ])
42213   , -2336.8     , array([ 13.203     ,  0.207242   ,  9.57142e-77,  5.7737e-10 ])
42214   , -2336.8     , array([ 13.203     ,  0.207035   ,  9.58099e-77,  5.7737e-10 ])
42215   , -2336.8     , array([ 13.203     ,  0.207035   ,  9.57142e-77,  5.77948e-10])
42216   , -2336.8     , array([ 13.203     ,  0.170274   ,  9.57142e-77,  6.72422e-10])
42217   , -2336.8     , array([ 13.203     ,  0.170274   ,  9.57142e-77,  6.72422e-10])
42218   , -2336.8     , array([ 13.2162    ,  0.170274   ,  9.57142e-77,  6.72422e-10])
42219   , -2336.8     , array([ 13.203     ,  0.170444   ,  9.57142e-77,  6.72422e-10])
42220   , -2336.8     , array([ 13.203     ,  0.170274   ,  9.58099e-77,  6.72422e-10])
42221   , -2336.8     , array([ 13.203     ,  0.170274   ,  9.57142e-77,  6.73094e-10])
42222   , -2336.8     , array([ 13.203     ,  0.0779058  ,  9.57142e-77,  1.23706e-09])
42223   , -2336.8     , array([ 13.203     ,  0.0779058  ,  9.57142e-77,  1.23706e-09])
42224   , -2336.8     , array([ 13.2162    ,  0.0779058  ,  9.57142e-77,  1.23706e-09])
42225   , -2336.8     , array([ 13.203     ,  0.0779837  ,  9.57142e-77,  1.23706e-09])
42226   , -2336.8     , array([ 13.203     ,  0.0779058  ,  9.58099e-77,  1.23706e-09])
42227   , -2336.8     , array([ 13.203     ,  0.0779058  ,  9.57142e-77,  1.2383e-09 ])
42228   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.57142e-77,  1.41705e-08])
42229   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.57142e-77,  1.41705e-08])
42230   , -2336.72    , array([ 13.2162    ,  0.00341393 ,  9.57142e-77,  1.41705e-08])
42231   , -2336.73    , array([ 13.203     ,  0.00341735 ,  9.57142e-77,  1.41705e-08])
42232   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.58099e-77,  1.41705e-08])
42233   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.57142e-77,  1.41847e-08])
42240   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.57142e-77,  1.41705e-08])
42241   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.57142e-77,  1.41705e-08])
42242   , -2336.72    , array([ 13.2162    ,  0.00341393 ,  9.57142e-77,  1.41705e-08])
42243   , -2336.73    , array([ 13.203     ,  0.00341735 ,  9.57142e-77,  1.41705e-08])
42244   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.58099e-77,  1.41705e-08])
42245   , -2336.72    , array([ 13.203     ,  0.00341393 ,  9.57142e-77,  1.41847e-08])
42246   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.57142e-77,  1.59491e-08])
42247   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.57142e-77,  1.59491e-08])
42248   , -2336.7     , array([ 13.2162    ,  0.00293353 ,  9.57142e-77,  1.59491e-08])
42249   , -2336.7     , array([ 13.203     ,  0.00293646 ,  9.57142e-77,  1.59491e-08])
42250   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.58099e-77,  1.59491e-08])
42251   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.57142e-77,  1.59651e-08])
42258   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.57142e-77,  1.59491e-08])
42259   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.57142e-77,  1.59491e-08])
42260   , -2336.7     , array([ 13.2162    ,  0.00293353 ,  9.57142e-77,  1.59491e-08])
42261   , -2336.7     , array([ 13.203     ,  0.00293646 ,  9.57142e-77,  1.59491e-08])
42262   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.58099e-77,  1.59491e-08])
42263   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.57142e-77,  1.59651e-08])
42264   , -2336.7     , array([ 13.203     ,  0.00293353 ,  9.57142e-77,  1.59491e-08])
