44140   , -2336.8     , array([ 0.297412   ,  0.0150427  ,  1.00378e-08,  1.82454e-57])
44141   , -2336.8     , array([ 0.297709   ,  0.0150427  ,  1.00378e-08,  1.82454e-57])
44142   , -2336.8     , array([ 0.297412   ,  0.0150578  ,  1.00378e-08,  1.82454e-57])
44143   , -2336.8     , array([ 0.297412   ,  0.0150427  ,  1.00478e-08,  1.82454e-57])
44144   , -2336.8     , array([ 0.297412   ,  0.0150427  ,  1.00378e-08,  1.82637e-57])
44145   , -2336.8     , array([ 0.297412   ,  0.0150427  ,  1.00378e-08,  1.82454e-57])
44146   , -2336.8     , array([ 0.297219   ,  0.0150427  ,  1.00424e-08,  1.82454e-57])
44147   , -2336.8     , array([ 0.297219   ,  0.0150427  ,  1.00424e-08,  1.82454e-57])
44148   , -2336.8     , array([ 0.297516   ,  0.0150427  ,  1.00424e-08,  1.82454e-57])
44149   , -2336.8     , array([ 0.297219   ,  0.0150578  ,  1.00424e-08,  1.82454e-57])
44150   , -2336.8     , array([ 0.297219   ,  0.0150427  ,  1.00524e-08,  1.82454e-57])
44151   , -2336.8     , array([ 0.297219   ,  0.0150427  ,  1.00424e-08,  1.82637e-57])
44152   , -2336.8     , array([ 0.29645    ,  0.0150427  ,  1.00607e-08,  1.82454e-57])
44153   , -2336.8     , array([ 0.29645    ,  0.0150427  ,  1.00607e-08,  1.82454e-57])
44154   , -2336.8     , array([ 0.296746   ,  0.0150427  ,  1.00607e-08,  1.82454e-57])
44155   , -2336.8     , array([ 0.29645    ,  0.0150578  ,  1.00607e-08,  1.82454e-57])
44156   , -2336.8     , array([ 0.29645    ,  0.0150427  ,  1.00708e-08,  1.82454e-57])
44157   , -2336.8     , array([ 0.29645    ,  0.0150427  ,  1.00607e-08,  1.82637e-57])
44158   , -2336.8     , array([ 0.293391   ,  0.0150427  ,  1.01343e-08,  1.82454e-57])
44159   , -2336.8     , array([ 0.293391   ,  0.0150427  ,  1.01343e-08,  1.82454e-57])
44160   , -2336.8     , array([ 0.293685   ,  0.0150427  ,  1.01343e-08,  1.82454e-57])
