54062   , -16061.3    , array([ 0.407357   ,  4.09548    ,  0.928742   ,  0.387393   ])
54063   , -16046.6    , array([ 0.407764   ,  4.09548    ,  0.928742   ,  0.387393   ])
54064   , -16068.1    , array([ 0.407357   ,  4.09957    ,  0.928742   ,  0.387393   ])
54065   , -16067.1    , array([ 0.407357   ,  4.09548    ,  0.929671   ,  0.387393   ])
54066   , -16067.6    , array([ 0.407357   ,  4.09548    ,  0.928742   ,  0.38778    ])
54067   , -16061.3    , array([ 0.407357   ,  4.09548    ,  0.928742   ,  0.387393   ])
54068   , -6165.73    , array([ 0.913627   ,  2.81027    ,  0.67302    ,  0.27314    ])
54069   , -6165.73    , array([ 0.913627   ,  2.81027    ,  0.67302    ,  0.27314    ])
54070   , -6165.16    , array([ 0.914541   ,  2.81027    ,  0.67302    ,  0.27314    ])
54071   , -6169.47    , array([ 0.913627   ,  2.81308    ,  0.67302    ,  0.27314    ])
54072   , -6166.02    , array([ 0.913627   ,  2.81027    ,  0.673694   ,  0.27314    ])
54073   , -6168.51    , array([ 0.913627   ,  2.81027    ,  0.67302    ,  0.273413   ])
54074   , -1005.29    , array([ 0.253362   ,  0.0713435  ,  1.04221    ,  0.0210333  ])
54075   , -1005.29    , array([ 0.253362   ,  0.0713435  ,  1.04221    ,  0.0210333  ])
54076   , -1005.82    , array([ 0.253616   ,  0.0713435  ,  1.04221    ,  0.0210333  ])
54077   , -1005.09    , array([ 0.253362   ,  0.0714148  ,  1.04221    ,  0.0210333  ])
54078   , -1005.4     , array([ 0.253362   ,  0.0713435  ,  1.04325    ,  0.0210333  ])
54079   , -1004.89    , array([ 0.253362   ,  0.0713435  ,  1.04221    ,  0.0210543  ])
54086   , -1005.11    , array([ 0.25332    ,  0.0713296  ,  1.04174    ,  0.0210376  ])
54087   , -1005.11    , array([ 0.25332    ,  0.0713296  ,  1.04174    ,  0.0210376  ])
54088   , -1005.64    , array([ 0.253574   ,  0.0713296  ,  1.04174    ,  0.0210376  ])
54089   , -1004.91    , array([ 0.25332    ,  0.071401   ,  1.04174    ,  0.0210376  ])
54090   , -1005.21    , array([ 0.25332    ,  0.0713296  ,  1.04279    ,  0.0210376  ])
54091   , -1004.71    , array([ 0.25332    ,  0.0713296  ,  1.04174    ,  0.0210587  ])
54092   , -964.654    , array([ 0.211684   ,  0.0578729  ,  0.64306    ,  0.0263324  ])
54093   , -964.654    , array([ 0.211684   ,  0.0578729  ,  0.64306    ,  0.0263324  ])
54094   , -966.23     , array([ 0.211896   ,  0.0578729  ,  0.64306    ,  0.0263324  ])
54095   , -963.69     , array([ 0.211684   ,  0.0579308  ,  0.64306    ,  0.0263324  ])
54096   , -964.039    , array([ 0.211684   ,  0.0578729  ,  0.643704   ,  0.0263324  ])
54097   , -964.404    , array([ 0.211684   ,  0.0578729  ,  0.64306    ,  0.0263588  ])
54098   , -919.897    , array([ 0.180412   ,  0.0635206  ,  0.447995   ,  0.0226915  ])
54099   , -919.897    , array([ 0.180412   ,  0.0635206  ,  0.447995   ,  0.0226915  ])
54100   , -921.565    , array([ 0.180593   ,  0.0635206  ,  0.447995   ,  0.0226915  ])
54101   , -918.841    , array([ 0.180412   ,  0.0635842  ,  0.447995   ,  0.0226915  ])
54102   , -918.949    , array([ 0.180412   ,  0.0635206  ,  0.448444   ,  0.0226915  ])
54103   , -919.771    , array([ 0.180412   ,  0.0635206  ,  0.447995   ,  0.0227142  ])
54104   , -833.444    , array([ 0.174414   ,  0.0704674  ,  0.417933   ,  0.0209937  ])
54105   , -833.444    , array([ 0.174414   ,  0.0704674  ,  0.417933   ,  0.0209937  ])
54106   , -834.881    , array([ 0.174588   ,  0.0704674  ,  0.417933   ,  0.0209937  ])
54107   , -832.501    , array([ 0.174414   ,  0.0705379  ,  0.417933   ,  0.0209937  ])
54108   , -832.627    , array([ 0.174414   ,  0.0704674  ,  0.418351   ,  0.0209937  ])
54109   , -833.355    , array([ 0.174414   ,  0.0704674  ,  0.417933   ,  0.0210147  ])
54110   , -551.219    , array([ 0.15235    ,  0.106729   ,  0.316548   ,  0.0153812  ])
54111   , -551.219    , array([ 0.15235    ,  0.106729   ,  0.316548   ,  0.0153812  ])
54112   , -552.063    , array([ 0.152502   ,  0.106729   ,  0.316548   ,  0.0153812  ])
54113   , -550.597    , array([ 0.15235    ,  0.106836   ,  0.316548   ,  0.0153812  ])
54114   , -550.737    , array([ 0.15235    ,  0.106729   ,  0.316865   ,  0.0153812  ])
54115   , -551.211    , array([ 0.15235    ,  0.106729   ,  0.316548   ,  0.0153966  ])
54116   , -1157.03    , array([ 0.0951087  ,  0.360006   ,  0.111211   ,  0.00492932 ])
54117   , -1157.03    , array([ 0.0951087  ,  0.360006   ,  0.111211   ,  0.00492932 ])
54118   , -1157.33    , array([ 0.0952038  ,  0.360006   ,  0.111211   ,  0.00492932 ])
54119   , -1156.76    , array([ 0.0951087  ,  0.360367   ,  0.111211   ,  0.00492932 ])
54120   , -1155.45    , array([ 0.0951087  ,  0.360006   ,  0.111322   ,  0.00492932 ])
54121   , -1156.47    , array([ 0.0951087  ,  0.360006   ,  0.111211   ,  0.00493425 ])
54122   , -441.891    , array([ 0.135112   ,  0.145496   ,  0.242472   ,  0.0115091  ])
54123   , -441.891    , array([ 0.135112   ,  0.145496   ,  0.242472   ,  0.0115091  ])
54124   , -442.798    , array([ 0.135247   ,  0.145496   ,  0.242472   ,  0.0115091  ])
54125   , -441.325    , array([ 0.135112   ,  0.145642   ,  0.242472   ,  0.0115091  ])
54126   , -441.03     , array([ 0.135112   ,  0.145496   ,  0.242714   ,  0.0115091  ])
54127   , -441.835    , array([ 0.135112   ,  0.145496   ,  0.242472   ,  0.0115206  ])
54128   , -289.007    , array([ 0.138658   ,  0.217399   ,  0.249706   ,  0.00993395 ])
54129   , -289.007    , array([ 0.138658   ,  0.217399   ,  0.249706   ,  0.00993395 ])
54130   , -289.452    , array([ 0.138797   ,  0.217399   ,  0.249706   ,  0.00993395 ])
54131   , -288.738    , array([ 0.138658   ,  0.217616   ,  0.249706   ,  0.00993395 ])
54132   , -288.674    , array([ 0.138658   ,  0.217399   ,  0.249956   ,  0.00993395 ])
54133   , -288.94     , array([ 0.138658   ,  0.217399   ,  0.249706   ,  0.00994389 ])
54134   , -228.805    , array([ 0.138986   ,  0.31737    ,  0.242416   ,  0.00889155 ])
54135   , -228.805    , array([ 0.138986   ,  0.31737    ,  0.242416   ,  0.00889155 ])
54136   , -229.101    , array([ 0.139125   ,  0.31737    ,  0.242416   ,  0.00889155 ])
54137   , -228.654    , array([ 0.138986   ,  0.317688   ,  0.242416   ,  0.00889155 ])
54138   , -228.59     , array([ 0.138986   ,  0.31737    ,  0.242658   ,  0.00889155 ])
54139   , -228.72     , array([ 0.138986   ,  0.31737    ,  0.242416   ,  0.00890044 ])
54140   , -194.368    , array([ 0.143814   ,  0.458677   ,  0.247948   ,  0.00888366 ])
54141   , -194.368    , array([ 0.143814   ,  0.458677   ,  0.247948   ,  0.00888366 ])
54142   , -194.458    , array([ 0.143958   ,  0.458677   ,  0.247948   ,  0.00888366 ])
54143   , -194.299    , array([ 0.143814   ,  0.459136   ,  0.247948   ,  0.00888366 ])
54144   , -194.42     , array([ 0.143814   ,  0.458677   ,  0.248196   ,  0.00888366 ])
54145   , -194.322    , array([ 0.143814   ,  0.458677   ,  0.247948   ,  0.00889255 ])
54146   , -174.581    , array([ 0.143143   ,  0.817181   ,  0.225922   ,  0.00820798 ])
54147   , -174.581    , array([ 0.143143   ,  0.817181   ,  0.225922   ,  0.00820798 ])
54148   , -174.761    , array([ 0.143286   ,  0.817181   ,  0.225922   ,  0.00820798 ])
54149   , -174.534    , array([ 0.143143   ,  0.817998   ,  0.225922   ,  0.00820798 ])
54150   , -174.373    , array([ 0.143143   ,  0.817181   ,  0.226148   ,  0.00820798 ])
54151   , -174.464    , array([ 0.143143   ,  0.817181   ,  0.225922   ,  0.00821619 ])
54152   , -158.397    , array([ 0.149669   ,  1.12684    ,  0.23049    ,  0.00899759 ])
54153   , -158.397    , array([ 0.149669   ,  1.12684    ,  0.23049    ,  0.00899759 ])
54154   , -158.45     , array([ 0.149818   ,  1.12684    ,  0.23049    ,  0.00899759 ])
54155   , -158.375    , array([ 0.149669   ,  1.12796    ,  0.23049    ,  0.00899759 ])
54156   , -158.384    , array([ 0.149669   ,  1.12684    ,  0.23072    ,  0.00899759 ])
54157   , -158.337    , array([ 0.149669   ,  1.12684    ,  0.23049    ,  0.00900659 ])
54158   , -146.41     , array([ 0.158166   ,  1.99059    ,  0.22676    ,  0.0101005  ])
54159   , -146.41     , array([ 0.158166   ,  1.99059    ,  0.22676    ,  0.0101005  ])
54160   , -146.377    , array([ 0.158324   ,  1.99059    ,  0.22676    ,  0.0101005  ])
54161   , -146.404    , array([ 0.158166   ,  1.99258    ,  0.22676    ,  0.0101005  ])
54162   , -146.5      , array([ 0.158166   ,  1.99059    ,  0.226987   ,  0.0101005  ])
54163   , -146.397    , array([ 0.158166   ,  1.99059    ,  0.22676    ,  0.0101106  ])
54164   , -134.842    , array([ 0.169671   ,  4.64163    ,  0.215122   ,  0.0115324  ])
54165   , -134.842    , array([ 0.169671   ,  4.64163    ,  0.215122   ,  0.0115324  ])
54166   , -134.778    , array([ 0.16984    ,  4.64163    ,  0.215122   ,  0.0115324  ])
54167   , -134.841    , array([ 0.169671   ,  4.64628    ,  0.215122   ,  0.0115324  ])
54168   , -134.946    , array([ 0.169671   ,  4.64163    ,  0.215337   ,  0.0115324  ])
54169   , -134.847    , array([ 0.169671   ,  4.64163    ,  0.215122   ,  0.0115439  ])
54170   , -118.258    , array([ 0.198377   ,  30.8252    ,  0.189474   ,  0.0150935  ])
54171   , -118.258    , array([ 0.198377   ,  30.8252    ,  0.189474   ,  0.0150935  ])
54172   , -118.252    , array([ 0.198576   ,  30.8252    ,  0.189474   ,  0.0150935  ])
54173   , -118.258    , array([ 0.198377   ,  30.8561    ,  0.189474   ,  0.0150935  ])
54174   , -118.372    , array([ 0.198377   ,  30.8252    ,  0.189663   ,  0.0150935  ])
54175   , -118.302    , array([ 0.198377   ,  30.8252    ,  0.189474   ,  0.0151086  ])
54176   , -114.453    , array([ 0.20364    ,  62.9143    ,  0.175559   ,  0.0156063  ])
54177   , -114.453    , array([ 0.20364    ,  62.9143    ,  0.175559   ,  0.0156063  ])
54178   , -114.522    , array([ 0.203843   ,  62.9143    ,  0.175559   ,  0.0156063  ])
54179   , -114.453    , array([ 0.20364    ,  62.9773    ,  0.175559   ,  0.0156063  ])
54180   , -114.482    , array([ 0.20364    ,  62.9143    ,  0.175735   ,  0.0156063  ])
54181   , -114.45     , array([ 0.20364    ,  62.9143    ,  0.175559   ,  0.0156219  ])
54182   , -113.957    , array([ 0.194559   ,  50.9311    ,  0.173452   ,  0.0147049  ])
54183   , -113.957    , array([ 0.194559   ,  50.9311    ,  0.173452   ,  0.0147049  ])
54184   , -113.993    , array([ 0.194754   ,  50.9311    ,  0.173452   ,  0.0147049  ])
54185   , -113.956    , array([ 0.194559   ,  50.982     ,  0.173452   ,  0.0147049  ])
54186   , -113.943    , array([ 0.194559   ,  50.9311    ,  0.173626   ,  0.0147049  ])
54187   , -113.899    , array([ 0.194559   ,  50.9311    ,  0.173452   ,  0.0147197  ])
54188   , -113.032    , array([ 0.195385   ,  56.0019    ,  0.171607   ,  0.0150281  ])
54189   , -113.032    , array([ 0.195385   ,  56.0019    ,  0.171607   ,  0.0150281  ])
54190   , -113.072    , array([ 0.19558    ,  56.0019    ,  0.171607   ,  0.0150281  ])
54191   , -113.032    , array([ 0.195385   ,  56.0579    ,  0.171607   ,  0.0150281  ])
54192   , -113.024    , array([ 0.195385   ,  56.0019    ,  0.171779   ,  0.0150281  ])
54193   , -112.983    , array([ 0.195385   ,  56.0019    ,  0.171607   ,  0.0150431  ])
54194   , -111.377    , array([ 0.195249   ,  66.9707    ,  0.166695   ,  0.0156634  ])
54195   , -111.377    , array([ 0.195249   ,  66.9707    ,  0.166695   ,  0.0156634  ])
54196   , -111.421    , array([ 0.195444   ,  66.9707    ,  0.166695   ,  0.0156634  ])
54197   , -111.376    , array([ 0.195249   ,  67.0377    ,  0.166695   ,  0.0156634  ])
54198   , -111.374    , array([ 0.195249   ,  66.9707    ,  0.166862   ,  0.0156634  ])
54199   , -111.342    , array([ 0.195249   ,  66.9707    ,  0.166695   ,  0.015679   ])
54200   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54201   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54202   , -108.933    , array([ 0.192478   ,  91.207     ,  0.156173   ,  0.0169662  ])
54203   , -108.888    , array([ 0.192285   ,  91.2983    ,  0.156173   ,  0.0169662  ])
54204   , -108.896    , array([ 0.192285   ,  91.207     ,  0.156329   ,  0.0169662  ])
54205   , -108.883    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169832  ])
54212   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54213   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54214   , -108.933    , array([ 0.192478   ,  91.207     ,  0.156173   ,  0.0169662  ])
54215   , -108.888    , array([ 0.192285   ,  91.2983    ,  0.156173   ,  0.0169662  ])
54216   , -108.896    , array([ 0.192285   ,  91.207     ,  0.156329   ,  0.0169662  ])
54217   , -108.883    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169832  ])
54224   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54225   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54226   , -108.933    , array([ 0.192478   ,  91.207     ,  0.156173   ,  0.0169662  ])
54227   , -108.888    , array([ 0.192285   ,  91.2983    ,  0.156173   ,  0.0169662  ])
54228   , -108.896    , array([ 0.192285   ,  91.207     ,  0.156329   ,  0.0169662  ])
54229   , -108.883    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169832  ])
54236   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54237   , -108.888    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169662  ])
54238   , -108.933    , array([ 0.192478   ,  91.207     ,  0.156173   ,  0.0169662  ])
54239   , -108.888    , array([ 0.192285   ,  91.2983    ,  0.156173   ,  0.0169662  ])
54240   , -108.896    , array([ 0.192285   ,  91.207     ,  0.156329   ,  0.0169662  ])
54241   , -108.883    , array([ 0.192285   ,  91.207     ,  0.156173   ,  0.0169832  ])
54242   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54243   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54244   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54245   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54246   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54247   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54254   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54255   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54256   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54257   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54258   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54259   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54260   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54261   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54262   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54263   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54264   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54265   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54272   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54273   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54274   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54275   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54276   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54277   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54284   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54285   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54286   , -108.258    , array([ 0.190421   ,  97.9175    ,  0.152676   ,  0.0173477  ])
54287   , -108.218    , array([ 0.19023    ,  98.0154    ,  0.152676   ,  0.0173477  ])
54288   , -108.229    , array([ 0.19023    ,  97.9175    ,  0.152829   ,  0.0173477  ])
54289   , -108.221    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.017365   ])
54290   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
54291   , -108.218    , array([ 0.19023    ,  97.9175    ,  0.152676   ,  0.0173477  ])
