42011   , -5991.26    , array([ 2.4894     ,  4.20061    ,  3.40891e-20,  0.175927   ])
42012   , -5991.26    , array([ 2.49189    ,  4.20061    ,  3.40891e-20,  0.175927   ])
42013   , -5993.36    , array([ 2.4894     ,  4.20481    ,  3.40891e-20,  0.175927   ])
42014   , -5991.26    , array([ 2.4894     ,  4.20061    ,  3.41233e-20,  0.175927   ])
42015   , -5994.51    , array([ 2.4894     ,  4.20061    ,  3.40891e-20,  0.176103   ])
42016   , -5991.26    , array([ 2.4894     ,  4.20061    ,  3.40891e-20,  0.175927   ])
42017   , -3417.59    , array([ 2.4894     ,  2.4269     ,  3.40891e-20,  0.0753436  ])
42018   , -3417.59    , array([ 2.4894     ,  2.4269     ,  3.40891e-20,  0.0753436  ])
42019   , -3417.59    , array([ 2.49189    ,  2.4269     ,  3.40891e-20,  0.0753436  ])
42020   , -3418.62    , array([ 2.4894     ,  2.42933    ,  3.40891e-20,  0.0753436  ])
42021   , -3417.59    , array([ 2.4894     ,  2.4269     ,  3.41233e-20,  0.0753436  ])
42022   , -3418.69    , array([ 2.4894     ,  2.4269     ,  3.40891e-20,  0.075419   ])
42029   , -3417.55    , array([ 2.4894     ,  2.42667    ,  3.40891e-20,  0.0753471  ])
42030   , -3417.55    , array([ 2.4894     ,  2.42667    ,  3.40891e-20,  0.0753471  ])
42031   , -3417.55    , array([ 2.49189    ,  2.42667    ,  3.40891e-20,  0.0753471  ])
42032   , -3418.57    , array([ 2.4894     ,  2.4291     ,  3.40891e-20,  0.0753471  ])
42033   , -3417.55    , array([ 2.4894     ,  2.42667    ,  3.41233e-20,  0.0753471  ])
42034   , -3418.65    , array([ 2.4894     ,  2.42667    ,  3.40891e-20,  0.0754225  ])
42035   , -3417.5     , array([ 2.4894     ,  2.42644    ,  3.40891e-20,  0.0753507  ])
42036   , -3417.5     , array([ 2.4894     ,  2.42644    ,  3.40891e-20,  0.0753507  ])
42037   , -3417.5     , array([ 2.49189    ,  2.42644    ,  3.40891e-20,  0.0753507  ])
42038   , -3418.53    , array([ 2.4894     ,  2.42887    ,  3.40891e-20,  0.0753507  ])
42039   , -3417.5     , array([ 2.4894     ,  2.42644    ,  3.41233e-20,  0.0753507  ])
42040   , -3418.6     , array([ 2.4894     ,  2.42644    ,  3.40891e-20,  0.0754261  ])
42041   , -2336.8     , array([ 2.4894     ,  0.0105937  ,  3.40891e-20,  1.13175    ])
42042   , -2336.8     , array([ 2.4894     ,  0.0105937  ,  3.40891e-20,  1.13175    ])
42043   , -2336.8     , array([ 2.49189    ,  0.0105937  ,  3.40891e-20,  1.13175    ])
42044   , -2336.8     , array([ 2.4894     ,  0.0106043  ,  3.40891e-20,  1.13175    ])
42045   , -2336.8     , array([ 2.4894     ,  0.0105937  ,  3.41233e-20,  1.13175    ])
42046   , -2336.8     , array([ 2.4894     ,  0.0105937  ,  3.40891e-20,  1.13288    ])
