2795    , -2335.28    , array([ 7.08731    ,  0.0828016  ,  6.61279e-31,  7.1783e-06 ])
2796    , -2335.28    , array([ 7.0944     ,  0.0828016  ,  6.61279e-31,  7.1783e-06 ])
2797    , -2335.28    , array([ 7.08731    ,  0.0828844  ,  6.61279e-31,  7.1783e-06 ])
2798    , -2335.28    , array([ 7.08731    ,  0.0828016  ,  6.6194e-31 ,  7.1783e-06 ])
2799    , -2335.28    , array([ 7.08731    ,  0.0828016  ,  6.61279e-31,  7.18548e-06])
2800    , -2335.28    , array([ 7.08731    ,  0.0828016  ,  6.61279e-31,  7.1783e-06 ])
2801    , -2330.17    , array([ 7.08731    ,  0.0393486  ,  6.61279e-31,  1.42126e-05])
2802    , -2330.17    , array([ 7.08731    ,  0.0393486  ,  6.61279e-31,  1.42126e-05])
2803    , -2330.17    , array([ 7.0944     ,  0.0393486  ,  6.61279e-31,  1.42126e-05])
2804    , -2330.18    , array([ 7.08731    ,  0.039388   ,  6.61279e-31,  1.42126e-05])
2805    , -2330.17    , array([ 7.08731    ,  0.0393486  ,  6.6194e-31 ,  1.42126e-05])
2806    , -2330.17    , array([ 7.08731    ,  0.0393486  ,  6.61279e-31,  1.42268e-05])
2807    , -1833.78    , array([ 7.08731    ,  0.00200674 ,  6.61279e-31,  0.000218417])
2808    , -1833.78    , array([ 7.08731    ,  0.00200674 ,  6.61279e-31,  0.000218417])
2809    , -1833.78    , array([ 7.0944     ,  0.00200674 ,  6.61279e-31,  0.000218417])
2810    , -1833.53    , array([ 7.08731    ,  0.00200875 ,  6.61279e-31,  0.000218417])
2811    , -1833.78    , array([ 7.08731    ,  0.00200674 ,  6.6194e-31 ,  0.000218417])
2812    , -1834.04    , array([ 7.08731    ,  0.00200674 ,  6.61279e-31,  0.000218635])
2813    , -2329.11    , array([ 7.08731    ,  0.0364625  ,  6.61279e-31,  1.52422e-05])
2814    , -2329.11    , array([ 7.08731    ,  0.0364625  ,  6.61279e-31,  1.52422e-05])
2815    , -2329.11    , array([ 7.0944     ,  0.0364625  ,  6.61279e-31,  1.52422e-05])
2816    , -2329.12    , array([ 7.08731    ,  0.036499   ,  6.61279e-31,  1.52422e-05])
2817    , -2329.11    , array([ 7.08731    ,  0.0364625  ,  6.6194e-31 ,  1.52422e-05])
2818    , -2329.11    , array([ 7.08731    ,  0.0364625  ,  6.61279e-31,  1.52575e-05])
2819    , -1915.99    , array([ 7.08731    ,  0.0035714  ,  6.61279e-31,  0.000128658])
2820    , -1915.99    , array([ 7.08731    ,  0.0035714  ,  6.61279e-31,  0.000128658])
2821    , -1915.99    , array([ 7.0944     ,  0.0035714  ,  6.61279e-31,  0.000128658])
2822    , -1916.22    , array([ 7.08731    ,  0.00357497 ,  6.61279e-31,  0.000128658])
2823    , -1915.99    , array([ 7.08731    ,  0.0035714  ,  6.6194e-31 ,  0.000128658])
2824    , -1915.76    , array([ 7.08731    ,  0.0035714  ,  6.61279e-31,  0.000128787])
2825    , -1796.59    , array([ 7.08731    ,  0.00238508 ,  6.61279e-31,  0.000186387])
2826    , -1796.59    , array([ 7.08731    ,  0.00238508 ,  6.61279e-31,  0.000186387])
2827    , -1796.59    , array([ 7.0944     ,  0.00238508 ,  6.61279e-31,  0.000186387])
2828    , -1796.6     , array([ 7.08731    ,  0.00238747 ,  6.61279e-31,  0.000186387])
2829    , -1796.59    , array([ 7.08731    ,  0.00238508 ,  6.6194e-31 ,  0.000186387])
2830    , -1796.58    , array([ 7.08731    ,  0.00238508 ,  6.61279e-31,  0.000186574])
2831    , -1796.52    , array([ 7.08731    ,  0.00236652 ,  6.61279e-31,  0.000187729])
2832    , -1796.52    , array([ 7.08731    ,  0.00236652 ,  6.61279e-31,  0.000187729])
2833    , -1796.52    , array([ 7.0944     ,  0.00236652 ,  6.61279e-31,  0.000187729])
2834    , -1796.52    , array([ 7.08731    ,  0.00236889 ,  6.61279e-31,  0.000187729])
2835    , -1796.52    , array([ 7.08731    ,  0.00236652 ,  6.6194e-31 ,  0.000187729])
2836    , -1796.52    , array([ 7.08731    ,  0.00236652 ,  6.61279e-31,  0.000187917])
2837    , -1818.41    , array([ 7.08731    ,  0.00430566 ,  6.61279e-31,  0.000446577])
2838    , -1818.41    , array([ 7.08731    ,  0.00430566 ,  6.61279e-31,  0.000446577])
2839    , -1818.41    , array([ 7.0944     ,  0.00430566 ,  6.61279e-31,  0.000446577])
2840    , -1818.2     , array([ 7.08731    ,  0.00430997 ,  6.61279e-31,  0.000446577])
2841    , -1818.41    , array([ 7.08731    ,  0.00430566 ,  6.6194e-31 ,  0.000446577])
2842    , -1818.61    , array([ 7.08731    ,  0.00430566 ,  6.61279e-31,  0.000447023])
2843    , -1796.5     , array([ 7.08731    ,  0.00240544 ,  6.61279e-31,  0.000192216])
2844    , -1796.5     , array([ 7.08731    ,  0.00240544 ,  6.61279e-31,  0.000192216])
2845    , -1796.5     , array([ 7.0944     ,  0.00240544 ,  6.61279e-31,  0.000192216])
2846    , -1796.49    , array([ 7.08731    ,  0.00240785 ,  6.61279e-31,  0.000192216])
2847    , -1796.5     , array([ 7.08731    ,  0.00240544 ,  6.6194e-31 ,  0.000192216])
2848    , -1796.5     , array([ 7.08731    ,  0.00240544 ,  6.61279e-31,  0.000192408])
2849    , -1796.42    , array([ 7.08731    ,  0.00249208 ,  6.61279e-31,  0.000199259])
2850    , -1796.42    , array([ 7.08731    ,  0.00249208 ,  6.61279e-31,  0.000199259])
2851    , -1796.42    , array([ 7.0944     ,  0.00249208 ,  6.61279e-31,  0.000199259])
2852    , -1796.41    , array([ 7.08731    ,  0.00249457 ,  6.61279e-31,  0.000199259])
2853    , -1796.42    , array([ 7.08731    ,  0.00249208 ,  6.6194e-31 ,  0.000199259])
2854    , -1796.42    , array([ 7.08731    ,  0.00249208 ,  6.61279e-31,  0.000199458])
2855    , -1796.06    , array([ 7.08731    ,  0.00287099 ,  6.61279e-31,  0.000230107])
2856    , -1796.06    , array([ 7.08731    ,  0.00287099 ,  6.61279e-31,  0.000230107])
2857    , -1796.06    , array([ 7.0944     ,  0.00287099 ,  6.61279e-31,  0.000230107])
