8734    , -2205.46    , array([ 0.00502553 ,  0.0577535  ,  0.0477086  ,  2.8381e-22 ])
8735    , -2204.37    , array([ 0.00503056 ,  0.0577535  ,  0.0477086  ,  2.8381e-22 ])
8736    , -2205.46    , array([ 0.00502553 ,  0.0578113  ,  0.0477086  ,  2.8381e-22 ])
8737    , -2206.68    , array([ 0.00502553 ,  0.0577535  ,  0.0477563  ,  2.8381e-22 ])
8738    , -2205.46    , array([ 0.00502553 ,  0.0577535  ,  0.0477086  ,  2.84094e-22])
8739    , -2205.46    , array([ 0.00502553 ,  0.0577535  ,  0.0477086  ,  2.8381e-22 ])
8740    , -5716.44    , array([ 0.00988389 ,  0.0577535  ,  0.0225342  ,  2.8381e-22 ])
8741    , -5716.44    , array([ 0.00988389 ,  0.0577535  ,  0.0225342  ,  2.8381e-22 ])
8742    , -5719.03    , array([ 0.00989378 ,  0.0577535  ,  0.0225342  ,  2.8381e-22 ])
8743    , -5716.44    , array([ 0.00988389 ,  0.0578113  ,  0.0225342  ,  2.8381e-22 ])
8744    , -5711.35    , array([ 0.00988389 ,  0.0577535  ,  0.0225567  ,  2.8381e-22 ])
8745    , -5716.44    , array([ 0.00988389 ,  0.0577535  ,  0.0225342  ,  2.84094e-22])
8746    , -1904.57    , array([ 0.00539965 ,  0.0577535  ,  0.044057   ,  2.8381e-22 ])
8747    , -1904.57    , array([ 0.00539965 ,  0.0577535  ,  0.044057   ,  2.8381e-22 ])
8748    , -1901.79    , array([ 0.00540505 ,  0.0577535  ,  0.044057   ,  2.8381e-22 ])
8749    , -1904.57    , array([ 0.00539965 ,  0.0578113  ,  0.044057   ,  2.8381e-22 ])
8750    , -1907.72    , array([ 0.00539965 ,  0.0577535  ,  0.0441011  ,  2.8381e-22 ])
8751    , -1904.57    , array([ 0.00539965 ,  0.0577535  ,  0.044057   ,  2.84094e-22])
8752    , -1099.84    , array([ 0.00591444 ,  0.0577535  ,  0.0398251  ,  2.8381e-22 ])
8753    , -1099.84    , array([ 0.00591444 ,  0.0577535  ,  0.0398251  ,  2.8381e-22 ])
8754    , -1095.35    , array([ 0.00592036 ,  0.0577535  ,  0.0398251  ,  2.8381e-22 ])
8755    , -1099.84    , array([ 0.00591444 ,  0.0578113  ,  0.0398251  ,  2.8381e-22 ])
8756    , -1105.12    , array([ 0.00591444 ,  0.0577535  ,  0.039865   ,  2.8381e-22 ])
8757    , -1099.84    , array([ 0.00591444 ,  0.0577535  ,  0.0398251  ,  2.84094e-22])
8758    , -2027.34    , array([ 0.00764576 ,  0.0577535  ,  0.0299571  ,  2.8381e-22 ])
8759    , -2027.34    , array([ 0.00764576 ,  0.0577535  ,  0.0299571  ,  2.8381e-22 ])
8760    , -2034.43    , array([ 0.00765341 ,  0.0577535  ,  0.0299571  ,  2.8381e-22 ])
8761    , -2027.34    , array([ 0.00764576 ,  0.0578113  ,  0.0299571  ,  2.8381e-22 ])
8762    , -2017.79    , array([ 0.00764576 ,  0.0577535  ,  0.029987   ,  2.8381e-22 ])
8763    , -2027.34    , array([ 0.00764576 ,  0.0577535  ,  0.0299571  ,  2.84094e-22])
8764    , -401.755    , array([ 0.00650598 ,  0.0577535  ,  0.03583    ,  2.8381e-22 ])
8765    , -401.755    , array([ 0.00650598 ,  0.0577535  ,  0.03583    ,  2.8381e-22 ])
8766    , -401.05     , array([ 0.00651249 ,  0.0577535  ,  0.03583    ,  2.8381e-22 ])
8767    , -401.755    , array([ 0.00650598 ,  0.0578113  ,  0.03583    ,  2.8381e-22 ])
8768    , -402.656    , array([ 0.00650598 ,  0.0577535  ,  0.0358658  ,  2.8381e-22 ])
8769    , -401.755    , array([ 0.00650598 ,  0.0577535  ,  0.03583    ,  2.84094e-22])
8776    , -401.735    , array([ 0.00650565 ,  0.0577535  ,  0.0358276  ,  2.8381e-22 ])
8777    , -401.735    , array([ 0.00650565 ,  0.0577535  ,  0.0358276  ,  2.8381e-22 ])
8778    , -401.031    , array([ 0.00651216 ,  0.0577535  ,  0.0358276  ,  2.8381e-22 ])
8779    , -401.735    , array([ 0.00650565 ,  0.0578113  ,  0.0358276  ,  2.8381e-22 ])
8780    , -402.635    , array([ 0.00650565 ,  0.0577535  ,  0.0358635  ,  2.8381e-22 ])
8781    , -401.735    , array([ 0.00650565 ,  0.0577535  ,  0.0358276  ,  2.84094e-22])
8782    , -393.209    , array([ 0.00617202 ,  0.0577535  ,  0.0335349  ,  2.8381e-22 ])
8783    , -393.209    , array([ 0.00617202 ,  0.0577535  ,  0.0335349  ,  2.8381e-22 ])
8784    , -393.352    , array([ 0.00617819 ,  0.0577535  ,  0.0335349  ,  2.8381e-22 ])
8785    , -393.209    , array([ 0.00617202 ,  0.0578113  ,  0.0335349  ,  2.8381e-22 ])
8786    , -393.075    , array([ 0.00617202 ,  0.0577535  ,  0.0335685  ,  2.8381e-22 ])
8787    , -393.209    , array([ 0.00617202 ,  0.0577535  ,  0.0335349  ,  2.84094e-22])
8788    , -392.99     , array([ 0.00434384 ,  0.0577535  ,  0.0251769  ,  2.8381e-22 ])
8789    , -392.99     , array([ 0.00434384 ,  0.0577535  ,  0.0251769  ,  2.8381e-22 ])
8790    , -393.066    , array([ 0.00434818 ,  0.0577535  ,  0.0251769  ,  2.8381e-22 ])
8791    , -392.99     , array([ 0.00434384 ,  0.0578113  ,  0.0251769  ,  2.8381e-22 ])
8792    , -392.946    , array([ 0.00434384 ,  0.0577535  ,  0.0252021  ,  2.8381e-22 ])
8793    , -392.99     , array([ 0.00434384 ,  0.0577535  ,  0.0251769  ,  2.84094e-22])
8794    , -456.009    , array([ 0.00106576 ,  0.0577535  ,  0.00799882 ,  2.8381e-22 ])
8795    , -456.009    , array([ 0.00106576 ,  0.0577535  ,  0.00799882 ,  2.8381e-22 ])
8796    , -453.442    , array([ 0.00106683 ,  0.0577535  ,  0.00799882 ,  2.8381e-22 ])
8797    , -456.009    , array([ 0.00106576 ,  0.0578113  ,  0.00799882 ,  2.8381e-22 ])
8798    , -459.029    , array([ 0.00106576 ,  0.0577535  ,  0.00800682 ,  2.8381e-22 ])
8799    , -456.009    , array([ 0.00106576 ,  0.0577535  ,  0.00799882 ,  2.84094e-22])
8800    , -393.173    , array([ 0.00331603 ,  0.0577535  ,  0.0201983  ,  2.8381e-22 ])
8801    , -393.173    , array([ 0.00331603 ,  0.0577535  ,  0.0201983  ,  2.8381e-22 ])
8802    , -393.057    , array([ 0.00331935 ,  0.0577535  ,  0.0201983  ,  2.8381e-22 ])
8803    , -393.173    , array([ 0.00331603 ,  0.0578113  ,  0.0201983  ,  2.8381e-22 ])
8804    , -393.364    , array([ 0.00331603 ,  0.0577535  ,  0.0202185  ,  2.8381e-22 ])
8805    , -393.173    , array([ 0.00331603 ,  0.0577535  ,  0.0201983  ,  2.84094e-22])
8806    , -392.954    , array([ 0.00410765 ,  0.0577535  ,  0.0240541  ,  2.8381e-22 ])
8807    , -392.954    , array([ 0.00410765 ,  0.0577535  ,  0.0240541  ,  2.8381e-22 ])
8808    , -393.001    , array([ 0.00411176 ,  0.0577535  ,  0.0240541  ,  2.8381e-22 ])
8809    , -392.954    , array([ 0.00410765 ,  0.0578113  ,  0.0240541  ,  2.8381e-22 ])
8810    , -392.946    , array([ 0.00410765 ,  0.0577535  ,  0.0240781  ,  2.8381e-22 ])
8811    , -392.954    , array([ 0.00410765 ,  0.0577535  ,  0.0240541  ,  2.84094e-22])
8812    , -392.942    , array([ 0.00393069 ,  0.0577535  ,  0.023205   ,  2.8381e-22 ])
8813    , -392.942    , array([ 0.00393069 ,  0.0577535  ,  0.023205   ,  2.8381e-22 ])
8814    , -392.963    , array([ 0.00393463 ,  0.0577535  ,  0.023205   ,  2.8381e-22 ])
8815    , -392.942    , array([ 0.00393069 ,  0.0578113  ,  0.023205   ,  2.8381e-22 ])
