4578    , -1466.47    , array([ 0.423841   ,  0.580611   ,  0.0582647  ,  3.68607e-34])
4579    , -1467.27    , array([ 0.424265   ,  0.580611   ,  0.0582647  ,  3.68607e-34])
4580    , -1466.47    , array([ 0.423841   ,  0.581191   ,  0.0582647  ,  3.68607e-34])
4581    , -1465.89    , array([ 0.423841   ,  0.580611   ,  0.058323   ,  3.68607e-34])
4582    , -1466.47    , array([ 0.423841   ,  0.580611   ,  0.0582647  ,  3.68976e-34])
4583    , -1466.47    , array([ 0.423841   ,  0.580611   ,  0.0582647  ,  3.68607e-34])
4584    , -1157.64    , array([ 0.186868   ,  0.580611   ,  0.105226   ,  3.68607e-34])
4585    , -1157.64    , array([ 0.186868   ,  0.580611   ,  0.105226   ,  3.68607e-34])
4586    , -1156.56    , array([ 0.187055   ,  0.580611   ,  0.105226   ,  3.68607e-34])
4587    , -1157.64    , array([ 0.186868   ,  0.581191   ,  0.105226   ,  3.68607e-34])
4588    , -1157.33    , array([ 0.186868   ,  0.580611   ,  0.105331   ,  3.68607e-34])
4589    , -1157.64    , array([ 0.186868   ,  0.580611   ,  0.105226   ,  3.68976e-34])
4590    , -425.86     , array([ 0.225754   ,  0.580611   ,  0.400215   ,  3.68607e-34])
4591    , -425.86     , array([ 0.225754   ,  0.580611   ,  0.400215   ,  3.68607e-34])
4592    , -425.781    , array([ 0.22598    ,  0.580611   ,  0.400215   ,  3.68607e-34])
4593    , -425.86     , array([ 0.225754   ,  0.581191   ,  0.400215   ,  3.68607e-34])
4594    , -426.29     , array([ 0.225754   ,  0.580611   ,  0.400616   ,  3.68607e-34])
4595    , -425.86     , array([ 0.225754   ,  0.580611   ,  0.400215   ,  3.68976e-34])
4596    , -739.581    , array([ 0.257935   ,  0.580611   ,  0.157693   ,  3.68607e-34])
4597    , -739.581    , array([ 0.257935   ,  0.580611   ,  0.157693   ,  3.68607e-34])
4598    , -739.14     , array([ 0.258193   ,  0.580611   ,  0.157693   ,  3.68607e-34])
