6063    , -924.79     , array([ 0.305558   ,  2.61516    ,  0.673429   ,  1.39537e-74])
6064    , -924.239    , array([ 0.305864   ,  2.61516    ,  0.673429   ,  1.39537e-74])
6065    , -924.79     , array([ 0.305558   ,  2.61777    ,  0.673429   ,  1.39537e-74])
6066    , -926.471    , array([ 0.305558   ,  2.61516    ,  0.674102   ,  1.39537e-74])
6067    , -924.79     , array([ 0.305558   ,  2.61516    ,  0.673429   ,  1.39676e-74])
6068    , -924.79     , array([ 0.305558   ,  2.61516    ,  0.673429   ,  1.39537e-74])
6069    , -589.091    , array([ 0.418512   ,  2.61516    ,  0.257912   ,  1.39537e-74])
6070    , -589.091    , array([ 0.418512   ,  2.61516    ,  0.257912   ,  1.39537e-74])
6071    , -589.816    , array([ 0.418931   ,  2.61516    ,  0.257912   ,  1.39537e-74])
6072    , -589.091    , array([ 0.418512   ,  2.61777    ,  0.257912   ,  1.39537e-74])
6073    , -588.779    , array([ 0.418512   ,  2.61516    ,  0.25817    ,  1.39537e-74])
6074    , -589.091    , array([ 0.418512   ,  2.61516    ,  0.257912   ,  1.39676e-74])
6075    , -1754.36    , array([ 0.115208   ,  2.61516    ,  0.11301    ,  1.39537e-74])
6076    , -1754.36    , array([ 0.115208   ,  2.61516    ,  0.11301    ,  1.39537e-74])
6077    , -1753.18    , array([ 0.115323   ,  2.61516    ,  0.11301    ,  1.39537e-74])
6078    , -1754.36    , array([ 0.115208   ,  2.61777    ,  0.11301    ,  1.39537e-74])
6079    , -1753.33    , array([ 0.115208   ,  2.61516    ,  0.113123   ,  1.39537e-74])
6080    , -1754.36    , array([ 0.115208   ,  2.61516    ,  0.11301    ,  1.39676e-74])
6081    , -541.254    , array([ 0.347359   ,  2.61516    ,  0.228931   ,  1.39537e-74])
6082    , -541.254    , array([ 0.347359   ,  2.61516    ,  0.228931   ,  1.39537e-74])
6083    , -541.494    , array([ 0.347707   ,  2.61516    ,  0.228931   ,  1.39537e-74])
6084    , -541.254    , array([ 0.347359   ,  2.61777    ,  0.228931   ,  1.39537e-74])
6085    , -540.879    , array([ 0.347359   ,  2.61516    ,  0.22916    ,  1.39537e-74])
6086    , -541.254    , array([ 0.347359   ,  2.61516    ,  0.228931   ,  1.39676e-74])
6087    , -472.994    , array([ 0.338218   ,  2.61516    ,  0.280038   ,  1.39537e-74])
6088    , -472.994    , array([ 0.338218   ,  2.61516    ,  0.280038   ,  1.39537e-74])
6089    , -473.198    , array([ 0.338557   ,  2.61516    ,  0.280038   ,  1.39537e-74])
6090    , -472.994    , array([ 0.338218   ,  2.61777    ,  0.280038   ,  1.39537e-74])
6091    , -472.755    , array([ 0.338218   ,  2.61516    ,  0.280318   ,  1.39537e-74])
6092    , -472.994    , array([ 0.338218   ,  2.61516    ,  0.280038   ,  1.39676e-74])
6093    , -437.976    , array([ 0.304692   ,  2.61516    ,  0.403562   ,  1.39537e-74])
6094    , -437.976    , array([ 0.304692   ,  2.61516    ,  0.403562   ,  1.39537e-74])
6095    , -438.121    , array([ 0.304997   ,  2.61516    ,  0.403562   ,  1.39537e-74])
6096    , -437.976    , array([ 0.304692   ,  2.61777    ,  0.403562   ,  1.39537e-74])
6097    , -438.22     , array([ 0.304692   ,  2.61516    ,  0.403966   ,  1.39537e-74])
6098    , -437.976    , array([ 0.304692   ,  2.61516    ,  0.403562   ,  1.39676e-74])
6099    , -419.816    , array([ 0.293694   ,  2.61516    ,  0.344618   ,  1.39537e-74])
6100    , -419.816    , array([ 0.293694   ,  2.61516    ,  0.344618   ,  1.39537e-74])
6101    , -419.924    , array([ 0.293988   ,  2.61516    ,  0.344618   ,  1.39537e-74])
6102    , -419.816    , array([ 0.293694   ,  2.61777    ,  0.344618   ,  1.39537e-74])
6103    , -419.756    , array([ 0.293694   ,  2.61516    ,  0.344963   ,  1.39537e-74])
6104    , -419.816    , array([ 0.293694   ,  2.61516    ,  0.344618   ,  1.39676e-74])
6105    , -412.639    , array([ 0.275528   ,  2.61516    ,  0.353701   ,  1.39537e-74])
6106    , -412.639    , array([ 0.275528   ,  2.61516    ,  0.353701   ,  1.39537e-74])
6107    , -412.72     , array([ 0.275804   ,  2.61516    ,  0.353701   ,  1.39537e-74])
6108    , -412.639    , array([ 0.275528   ,  2.61777    ,  0.353701   ,  1.39537e-74])
6109    , -412.608    , array([ 0.275528   ,  2.61516    ,  0.354054   ,  1.39537e-74])
6110    , -412.639    , array([ 0.275528   ,  2.61516    ,  0.353701   ,  1.39676e-74])
6111    , -404.68     , array([ 0.233954   ,  2.61516    ,  0.3693     ,  1.39537e-74])
6112    , -404.68     , array([ 0.233954   ,  2.61516    ,  0.3693     ,  1.39537e-74])
6113    , -404.703    , array([ 0.234188   ,  2.61516    ,  0.3693     ,  1.39537e-74])
6114    , -404.68     , array([ 0.233954   ,  2.61777    ,  0.3693     ,  1.39537e-74])
6115    , -404.778    , array([ 0.233954   ,  2.61516    ,  0.369669   ,  1.39537e-74])
6116    , -404.68     , array([ 0.233954   ,  2.61516    ,  0.3693     ,  1.39676e-74])
6117    , -401.086    , array([ 0.218364   ,  2.61516    ,  0.356873   ,  1.39537e-74])
6118    , -401.086    , array([ 0.218364   ,  2.61516    ,  0.356873   ,  1.39537e-74])
6119    , -401.109    , array([ 0.218582   ,  2.61516    ,  0.356873   ,  1.39537e-74])
6120    , -401.086    , array([ 0.218364   ,  2.61777    ,  0.356873   ,  1.39537e-74])
6121    , -401.112    , array([ 0.218364   ,  2.61516    ,  0.35723    ,  1.39537e-74])
