8658    , -1821.14    , array([ 0.149294   ,  0.202285   ,  0.00806188 ,  1.36555e-34])
8659    , -1821.45    , array([ 0.149443   ,  0.202285   ,  0.00806188 ,  1.36555e-34])
8660    , -1821.14    , array([ 0.149294   ,  0.202487   ,  0.00806188 ,  1.36555e-34])
8661    , -1820.85    , array([ 0.149294   ,  0.202285   ,  0.00806995 ,  1.36555e-34])
8662    , -1821.14    , array([ 0.149294   ,  0.202285   ,  0.00806188 ,  1.36691e-34])
8663    , -1821.14    , array([ 0.149294   ,  0.202285   ,  0.00806188 ,  1.36555e-34])
8664    , -1865.4     , array([ 0.0723301  ,  0.202285   ,  0.0162919  ,  1.36555e-34])
8665    , -1865.4     , array([ 0.0723301  ,  0.202285   ,  0.0162919  ,  1.36555e-34])
8666    , -1864.45    , array([ 0.0724025  ,  0.202285   ,  0.0162919  ,  1.36555e-34])
8667    , -1865.4     , array([ 0.0723301  ,  0.202487   ,  0.0162919  ,  1.36555e-34])
8668    , -1865.91    , array([ 0.0723301  ,  0.202285   ,  0.0163082  ,  1.36555e-34])
8669    , -1865.4     , array([ 0.0723301  ,  0.202285   ,  0.0162919  ,  1.36691e-34])
8670    , -1666.38    , array([ 0.10355    ,  0.202285   ,  0.0114998  ,  1.36555e-34])
8671    , -1666.38    , array([ 0.10355    ,  0.202285   ,  0.0114998  ,  1.36555e-34])
8672    , -1666.38    , array([ 0.103654   ,  0.202285   ,  0.0114998  ,  1.36555e-34])
8673    , -1666.38    , array([ 0.10355    ,  0.202487   ,  0.0114998  ,  1.36555e-34])
8674    , -1666.26    , array([ 0.10355    ,  0.202285   ,  0.0115113  ,  1.36555e-34])
8675    , -1666.38    , array([ 0.10355    ,  0.202285   ,  0.0114998  ,  1.36691e-34])
8676    , -887.354    , array([ 0.397833   ,  0.202285   ,  0.133207   ,  1.36555e-34])
8677    , -887.354    , array([ 0.397833   ,  0.202285   ,  0.133207   ,  1.36555e-34])
8678    , -888.077    , array([ 0.398231   ,  0.202285   ,  0.133207   ,  1.36555e-34])
8679    , -887.354    , array([ 0.397833   ,  0.202487   ,  0.133207   ,  1.36555e-34])
8680    , -886.721    , array([ 0.397833   ,  0.202285   ,  0.13334    ,  1.36555e-34])
8681    , -887.354    , array([ 0.397833   ,  0.202285   ,  0.133207   ,  1.36691e-34])
8688    , -887.345    , array([ 0.397841   ,  0.202285   ,  0.133212   ,  1.36555e-34])
8689    , -887.345    , array([ 0.397841   ,  0.202285   ,  0.133212   ,  1.36555e-34])
8690    , -888.068    , array([ 0.398239   ,  0.202285   ,  0.133212   ,  1.36555e-34])
8691    , -887.345    , array([ 0.397841   ,  0.202487   ,  0.133212   ,  1.36555e-34])
8692    , -886.712    , array([ 0.397841   ,  0.202285   ,  0.133345   ,  1.36555e-34])
8693    , -887.345    , array([ 0.397841   ,  0.202285   ,  0.133212   ,  1.36691e-34])
8694    , -887.286    , array([ 0.397895   ,  0.202285   ,  0.133245   ,  1.36555e-34])
8695    , -887.286    , array([ 0.397895   ,  0.202285   ,  0.133245   ,  1.36555e-34])
8696    , -888.009    , array([ 0.398293   ,  0.202285   ,  0.133245   ,  1.36555e-34])
8697    , -887.286    , array([ 0.397895   ,  0.202487   ,  0.133245   ,  1.36555e-34])
8698    , -886.653    , array([ 0.397895   ,  0.202285   ,  0.133379   ,  1.36555e-34])
8699    , -887.286    , array([ 0.397895   ,  0.202285   ,  0.133245   ,  1.36691e-34])
8706    , -887.284    , array([ 0.397897   ,  0.202285   ,  0.133247   ,  1.36555e-34])
8707    , -887.284    , array([ 0.397897   ,  0.202285   ,  0.133247   ,  1.36555e-34])
8708    , -888.007    , array([ 0.398296   ,  0.202285   ,  0.133247   ,  1.36555e-34])
8709    , -887.284    , array([ 0.397897   ,  0.202487   ,  0.133247   ,  1.36555e-34])
8710    , -886.65     , array([ 0.397897   ,  0.202285   ,  0.13338    ,  1.36555e-34])
8711    , -887.284    , array([ 0.397897   ,  0.202285   ,  0.133247   ,  1.36691e-34])
8712    , -887.269    , array([ 0.397911   ,  0.202285   ,  0.133255   ,  1.36555e-34])
8713    , -887.269    , array([ 0.397911   ,  0.202285   ,  0.133255   ,  1.36555e-34])
8714    , -887.992    , array([ 0.398309   ,  0.202285   ,  0.133255   ,  1.36555e-34])
8715    , -887.269    , array([ 0.397911   ,  0.202487   ,  0.133255   ,  1.36555e-34])
8716    , -886.636    , array([ 0.397911   ,  0.202285   ,  0.133388   ,  1.36555e-34])
8717    , -887.269    , array([ 0.397911   ,  0.202285   ,  0.133255   ,  1.36691e-34])
8718    , -3694.16    , array([ 1.52865    ,  0.202285   ,  1.54339    ,  1.36555e-34])
8719    , -3694.16    , array([ 1.52865    ,  0.202285   ,  1.54339    ,  1.36555e-34])
8720    , -3698.81    , array([ 1.53018    ,  0.202285   ,  1.54339    ,  1.36555e-34])
8721    , -3694.16    , array([ 1.52865    ,  0.202487   ,  1.54339    ,  1.36555e-34])
8722    , -3692.86    , array([ 1.52865    ,  0.202285   ,  1.54493    ,  1.36555e-34])
8723    , -3694.16    , array([ 1.52865    ,  0.202285   ,  1.54339    ,  1.36691e-34])
8724    , -865.728    , array([ 0.423306   ,  0.202285   ,  0.149136   ,  1.36555e-34])
8725    , -865.728    , array([ 0.423306   ,  0.202285   ,  0.149136   ,  1.36555e-34])
8726    , -866.59     , array([ 0.42373    ,  0.202285   ,  0.149136   ,  1.36555e-34])
