8597    , -2336.79    , array([ 0.0753726  ,  0.0297637  ,  7.29575e-08,  5.54629e-88])
8598    , -2336.79    , array([ 0.0754481  ,  0.0297637  ,  7.29575e-08,  5.54629e-88])
8599    , -2336.79    , array([ 0.0753726  ,  0.0297935  ,  7.29575e-08,  5.54629e-88])
8600    , -2336.79    , array([ 0.0753726  ,  0.0297637  ,  7.30305e-08,  5.54629e-88])
8601    , -2336.79    , array([ 0.0753726  ,  0.0297637  ,  7.29575e-08,  5.55184e-88])
8602    , -2336.79    , array([ 0.0753726  ,  0.0297637  ,  7.29575e-08,  5.54629e-88])
8603    , -2336.79    , array([ 0.0739846  ,  0.0297637  ,  7.42235e-08,  5.54629e-88])
8604    , -2336.79    , array([ 0.0739846  ,  0.0297637  ,  7.42235e-08,  5.54629e-88])
8605    , -2336.79    , array([ 0.0740586  ,  0.0297637  ,  7.42235e-08,  5.54629e-88])
8606    , -2336.79    , array([ 0.0739846  ,  0.0297935  ,  7.42235e-08,  5.54629e-88])
8607    , -2336.79    , array([ 0.0739846  ,  0.0297637  ,  7.42978e-08,  5.54629e-88])
8608    , -2336.79    , array([ 0.0739846  ,  0.0297637  ,  7.42235e-08,  5.55184e-88])
8609    , -2336.78    , array([ 0.0686833  ,  0.0297637  ,  7.95111e-08,  5.54629e-88])
8610    , -2336.78    , array([ 0.0686833  ,  0.0297637  ,  7.95111e-08,  5.54629e-88])
8611    , -2336.78    , array([ 0.068752   ,  0.0297637  ,  7.95111e-08,  5.54629e-88])
8612    , -2336.78    , array([ 0.0686833  ,  0.0297935  ,  7.95111e-08,  5.54629e-88])
8613    , -2336.78    , array([ 0.0686833  ,  0.0297637  ,  7.95907e-08,  5.54629e-88])
8614    , -2336.78    , array([ 0.0686833  ,  0.0297637  ,  7.95111e-08,  5.55184e-88])
8615    , -2336.77    , array([ 0.0510141  ,  0.0297637  ,  1.04706e-07,  5.54629e-88])
8616    , -2336.77    , array([ 0.0510141  ,  0.0297637  ,  1.04706e-07,  5.54629e-88])
8617    , -2336.77    , array([ 0.0510651  ,  0.0297637  ,  1.04706e-07,  5.54629e-88])
