4155    , -2336.8     , array([ 0.00618258 ,  5.22762    ,  1.53767e-41,  2.09135e-09])
4156    , -2336.8     , array([ 0.00618877 ,  5.22762    ,  1.53767e-41,  2.09135e-09])
4157    , -2336.8     , array([ 0.00618258 ,  5.23285    ,  1.53767e-41,  2.09135e-09])
4158    , -2336.8     , array([ 0.00618258 ,  5.22762    ,  1.53921e-41,  2.09135e-09])
4159    , -2336.8     , array([ 0.00618258 ,  5.22762    ,  1.53767e-41,  2.09344e-09])
4160    , -2336.8     , array([ 0.00618258 ,  5.22762    ,  1.53767e-41,  2.09135e-09])
4161    , -2336.8     , array([ 0.00618258 ,  5.22758    ,  1.53767e-41,  2.09128e-09])
4162    , -2336.8     , array([ 0.00618258 ,  5.22758    ,  1.53767e-41,  2.09128e-09])
4163    , -2336.8     , array([ 0.00618877 ,  5.22758    ,  1.53767e-41,  2.09128e-09])
4164    , -2336.8     , array([ 0.00618258 ,  5.23281    ,  1.53767e-41,  2.09128e-09])
4165    , -2336.8     , array([ 0.00618258 ,  5.22758    ,  1.53921e-41,  2.09128e-09])
4166    , -2336.8     , array([ 0.00618258 ,  5.22758    ,  1.53767e-41,  2.09337e-09])
4167    , -2336.8     , array([ 0.00618258 ,  5.22742    ,  1.53767e-41,  2.091e-09  ])
4168    , -2336.8     , array([ 0.00618258 ,  5.22742    ,  1.53767e-41,  2.091e-09  ])
4169    , -2336.8     , array([ 0.00618877 ,  5.22742    ,  1.53767e-41,  2.091e-09  ])
4170    , -2336.8     , array([ 0.00618258 ,  5.23265    ,  1.53767e-41,  2.091e-09  ])
4171    , -2336.8     , array([ 0.00618258 ,  5.22742    ,  1.53921e-41,  2.091e-09  ])
4172    , -2336.8     , array([ 0.00618258 ,  5.22742    ,  1.53767e-41,  2.0931e-09 ])
4173    , -2336.8     , array([ 0.00618258 ,  5.22678    ,  1.53767e-41,  2.08992e-09])
4174    , -2336.8     , array([ 0.00618258 ,  5.22678    ,  1.53767e-41,  2.08992e-09])
4175    , -2336.8     , array([ 0.00618877 ,  5.22678    ,  1.53767e-41,  2.08992e-09])
4176    , -2336.8     , array([ 0.00618258 ,  5.232      ,  1.53767e-41,  2.08992e-09])
4177    , -2336.8     , array([ 0.00618258 ,  5.22678    ,  1.53921e-41,  2.08992e-09])
4178    , -2336.8     , array([ 0.00618258 ,  5.22678    ,  1.53767e-41,  2.09201e-09])
4179    , -2336.8     , array([ 0.00618258 ,  5.22419    ,  1.53767e-41,  2.08557e-09])
4180    , -2336.8     , array([ 0.00618258 ,  5.22419    ,  1.53767e-41,  2.08557e-09])
4181    , -2336.8     , array([ 0.00618877 ,  5.22419    ,  1.53767e-41,  2.08557e-09])
4182    , -2336.8     , array([ 0.00618258 ,  5.22942    ,  1.53767e-41,  2.08557e-09])
4183    , -2336.8     , array([ 0.00618258 ,  5.22419    ,  1.53921e-41,  2.08557e-09])
4184    , -2336.8     , array([ 0.00618258 ,  5.22419    ,  1.53767e-41,  2.08765e-09])
4185    , -2336.8     , array([ 0.00618258 ,  5.21385    ,  1.53767e-41,  2.06826e-09])
4186    , -2336.8     , array([ 0.00618258 ,  5.21385    ,  1.53767e-41,  2.06826e-09])
4187    , -2336.8     , array([ 0.00618877 ,  5.21385    ,  1.53767e-41,  2.06826e-09])
4188    , -2336.8     , array([ 0.00618258 ,  5.21907    ,  1.53767e-41,  2.06826e-09])
4189    , -2336.8     , array([ 0.00618258 ,  5.21385    ,  1.53921e-41,  2.06826e-09])
4190    , -2336.8     , array([ 0.00618258 ,  5.21385    ,  1.53767e-41,  2.07033e-09])
4191    , -2336.8     , array([ 0.00618258 ,  5.17272    ,  1.53767e-41,  2.00046e-09])
4192    , -2336.8     , array([ 0.00618258 ,  5.17272    ,  1.53767e-41,  2.00046e-09])
4193    , -2336.8     , array([ 0.00618877 ,  5.17272    ,  1.53767e-41,  2.00046e-09])
4194    , -2336.8     , array([ 0.00618258 ,  5.17789    ,  1.53767e-41,  2.00046e-09])
4195    , -2336.8     , array([ 0.00618258 ,  5.17272    ,  1.53921e-41,  2.00046e-09])
4196    , -2336.8     , array([ 0.00618258 ,  5.17272    ,  1.53767e-41,  2.00246e-09])
4197    , -2336.8     , array([ 0.00618258 ,  5.0114     ,  1.53767e-41,  1.75077e-09])
4198    , -2336.8     , array([ 0.00618258 ,  5.0114     ,  1.53767e-41,  1.75077e-09])
4199    , -2336.8     , array([ 0.00618877 ,  5.0114     ,  1.53767e-41,  1.75077e-09])
4200    , -2336.8     , array([ 0.00618258 ,  5.01641    ,  1.53767e-41,  1.75077e-09])
4201    , -2336.8     , array([ 0.00618258 ,  5.0114     ,  1.53921e-41,  1.75077e-09])
4202    , -2336.8     , array([ 0.00618258 ,  5.0114     ,  1.53767e-41,  1.75252e-09])
4203    , -2336.8     , array([ 0.00618258 ,  4.56349    ,  1.53767e-41,  1.18067e-09])
4204    , -2336.8     , array([ 0.00618258 ,  4.56349    ,  1.53767e-41,  1.18067e-09])
4205    , -2336.8     , array([ 0.00618877 ,  4.56349    ,  1.53767e-41,  1.18067e-09])
4206    , -2336.8     , array([ 0.00618258 ,  4.56805    ,  1.53767e-41,  1.18067e-09])
4207    , -2336.8     , array([ 0.00618258 ,  4.56349    ,  1.53921e-41,  1.18067e-09])
4208    , -2336.8     , array([ 0.00618258 ,  4.56349    ,  1.53767e-41,  1.18186e-09])
4209    , -2336.8     , array([ 0.00618258 ,  3.79531    ,  1.53767e-41,  5.43625e-10])
4210    , -2336.8     , array([ 0.00618258 ,  3.79531    ,  1.53767e-41,  5.43625e-10])
4211    , -2336.8     , array([ 0.00618877 ,  3.79531    ,  1.53767e-41,  5.43625e-10])
4212    , -2336.8     , array([ 0.00618258 ,  3.79911    ,  1.53767e-41,  5.43625e-10])
4213    , -2336.8     , array([ 0.00618258 ,  3.79531    ,  1.53921e-41,  5.43625e-10])
4214    , -2336.8     , array([ 0.00618258 ,  3.79531    ,  1.53767e-41,  5.44169e-10])
