2608    , -2334.58    , array([ 0.0109365  ,  0.221623   ,  1.28311e-06,  8.10708e-29])
2609    , -2334.58    , array([ 0.0109475  ,  0.221623   ,  1.28311e-06,  8.10708e-29])
2610    , -2334.58    , array([ 0.0109365  ,  0.221845   ,  1.28311e-06,  8.10708e-29])
2611    , -2334.58    , array([ 0.0109365  ,  0.221623   ,  1.28439e-06,  8.10708e-29])
2612    , -2334.58    , array([ 0.0109365  ,  0.221623   ,  1.28311e-06,  8.11519e-29])
2613    , -2334.58    , array([ 0.0109365  ,  0.221623   ,  1.28311e-06,  8.10708e-29])
2614    , -2327.52    , array([ 0.00533543 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2615    , -2327.52    , array([ 0.00533543 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2616    , -2327.53    , array([ 0.00534077 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2617    , -2327.52    , array([ 0.00533543 ,  0.221845   ,  2.6114e-06 ,  8.10708e-29])
2618    , -2327.51    , array([ 0.00533543 ,  0.221623   ,  2.61401e-06,  8.10708e-29])
2619    , -2327.52    , array([ 0.00533543 ,  0.221623   ,  2.6114e-06 ,  8.11519e-29])
2626    , -2327.52    , array([ 0.00533543 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2627    , -2327.52    , array([ 0.00533543 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2628    , -2327.53    , array([ 0.00534076 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2629    , -2327.52    , array([ 0.00533543 ,  0.221845   ,  2.6114e-06 ,  8.10708e-29])
2630    , -2327.51    , array([ 0.00533543 ,  0.221623   ,  2.61401e-06,  8.10708e-29])
2631    , -2327.52    , array([ 0.00533543 ,  0.221623   ,  2.6114e-06 ,  8.11519e-29])
2632    , -2327.52    , array([ 0.00533542 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2633    , -2327.52    , array([ 0.00533542 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2634    , -2327.53    , array([ 0.00534076 ,  0.221623   ,  2.6114e-06 ,  8.10708e-29])
2635    , -2327.52    , array([ 0.00533542 ,  0.221845   ,  2.6114e-06 ,  8.10708e-29])
2636    , -2327.51    , array([ 0.00533542 ,  0.221623   ,  2.61401e-06,  8.10708e-29])
2637    , -2327.52    , array([ 0.00533542 ,  0.221623   ,  2.6114e-06 ,  8.11519e-29])
2638    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2639    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2640    , -2192.95    , array([ 0.00127111 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2641    , -2192.82    , array([ 0.00126984 ,  0.221845   ,  1.08166e-05,  8.10708e-29])
2642    , -2192.69    , array([ 0.00126984 ,  0.221623   ,  1.08274e-05,  8.10708e-29])
2643    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.11519e-29])
2644    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2645    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2646    , -2192.95    , array([ 0.00127111 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2647    , -2192.82    , array([ 0.00126984 ,  0.221845   ,  1.08166e-05,  8.10708e-29])
2648    , -2192.69    , array([ 0.00126984 ,  0.221623   ,  1.08274e-05,  8.10708e-29])
2649    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.11519e-29])
2650    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2651    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2652    , -2192.95    , array([ 0.00127111 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2653    , -2192.82    , array([ 0.00126984 ,  0.221845   ,  1.08166e-05,  8.10708e-29])
2654    , -2192.69    , array([ 0.00126984 ,  0.221623   ,  1.08274e-05,  8.10708e-29])
2655    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.11519e-29])
2662    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2663    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2664    , -2192.95    , array([ 0.00127111 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2665    , -2192.82    , array([ 0.00126984 ,  0.221845   ,  1.08166e-05,  8.10708e-29])
2666    , -2192.69    , array([ 0.00126984 ,  0.221623   ,  1.08274e-05,  8.10708e-29])
2667    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.11519e-29])
2668    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2669    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2670    , -2192.95    , array([ 0.00127111 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2671    , -2192.82    , array([ 0.00126984 ,  0.221845   ,  1.08166e-05,  8.10708e-29])
2672    , -2192.69    , array([ 0.00126984 ,  0.221623   ,  1.08274e-05,  8.10708e-29])
2673    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.11519e-29])
2680    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2681    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2682    , -2192.95    , array([ 0.00127111 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2683    , -2192.82    , array([ 0.00126984 ,  0.221845   ,  1.08166e-05,  8.10708e-29])
2684    , -2192.69    , array([ 0.00126984 ,  0.221623   ,  1.08274e-05,  8.10708e-29])
2685    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.11519e-29])
2686    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2687    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2688    , -2192.95    , array([ 0.00127111 ,  0.221623   ,  1.08166e-05,  8.10708e-29])
2689    , -2192.82    , array([ 0.00126984 ,  0.221845   ,  1.08166e-05,  8.10708e-29])
2690    , -2192.69    , array([ 0.00126984 ,  0.221623   ,  1.08274e-05,  8.10708e-29])
2691    , -2192.82    , array([ 0.00126984 ,  0.221623   ,  1.08166e-05,  8.11519e-29])
2692    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2693    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2694    , -2141.58    , array([ 0.00106232 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2695    , -2141.42    , array([ 0.00106126 ,  0.221845   ,  1.29194e-05,  8.10708e-29])
2696    , -2141.26    , array([ 0.00106126 ,  0.221623   ,  1.29324e-05,  8.10708e-29])
2697    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.11519e-29])
2698    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2699    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2700    , -2141.58    , array([ 0.00106232 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2701    , -2141.42    , array([ 0.00106126 ,  0.221845   ,  1.29194e-05,  8.10708e-29])
2702    , -2141.26    , array([ 0.00106126 ,  0.221623   ,  1.29324e-05,  8.10708e-29])
2703    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.11519e-29])
2704    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2705    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2706    , -2141.58    , array([ 0.00106232 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2707    , -2141.42    , array([ 0.00106126 ,  0.221845   ,  1.29194e-05,  8.10708e-29])
2708    , -2141.26    , array([ 0.00106126 ,  0.221623   ,  1.29324e-05,  8.10708e-29])
2709    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.11519e-29])
2716    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2717    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2718    , -2141.58    , array([ 0.00106232 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2719    , -2141.42    , array([ 0.00106126 ,  0.221845   ,  1.29194e-05,  8.10708e-29])
2720    , -2141.26    , array([ 0.00106126 ,  0.221623   ,  1.29324e-05,  8.10708e-29])
2721    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.11519e-29])
2722    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2723    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2724    , -2141.58    , array([ 0.00106232 ,  0.221623   ,  1.29194e-05,  8.10708e-29])
2725    , -2141.42    , array([ 0.00106126 ,  0.221845   ,  1.29194e-05,  8.10708e-29])
2726    , -2141.26    , array([ 0.00106126 ,  0.221623   ,  1.29324e-05,  8.10708e-29])
2727    , -2141.42    , array([ 0.00106126 ,  0.221623   ,  1.29194e-05,  8.11519e-29])
2728    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2729    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2730    , -2126.72    , array([ 0.00101572 ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2731    , -2126.55    , array([ 0.0010147  ,  0.221845   ,  1.35062e-05,  8.10708e-29])
2732    , -2126.38    , array([ 0.0010147  ,  0.221623   ,  1.35197e-05,  8.10708e-29])
2733    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.11519e-29])
2734    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2735    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2736    , -2126.72    , array([ 0.00101572 ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2737    , -2126.55    , array([ 0.0010147  ,  0.221845   ,  1.35062e-05,  8.10708e-29])
2738    , -2126.38    , array([ 0.0010147  ,  0.221623   ,  1.35197e-05,  8.10708e-29])
2739    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.11519e-29])
2740    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2741    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2742    , -2126.72    , array([ 0.00101572 ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2743    , -2126.55    , array([ 0.0010147  ,  0.221845   ,  1.35062e-05,  8.10708e-29])
2744    , -2126.38    , array([ 0.0010147  ,  0.221623   ,  1.35197e-05,  8.10708e-29])
2745    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.11519e-29])
2752    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2753    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2754    , -2126.72    , array([ 0.00101572 ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2755    , -2126.55    , array([ 0.0010147  ,  0.221845   ,  1.35062e-05,  8.10708e-29])
2756    , -2126.38    , array([ 0.0010147  ,  0.221623   ,  1.35197e-05,  8.10708e-29])
2757    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.11519e-29])
2758    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2759    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2760    , -2126.72    , array([ 0.00101572 ,  0.221623   ,  1.35062e-05,  8.10708e-29])
2761    , -2126.55    , array([ 0.0010147  ,  0.221845   ,  1.35062e-05,  8.10708e-29])
2762    , -2126.38    , array([ 0.0010147  ,  0.221623   ,  1.35197e-05,  8.10708e-29])
2763    , -2126.55    , array([ 0.0010147  ,  0.221623   ,  1.35062e-05,  8.11519e-29])
2764    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2765    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2766    , -2122.87    , array([ 0.00100439 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2767    , -2122.7     , array([ 0.00100339 ,  0.221845   ,  1.3657e-05 ,  8.10708e-29])
2768    , -2122.53    , array([ 0.00100339 ,  0.221623   ,  1.36706e-05,  8.10708e-29])
2769    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.11519e-29])
2770    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2771    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2772    , -2122.87    , array([ 0.00100439 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2773    , -2122.7     , array([ 0.00100339 ,  0.221845   ,  1.3657e-05 ,  8.10708e-29])
2774    , -2122.53    , array([ 0.00100339 ,  0.221623   ,  1.36706e-05,  8.10708e-29])
2775    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.11519e-29])
2776    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2777    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2778    , -2122.87    , array([ 0.00100439 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2779    , -2122.7     , array([ 0.00100339 ,  0.221845   ,  1.3657e-05 ,  8.10708e-29])
2780    , -2122.53    , array([ 0.00100339 ,  0.221623   ,  1.36706e-05,  8.10708e-29])
2781    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.11519e-29])
2788    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2789    , -2122.7     , array([ 0.00100339 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2790    , -2122.87    , array([ 0.00100439 ,  0.221623   ,  1.3657e-05 ,  8.10708e-29])
2791    , -2122.7     , array([ 0.00100339 ,  0.221845   ,  1.3657e-05 ,  8.10708e-29])
2792    , -2122.53    , array([ 0.00100339 ,  0.221623   ,  1.36706e-05,  8.10708e-29])
