6835    , -5838.89    , array([ 1.99611    ,  0.393446   ,  0.647443   ,  5.24454e-11])
6836    , -5845.13    , array([ 1.99811    ,  0.393446   ,  0.647443   ,  5.24454e-11])
6837    , -5838.89    , array([ 1.99611    ,  0.393839   ,  0.647443   ,  5.24454e-11])
6838    , -5839.39    , array([ 1.99611    ,  0.393446   ,  0.64809    ,  5.24454e-11])
6839    , -5838.89    , array([ 1.99611    ,  0.393446   ,  0.647443   ,  5.24978e-11])
6840    , -5838.89    , array([ 1.99611    ,  0.393446   ,  0.647443   ,  5.24454e-11])
6841    , -1411.3     , array([ 0.729337   ,  0.393446   ,  0.597605   ,  5.24454e-11])
6842    , -1411.3     , array([ 0.729337   ,  0.393446   ,  0.597605   ,  5.24454e-11])
6843    , -1413.52    , array([ 0.730067   ,  0.393446   ,  0.597605   ,  5.24454e-11])
6844    , -1411.3     , array([ 0.729337   ,  0.393839   ,  0.597605   ,  5.24454e-11])
6845    , -1411.56    , array([ 0.729337   ,  0.393446   ,  0.598203   ,  5.24454e-11])
6846    , -1411.3     , array([ 0.729337   ,  0.393446   ,  0.597605   ,  5.24978e-11])
6847    , -2336.8     , array([ 24.1348    ,  0.393446   ,  7.35875e-29,  5.24453e-11])
6848    , -2336.8     , array([ 24.1348    ,  0.393446   ,  7.35875e-29,  5.24453e-11])
6849    , -2336.8     , array([ 24.159     ,  0.393446   ,  7.35875e-29,  5.24453e-11])
6850    , -2336.8     , array([ 24.1348    ,  0.39384    ,  7.35875e-29,  5.24453e-11])
6851    , -2336.8     , array([ 24.1348    ,  0.393446   ,  7.36611e-29,  5.24453e-11])
6852    , -2336.8     , array([ 24.1348    ,  0.393446   ,  7.35875e-29,  5.24978e-11])
6853    , -2336.8     , array([ 1.91707    ,  0.393446   ,  1.17074e-08,  5.24453e-11])
6854    , -2336.8     , array([ 1.91707    ,  0.393446   ,  1.17074e-08,  5.24453e-11])
6855    , -2336.8     , array([ 1.91898    ,  0.393446   ,  1.17074e-08,  5.24453e-11])
6856    , -2336.8     , array([ 1.91707    ,  0.393839   ,  1.17074e-08,  5.24453e-11])
6857    , -2336.8     , array([ 1.91707    ,  0.393446   ,  1.17191e-08,  5.24453e-11])
6858    , -2336.8     , array([ 1.91707    ,  0.393446   ,  1.17074e-08,  5.24978e-11])
6859    , -2283.65    , array([ 0.876801   ,  0.393446   ,  0.0203102  ,  5.24454e-11])
6860    , -2283.65    , array([ 0.876801   ,  0.393446   ,  0.0203102  ,  5.24454e-11])
6861    , -2284.07    , array([ 0.877679   ,  0.393446   ,  0.0203102  ,  5.24454e-11])
6862    , -2283.65    , array([ 0.876801   ,  0.393839   ,  0.0203102  ,  5.24454e-11])
6863    , -2283.6     , array([ 0.876801   ,  0.393446   ,  0.0203305  ,  5.24454e-11])
6864    , -2283.65    , array([ 0.876801   ,  0.393446   ,  0.0203102  ,  5.24978e-11])
6865    , -1407.49    , array([ 0.739662   ,  0.393446   ,  0.461633   ,  5.24454e-11])
6866    , -1407.49    , array([ 0.739662   ,  0.393446   ,  0.461633   ,  5.24454e-11])
6867    , -1409.98    , array([ 0.740402   ,  0.393446   ,  0.461633   ,  5.24454e-11])
6868    , -1407.49    , array([ 0.739662   ,  0.393839   ,  0.461633   ,  5.24454e-11])
