21922   , -2336.8     , array([ 0.0403566  ,  0.0580506  ,  8.90193e-40,  1.64997e-08])
21923   , -2336.8     , array([ 0.040397   ,  0.0580506  ,  8.90193e-40,  1.64997e-08])
21924   , -2336.8     , array([ 0.0403566  ,  0.0581087  ,  8.90193e-40,  1.64997e-08])
21925   , -2336.8     , array([ 0.0403566  ,  0.0580506  ,  8.91084e-40,  1.64997e-08])
21926   , -2336.8     , array([ 0.0403566  ,  0.0580506  ,  8.90193e-40,  1.65162e-08])
21927   , -2336.8     , array([ 0.0403566  ,  0.0580506  ,  8.90193e-40,  1.64997e-08])
21928   , -2336.8     , array([ 0.0403566  ,  0.0577346  ,  8.90193e-40,  1.65848e-08])
21929   , -2336.8     , array([ 0.0403566  ,  0.0577346  ,  8.90193e-40,  1.65848e-08])
21930   , -2336.8     , array([ 0.040397   ,  0.0577346  ,  8.90193e-40,  1.65848e-08])
21931   , -2336.8     , array([ 0.0403566  ,  0.0577924  ,  8.90193e-40,  1.65848e-08])
21932   , -2336.8     , array([ 0.0403566  ,  0.0577346  ,  8.91084e-40,  1.65848e-08])
21933   , -2336.8     , array([ 0.0403566  ,  0.0577346  ,  8.90193e-40,  1.66014e-08])
21934   , -2336.8     , array([ 0.0403566  ,  0.0564877  ,  8.90193e-40,  1.69297e-08])
21935   , -2336.8     , array([ 0.0403566  ,  0.0564877  ,  8.90193e-40,  1.69297e-08])
21936   , -2336.8     , array([ 0.040397   ,  0.0564877  ,  8.90193e-40,  1.69297e-08])
21937   , -2336.8     , array([ 0.0403566  ,  0.0565443  ,  8.90193e-40,  1.69297e-08])
21938   , -2336.8     , array([ 0.0403566  ,  0.0564877  ,  8.91084e-40,  1.69297e-08])
21939   , -2336.8     , array([ 0.0403566  ,  0.0564877  ,  8.90193e-40,  1.69467e-08])
21940   , -2336.8     , array([ 0.0403566  ,  0.0517639  ,  8.90193e-40,  1.83828e-08])
21941   , -2336.8     , array([ 0.0403566  ,  0.0517639  ,  8.90193e-40,  1.83828e-08])
21942   , -2336.8     , array([ 0.040397   ,  0.0517639  ,  8.90193e-40,  1.83828e-08])
21943   , -2336.8     , array([ 0.0403566  ,  0.0518157  ,  8.90193e-40,  1.83828e-08])
21944   , -2336.8     , array([ 0.0403566  ,  0.0517639  ,  8.91084e-40,  1.83828e-08])
21945   , -2336.8     , array([ 0.0403566  ,  0.0517639  ,  8.90193e-40,  1.84012e-08])
21946   , -2336.79    , array([ 0.0403566  ,  0.0365021  ,  8.90193e-40,  2.5554e-08 ])
21947   , -2336.79    , array([ 0.0403566  ,  0.0365021  ,  8.90193e-40,  2.5554e-08 ])
21948   , -2336.79    , array([ 0.040397   ,  0.0365021  ,  8.90193e-40,  2.5554e-08 ])
21949   , -2336.79    , array([ 0.0403566  ,  0.0365386  ,  8.90193e-40,  2.5554e-08 ])
21950   , -2336.79    , array([ 0.0403566  ,  0.0365021  ,  8.91084e-40,  2.5554e-08 ])
21951   , -2336.79    , array([ 0.0403566  ,  0.0365021  ,  8.90193e-40,  2.55795e-08])
21952   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21953   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21954   , -2336.6     , array([ 0.040397   ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21955   , -2336.6     , array([ 0.0403566  ,  0.00903472 ,  8.90193e-40,  9.5421e-08 ])
21956   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.91084e-40,  9.5421e-08 ])
21957   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.55165e-08])
21964   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21965   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21966   , -2336.6     , array([ 0.040397   ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21967   , -2336.6     , array([ 0.0403566  ,  0.00903472 ,  8.90193e-40,  9.5421e-08 ])
21968   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.91084e-40,  9.5421e-08 ])
21969   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.55165e-08])
21970   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21971   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21972   , -2336.6     , array([ 0.040397   ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21973   , -2336.6     , array([ 0.0403566  ,  0.00903472 ,  8.90193e-40,  9.5421e-08 ])
21974   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.91084e-40,  9.5421e-08 ])
21975   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.55165e-08])
21982   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21983   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21984   , -2336.6     , array([ 0.040397   ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21985   , -2336.6     , array([ 0.0403566  ,  0.00903472 ,  8.90193e-40,  9.5421e-08 ])
21986   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.91084e-40,  9.5421e-08 ])
21987   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.55165e-08])
21988   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21989   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21990   , -2336.6     , array([ 0.040397   ,  0.00902569 ,  8.90193e-40,  9.5421e-08 ])
21991   , -2336.6     , array([ 0.0403566  ,  0.00903472 ,  8.90193e-40,  9.5421e-08 ])
21992   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.91084e-40,  9.5421e-08 ])
21993   , -2336.6     , array([ 0.0403566  ,  0.00902569 ,  8.90193e-40,  9.55165e-08])
21994   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
21995   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
21996   , -2333.75    , array([ 0.040397   ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
21997   , -2333.75    , array([ 0.0403566  ,  0.00223397 ,  8.90193e-40,  3.56311e-07])
21998   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.91084e-40,  3.56311e-07])
21999   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56668e-07])
22000   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
22001   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
22002   , -2333.75    , array([ 0.040397   ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
22003   , -2333.75    , array([ 0.0403566  ,  0.00223397 ,  8.90193e-40,  3.56311e-07])
22004   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.91084e-40,  3.56311e-07])
22005   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56668e-07])
22006   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
22007   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
22008   , -2333.75    , array([ 0.040397   ,  0.00223174 ,  8.90193e-40,  3.56311e-07])
22009   , -2333.75    , array([ 0.0403566  ,  0.00223397 ,  8.90193e-40,  3.56311e-07])
22010   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.91084e-40,  3.56311e-07])
22011   , -2333.75    , array([ 0.0403566  ,  0.00223174 ,  8.90193e-40,  3.56668e-07])
22012   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22013   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22014   , -2325.01    , array([ 0.040397   ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22015   , -2325.02    , array([ 0.0403566  ,  0.00111086 ,  8.90193e-40,  6.8853e-07 ])
22016   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.91084e-40,  6.8853e-07 ])
22017   , -2325       , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.89218e-07])
22018   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22019   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22020   , -2325.01    , array([ 0.040397   ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22021   , -2325.02    , array([ 0.0403566  ,  0.00111086 ,  8.90193e-40,  6.8853e-07 ])
22022   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.91084e-40,  6.8853e-07 ])
22023   , -2325       , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.89218e-07])
22024   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22025   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22026   , -2325.01    , array([ 0.040397   ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22027   , -2325.02    , array([ 0.0403566  ,  0.00111086 ,  8.90193e-40,  6.8853e-07 ])
22028   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.91084e-40,  6.8853e-07 ])
22029   , -2325       , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.89219e-07])
22036   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22037   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22038   , -2325.01    , array([ 0.040397   ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22039   , -2325.02    , array([ 0.0403566  ,  0.00111086 ,  8.90193e-40,  6.8853e-07 ])
22040   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.91084e-40,  6.8853e-07 ])
22041   , -2325       , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.89219e-07])
22042   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22043   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22044   , -2325.01    , array([ 0.040397   ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22045   , -2325.02    , array([ 0.0403566  ,  0.00111086 ,  8.90193e-40,  6.8853e-07 ])
22046   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.91084e-40,  6.8853e-07 ])
22047   , -2325       , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.89219e-07])
22054   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22055   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22056   , -2325.01    , array([ 0.040397   ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22057   , -2325.02    , array([ 0.0403566  ,  0.00111086 ,  8.90193e-40,  6.8853e-07 ])
22058   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.91084e-40,  6.8853e-07 ])
22059   , -2325       , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.89219e-07])
22060   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22061   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22062   , -2325.01    , array([ 0.040397   ,  0.00110975 ,  8.90193e-40,  6.8853e-07 ])
22063   , -2325.02    , array([ 0.0403566  ,  0.00111086 ,  8.90193e-40,  6.8853e-07 ])
22064   , -2325.01    , array([ 0.0403566  ,  0.00110975 ,  8.91084e-40,  6.8853e-07 ])
22065   , -2325       , array([ 0.0403566  ,  0.00110975 ,  8.90193e-40,  6.89219e-07])
22066   , -2322.85    , array([ 0.0403566  ,  0.00101694 ,  8.90193e-40,  7.47626e-07])
22067   , -2322.85    , array([ 0.0403566  ,  0.00101694 ,  8.90193e-40,  7.47626e-07])
22068   , -2322.85    , array([ 0.040397   ,  0.00101694 ,  8.90193e-40,  7.47626e-07])
22069   , -2322.87    , array([ 0.0403566  ,  0.00101796 ,  8.90193e-40,  7.47626e-07])
22070   , -2322.85    , array([ 0.0403566  ,  0.00101694 ,  8.91084e-40,  7.47626e-07])
22071   , -2322.84    , array([ 0.0403566  ,  0.00101694 ,  8.90193e-40,  7.48374e-07])
22072   , -2322.85    , array([ 0.0403566  ,  0.00101694 ,  8.90193e-40,  7.47626e-07])
22073   , -2322.85    , array([ 0.0403566  ,  0.00101694 ,  8.90193e-40,  7.47626e-07])
