2875    , -2337.55    , array([ 1.84531    ,  0.0387971  ,  8.46328e-05,  1.32492e-25])
2876    , -2337.55    , array([ 1.84716    ,  0.0387971  ,  8.46328e-05,  1.32492e-25])
2877    , -2337.55    , array([ 1.84531    ,  0.0388359  ,  8.46328e-05,  1.32492e-25])
2878    , -2337.55    , array([ 1.84531    ,  0.0387971  ,  8.47174e-05,  1.32492e-25])
2879    , -2337.55    , array([ 1.84531    ,  0.0387971  ,  8.46328e-05,  1.32624e-25])
2880    , -2337.55    , array([ 1.84531    ,  0.0387971  ,  8.46328e-05,  1.32492e-25])
2881    , -2336.66    , array([ 0.85355    ,  0.0387971  ,  4.40751e-05,  1.32492e-25])
2882    , -2336.66    , array([ 0.85355    ,  0.0387971  ,  4.40751e-05,  1.32492e-25])
2883    , -2336.66    , array([ 0.854404   ,  0.0387971  ,  4.40751e-05,  1.32492e-25])
2884    , -2336.66    , array([ 0.85355    ,  0.0388359  ,  4.40751e-05,  1.32492e-25])
2885    , -2336.66    , array([ 0.85355    ,  0.0387971  ,  4.41192e-05,  1.32492e-25])
2886    , -2336.66    , array([ 0.85355    ,  0.0387971  ,  4.40751e-05,  1.32624e-25])
2887    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2888    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2889    , -2333.55    , array([ 0.128013   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2890    , -2333.55    , array([ 0.127885   ,  0.0388359  ,  2.49214e-05,  1.32492e-25])
2891    , -2333.54    , array([ 0.127885   ,  0.0387971  ,  2.49463e-05,  1.32492e-25])
2892    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32624e-25])
2899    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2900    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2901    , -2333.55    , array([ 0.128013   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2902    , -2333.55    , array([ 0.127885   ,  0.0388359  ,  2.49214e-05,  1.32492e-25])
2903    , -2333.54    , array([ 0.127885   ,  0.0387971  ,  2.49463e-05,  1.32492e-25])
2904    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32624e-25])
2905    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2906    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2907    , -2333.55    , array([ 0.128013   ,  0.0387971  ,  2.49214e-05,  1.32492e-25])
2908    , -2333.55    , array([ 0.127885   ,  0.0388359  ,  2.49214e-05,  1.32492e-25])
2909    , -2333.54    , array([ 0.127885   ,  0.0387971  ,  2.49463e-05,  1.32492e-25])
2910    , -2333.55    , array([ 0.127885   ,  0.0387971  ,  2.49214e-05,  1.32624e-25])
2911    , -2285.83    , array([ 0.0028708  ,  0.0387971  ,  7.96765e-06,  1.32492e-25])
2912    , -2285.83    , array([ 0.0028708  ,  0.0387971  ,  7.96765e-06,  1.32492e-25])
2913    , -2285.88    , array([ 0.00287367 ,  0.0387971  ,  7.96765e-06,  1.32492e-25])
2914    , -2285.83    , array([ 0.0028708  ,  0.0388359  ,  7.96765e-06,  1.32492e-25])
2915    , -2285.78    , array([ 0.0028708  ,  0.0387971  ,  7.97562e-06,  1.32492e-25])
2916    , -2285.83    , array([ 0.0028708  ,  0.0387971  ,  7.96765e-06,  1.32624e-25])
2917    , -2285.83    , array([ 0.0028708  ,  0.0387971  ,  7.96765e-06,  1.32492e-25])
2918    , -2285.83    , array([ 0.0028708  ,  0.0387971  ,  7.96765e-06,  1.32492e-25])
2919    , -2285.88    , array([ 0.00287367 ,  0.0387971  ,  7.96765e-06,  1.32492e-25])
2920    , -2285.83    , array([ 0.0028708  ,  0.0388359  ,  7.96765e-06,  1.32492e-25])
2921    , -2285.78    , array([ 0.0028708  ,  0.0387971  ,  7.97562e-06,  1.32492e-25])
