3997    , -2336.8     , array([ 0.0297891  ,  0.00467521 ,  2.89011e-09,  1.8564e-09 ])
3998    , -2336.8     , array([ 0.0298189  ,  0.00467521 ,  2.89011e-09,  1.8564e-09 ])
3999    , -2336.8     , array([ 0.0297891  ,  0.00467989 ,  2.89011e-09,  1.8564e-09 ])
4000    , -2336.8     , array([ 0.0297891  ,  0.00467521 ,  2.893e-09  ,  1.8564e-09 ])
4001    , -2336.8     , array([ 0.0297891  ,  0.00467521 ,  2.89011e-09,  1.85825e-09])
4002    , -2336.8     , array([ 0.0297891  ,  0.00467521 ,  2.89011e-09,  1.8564e-09 ])
4003    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89535e-09,  1.87055e-09])
4004    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89535e-09,  1.87055e-09])
4005    , -2336.79    , array([ 0.0297634  ,  0.0046397  ,  2.89535e-09,  1.87055e-09])
4006    , -2336.79    , array([ 0.0297337  ,  0.00464434 ,  2.89535e-09,  1.87055e-09])
4007    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89824e-09,  1.87055e-09])
4008    , -2336.79    , array([ 0.0297337  ,  0.0046397  ,  2.89535e-09,  1.87242e-09])
4009    , -2336.79    , array([ 0.0295129  ,  0.00450032 ,  2.91638e-09,  1.92827e-09])
4010    , -2336.79    , array([ 0.0295129  ,  0.00450032 ,  2.91638e-09,  1.92827e-09])
4011    , -2336.79    , array([ 0.0295425  ,  0.00450032 ,  2.91638e-09,  1.92827e-09])
4012    , -2336.79    , array([ 0.0295129  ,  0.00450482 ,  2.91638e-09,  1.92827e-09])
4013    , -2336.79    , array([ 0.0295129  ,  0.00450032 ,  2.9193e-09 ,  1.92827e-09])
4014    , -2336.79    , array([ 0.0295129  ,  0.00450032 ,  2.91638e-09,  1.9302e-09 ])
4015    , -2336.79    , array([ 0.0286462  ,  0.00398345 ,  3.00205e-09,  2.1775e-09 ])
4016    , -2336.79    , array([ 0.0286462  ,  0.00398345 ,  3.00205e-09,  2.1775e-09 ])
4017    , -2336.79    , array([ 0.0286748  ,  0.00398345 ,  3.00205e-09,  2.1775e-09 ])
4018    , -2336.79    , array([ 0.0286462  ,  0.00398743 ,  3.00205e-09,  2.1775e-09 ])
