4121    , -2353.28    , array([ 64.5769    ,  11.2426    ,  1.43587e-55,  0.000928296])
4122    , -2353.28    , array([ 64.6415    ,  11.2426    ,  1.43587e-55,  0.000928296])
4123    , -2353.28    , array([ 64.5769    ,  11.2539    ,  1.43587e-55,  0.000928296])
4124    , -2353.28    , array([ 64.5769    ,  11.2426    ,  1.4373e-55 ,  0.000928296])
4125    , -2353.29    , array([ 64.5769    ,  11.2426    ,  1.43587e-55,  0.000929225])
4126    , -2353.28    , array([ 64.5769    ,  11.2426    ,  1.43587e-55,  0.000928296])
4127    , -2342.72    , array([ 64.5769    ,  10.193     ,  1.43587e-55,  0.000339719])
4128    , -2342.72    , array([ 64.5769    ,  10.193     ,  1.43587e-55,  0.000339719])
4129    , -2342.72    , array([ 64.6415    ,  10.193     ,  1.43587e-55,  0.000339719])
4130    , -2342.72    , array([ 64.5769    ,  10.2032    ,  1.43587e-55,  0.000339719])
4131    , -2342.72    , array([ 64.5769    ,  10.193     ,  1.4373e-55 ,  0.000339719])
4132    , -2342.73    , array([ 64.5769    ,  10.193     ,  1.43587e-55,  0.000340058])
4133    , -2340.16    , array([ 64.5769    ,  8.7165     ,  1.43587e-55,  0.000196437])
4134    , -2340.16    , array([ 64.5769    ,  8.7165     ,  1.43587e-55,  0.000196437])
4135    , -2340.16    , array([ 64.6415    ,  8.7165     ,  1.43587e-55,  0.000196437])
4136    , -2340.16    , array([ 64.5769    ,  8.72522    ,  1.43587e-55,  0.000196437])
4137    , -2340.16    , array([ 64.5769    ,  8.7165     ,  1.4373e-55 ,  0.000196437])
4138    , -2340.16    , array([ 64.5769    ,  8.7165     ,  1.43587e-55,  0.000196634])
4139    , -2338.36    , array([ 64.5769    ,  6.03905    ,  1.43587e-55,  9.67355e-05])
4140    , -2338.36    , array([ 64.5769    ,  6.03905    ,  1.43587e-55,  9.67355e-05])
4141    , -2338.36    , array([ 64.6415    ,  6.03905    ,  1.43587e-55,  9.67355e-05])
4142    , -2338.36    , array([ 64.5769    ,  6.04509    ,  1.43587e-55,  9.67355e-05])
4143    , -2338.36    , array([ 64.5769    ,  6.03905    ,  1.4373e-55 ,  9.67355e-05])
4144    , -2338.36    , array([ 64.5769    ,  6.03905    ,  1.43587e-55,  9.68323e-05])
4145    , -2337.51    , array([ 64.5769    ,  3.51943    ,  1.43587e-55,  5.12673e-05])
4146    , -2337.51    , array([ 64.5769    ,  3.51943    ,  1.43587e-55,  5.12673e-05])
4147    , -2337.51    , array([ 64.6415    ,  3.51943    ,  1.43587e-55,  5.12673e-05])
4148    , -2337.51    , array([ 64.5769    ,  3.52295    ,  1.43587e-55,  5.12673e-05])
4149    , -2337.51    , array([ 64.5769    ,  3.51943    ,  1.4373e-55 ,  5.12673e-05])
4150    , -2337.51    , array([ 64.5769    ,  3.51943    ,  1.43587e-55,  5.13186e-05])
4151    , -2336.96    , array([ 64.5769    ,  1.47093    ,  1.43587e-55,  2.60523e-05])
4152    , -2336.96    , array([ 64.5769    ,  1.47093    ,  1.43587e-55,  2.60523e-05])
4153    , -2336.96    , array([ 64.6415    ,  1.47093    ,  1.43587e-55,  2.60523e-05])
4154    , -2336.97    , array([ 64.5769    ,  1.4724     ,  1.43587e-55,  2.60523e-05])
4155    , -2336.96    , array([ 64.5769    ,  1.47093    ,  1.4373e-55 ,  2.60523e-05])
4156    , -2336.96    , array([ 64.5769    ,  1.47093    ,  1.43587e-55,  2.60784e-05])
4157    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4158    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4159    , -2336.21    , array([ 64.6415    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4160    , -2336.21    , array([ 64.5769    ,  0.24879    ,  1.43587e-55,  1.01929e-05])
4161    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.4373e-55 ,  1.01929e-05])
4162    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.02031e-05])
4169    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4170    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4171    , -2336.21    , array([ 64.6415    ,  0.248541   ,  1.43587e-55,  1.01929e-05])
4172    , -2336.21    , array([ 64.5769    ,  0.24879    ,  1.43587e-55,  1.01929e-05])
4173    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.4373e-55 ,  1.01929e-05])
4174    , -2336.21    , array([ 64.5769    ,  0.248541   ,  1.43587e-55,  1.02031e-05])
4175    , -2336.08    , array([ 64.5769    ,  0.191184   ,  1.43587e-55,  8.87484e-06])
4176    , -2336.08    , array([ 64.5769    ,  0.191184   ,  1.43587e-55,  8.87484e-06])
4177    , -2336.08    , array([ 64.6415    ,  0.191184   ,  1.43587e-55,  8.87484e-06])
4178    , -2336.08    , array([ 64.5769    ,  0.191375   ,  1.43587e-55,  8.87484e-06])
4179    , -2336.08    , array([ 64.5769    ,  0.191184   ,  1.4373e-55 ,  8.87484e-06])
4180    , -2336.08    , array([ 64.5769    ,  0.191184   ,  1.43587e-55,  8.88372e-06])
4181    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4182    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4183    , -2332.35    , array([ 64.6415    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4184    , -2332.36    , array([ 64.5769    ,  0.0062298  ,  1.43587e-55,  1.45591e-06])
4185    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.4373e-55 ,  1.45591e-06])
4186    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45737e-06])
4187    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4188    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4189    , -2332.35    , array([ 64.6415    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4190    , -2332.36    , array([ 64.5769    ,  0.0062298  ,  1.43587e-55,  1.45591e-06])
4191    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.4373e-55 ,  1.45591e-06])
4192    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45737e-06])
4193    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4194    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4195    , -2332.35    , array([ 64.6415    ,  0.00622357 ,  1.43587e-55,  1.45591e-06])
4196    , -2332.36    , array([ 64.5769    ,  0.0062298  ,  1.43587e-55,  1.45591e-06])
4197    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.4373e-55 ,  1.45591e-06])
4198    , -2332.35    , array([ 64.5769    ,  0.00622357 ,  1.43587e-55,  1.45737e-06])
4199    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4200    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4201    , -2326.81    , array([ 64.6415    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4202    , -2326.82    , array([ 64.5769    ,  0.001124   ,  1.43587e-55,  5.8969e-07 ])
4203    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.4373e-55 ,  5.8969e-07 ])
4204    , -2326.8     , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.9028e-07 ])
4205    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4206    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4207    , -2326.81    , array([ 64.6415    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4208    , -2326.82    , array([ 64.5769    ,  0.001124   ,  1.43587e-55,  5.8969e-07 ])
4209    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.4373e-55 ,  5.8969e-07 ])
4210    , -2326.8     , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.9028e-07 ])
4211    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4212    , -2326.81    , array([ 64.5769    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4213    , -2326.81    , array([ 64.6415    ,  0.00112288 ,  1.43587e-55,  5.8969e-07 ])
4214    , -2326.82    , array([ 64.5769    ,  0.001124   ,  1.43587e-55,  5.8969e-07 ])
