14631   , -2336.8     , array([ 0.527317   ,  0.0295382  ,  3.2026e-61 ,  1.31898e-09])
14632   , -2336.8     , array([ 0.527845   ,  0.0295382  ,  3.2026e-61 ,  1.31898e-09])
14633   , -2336.8     , array([ 0.527317   ,  0.0295678  ,  3.2026e-61 ,  1.31898e-09])
14634   , -2336.8     , array([ 0.527317   ,  0.0295382  ,  3.2058e-61 ,  1.31898e-09])
14635   , -2336.8     , array([ 0.527317   ,  0.0295382  ,  3.2026e-61 ,  1.3203e-09 ])
14636   , -2336.8     , array([ 0.527317   ,  0.0295382  ,  3.2026e-61 ,  1.31898e-09])
14637   , -2336.8     , array([ 0.527317   ,  0.0295129  ,  3.2026e-61 ,  1.32008e-09])
14638   , -2336.8     , array([ 0.527317   ,  0.0295129  ,  3.2026e-61 ,  1.32008e-09])
14639   , -2336.8     , array([ 0.527845   ,  0.0295129  ,  3.2026e-61 ,  1.32008e-09])
14640   , -2336.8     , array([ 0.527317   ,  0.0295424  ,  3.2026e-61 ,  1.32008e-09])
14641   , -2336.8     , array([ 0.527317   ,  0.0295129  ,  3.2058e-61 ,  1.32008e-09])
14642   , -2336.8     , array([ 0.527317   ,  0.0295129  ,  3.2026e-61 ,  1.3214e-09 ])
14643   , -2336.8     , array([ 0.527317   ,  0.0294118  ,  3.2026e-61 ,  1.32449e-09])
14644   , -2336.8     , array([ 0.527317   ,  0.0294118  ,  3.2026e-61 ,  1.32449e-09])
14645   , -2336.8     , array([ 0.527845   ,  0.0294118  ,  3.2026e-61 ,  1.32449e-09])
14646   , -2336.8     , array([ 0.527317   ,  0.0294413  ,  3.2026e-61 ,  1.32449e-09])
14647   , -2336.8     , array([ 0.527317   ,  0.0294118  ,  3.2058e-61 ,  1.32449e-09])
14648   , -2336.8     , array([ 0.527317   ,  0.0294118  ,  3.2026e-61 ,  1.32581e-09])
14649   , -2336.8     , array([ 0.527317   ,  0.0290111  ,  3.2026e-61 ,  1.34226e-09])
14650   , -2336.8     , array([ 0.527317   ,  0.0290111  ,  3.2026e-61 ,  1.34226e-09])
14651   , -2336.8     , array([ 0.527845   ,  0.0290111  ,  3.2026e-61 ,  1.34226e-09])
14652   , -2336.8     , array([ 0.527317   ,  0.0290401  ,  3.2026e-61 ,  1.34226e-09])
14653   , -2336.8     , array([ 0.527317   ,  0.0290111  ,  3.2058e-61 ,  1.34226e-09])
14654   , -2336.8     , array([ 0.527317   ,  0.0290111  ,  3.2026e-61 ,  1.3436e-09 ])
14655   , -2336.8     , array([ 0.527317   ,  0.0274618  ,  3.2026e-61 ,  1.41576e-09])
14656   , -2336.8     , array([ 0.527317   ,  0.0274618  ,  3.2026e-61 ,  1.41576e-09])
14657   , -2336.8     , array([ 0.527845   ,  0.0274618  ,  3.2026e-61 ,  1.41576e-09])
14658   , -2336.8     , array([ 0.527317   ,  0.0274893  ,  3.2026e-61 ,  1.41576e-09])
14659   , -2336.8     , array([ 0.527317   ,  0.0274618  ,  3.2058e-61 ,  1.41576e-09])
14660   , -2336.8     , array([ 0.527317   ,  0.0274618  ,  3.2026e-61 ,  1.41717e-09])
14661   , -2336.8     , array([ 0.527317   ,  0.0220491  ,  3.2026e-61 ,  1.75226e-09])
14662   , -2336.8     , array([ 0.527317   ,  0.0220491  ,  3.2026e-61 ,  1.75226e-09])
14663   , -2336.8     , array([ 0.527845   ,  0.0220491  ,  3.2026e-61 ,  1.75226e-09])
14664   , -2336.8     , array([ 0.527317   ,  0.0220711  ,  3.2026e-61 ,  1.75226e-09])
14665   , -2336.8     , array([ 0.527317   ,  0.0220491  ,  3.2058e-61 ,  1.75226e-09])
14666   , -2336.8     , array([ 0.527317   ,  0.0220491  ,  3.2026e-61 ,  1.75401e-09])
14667   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14668   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14669   , -2336.8     , array([ 0.527845   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14670   , -2336.8     , array([ 0.527317   ,  0.00917212 ,  3.2026e-61 ,  4.11189e-09])
14671   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2058e-61 ,  4.11189e-09])
14672   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.116e-09  ])
14679   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14680   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14681   , -2336.8     , array([ 0.527845   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14682   , -2336.8     , array([ 0.527317   ,  0.00917212 ,  3.2026e-61 ,  4.11189e-09])
14683   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2058e-61 ,  4.11189e-09])
14684   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.116e-09  ])
14685   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14686   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14687   , -2336.8     , array([ 0.527845   ,  0.00916295 ,  3.2026e-61 ,  4.11189e-09])
14688   , -2336.8     , array([ 0.527317   ,  0.00917212 ,  3.2026e-61 ,  4.11189e-09])
14689   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2058e-61 ,  4.11189e-09])
14690   , -2336.8     , array([ 0.527317   ,  0.00916295 ,  3.2026e-61 ,  4.116e-09  ])
14691   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14692   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14693   , -2336.53    , array([ 0.527845   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14694   , -2336.53    , array([ 0.527317   ,  0.00158402 ,  3.2026e-61 ,  2.26426e-08])
14695   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2058e-61 ,  2.26426e-08])
14696   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26652e-08])
14697   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14698   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14699   , -2336.53    , array([ 0.527845   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14700   , -2336.53    , array([ 0.527317   ,  0.00158402 ,  3.2026e-61 ,  2.26426e-08])
14701   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2058e-61 ,  2.26426e-08])
14702   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26652e-08])
14703   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14704   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14705   , -2336.53    , array([ 0.527845   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14706   , -2336.53    , array([ 0.527317   ,  0.00158402 ,  3.2026e-61 ,  2.26426e-08])
14707   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2058e-61 ,  2.26426e-08])
14708   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26652e-08])
14715   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14716   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14717   , -2336.53    , array([ 0.527845   ,  0.00158243 ,  3.2026e-61 ,  2.26426e-08])
14718   , -2336.53    , array([ 0.527317   ,  0.00158402 ,  3.2026e-61 ,  2.26426e-08])
14719   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2058e-61 ,  2.26426e-08])
14720   , -2336.53    , array([ 0.527317   ,  0.00158243 ,  3.2026e-61 ,  2.26652e-08])
14721   , -2336.51    , array([ 0.527317   ,  0.0015188  ,  3.2026e-61 ,  2.35636e-08])
14722   , -2336.51    , array([ 0.527317   ,  0.0015188  ,  3.2026e-61 ,  2.35636e-08])
14723   , -2336.51    , array([ 0.527845   ,  0.0015188  ,  3.2026e-61 ,  2.35636e-08])
14724   , -2336.51    , array([ 0.527317   ,  0.00152032 ,  3.2026e-61 ,  2.35636e-08])
