4226    , -1087.19    , array([ 0.608387   ,  15.0176    ,  0.248653   ,  2.26652e-16])
4227    , -1089.07    , array([ 0.608995   ,  15.0176    ,  0.248653   ,  2.26652e-16])
4228    , -1087.19    , array([ 0.608387   ,  15.0326    ,  0.248653   ,  2.26652e-16])
4229    , -1086.81    , array([ 0.608387   ,  15.0176    ,  0.248902   ,  2.26652e-16])
4230    , -1087.19    , array([ 0.608387   ,  15.0176    ,  0.248653   ,  2.26879e-16])
4231    , -1087.19    , array([ 0.608387   ,  15.0176    ,  0.248653   ,  2.26652e-16])
4232    , -436.928    , array([ 0.226117   ,  15.0176    ,  0.30407    ,  2.26652e-16])
4233    , -436.928    , array([ 0.226117   ,  15.0176    ,  0.30407    ,  2.26652e-16])
4234    , -436.942    , array([ 0.226344   ,  15.0176    ,  0.30407    ,  2.26652e-16])
4235    , -436.928    , array([ 0.226117   ,  15.0326    ,  0.30407    ,  2.26652e-16])
4236    , -436.527    , array([ 0.226117   ,  15.0176    ,  0.304375   ,  2.26652e-16])
4237    , -436.928    , array([ 0.226117   ,  15.0176    ,  0.30407    ,  2.26879e-16])
4244    , -436.926    , array([ 0.226117   ,  15.0176    ,  0.304073   ,  2.26652e-16])
4245    , -436.926    , array([ 0.226117   ,  15.0176    ,  0.304073   ,  2.26652e-16])
4246    , -436.939    , array([ 0.226344   ,  15.0176    ,  0.304073   ,  2.26652e-16])
4247    , -436.926    , array([ 0.226117   ,  15.0326    ,  0.304073   ,  2.26652e-16])
4248    , -436.524    , array([ 0.226117   ,  15.0176    ,  0.304377   ,  2.26652e-16])
4249    , -436.926    , array([ 0.226117   ,  15.0176    ,  0.304073   ,  2.26879e-16])
4250    , -436.902    , array([ 0.226117   ,  15.0176    ,  0.30409    ,  2.26652e-16])
4251    , -436.902    , array([ 0.226117   ,  15.0176    ,  0.30409    ,  2.26652e-16])
4252    , -436.916    , array([ 0.226343   ,  15.0176    ,  0.30409    ,  2.26652e-16])
4253    , -436.902    , array([ 0.226117   ,  15.0326    ,  0.30409    ,  2.26652e-16])
4254    , -436.501    , array([ 0.226117   ,  15.0176    ,  0.304394   ,  2.26652e-16])
4255    , -436.902    , array([ 0.226117   ,  15.0176    ,  0.30409    ,  2.26879e-16])
4256    , -2308.23    , array([ 0.221888   ,  15.0176    ,  1.55939    ,  2.26652e-16])
4257    , -2308.23    , array([ 0.221888   ,  15.0176    ,  1.55939    ,  2.26652e-16])
4258    , -2308.07    , array([ 0.22211    ,  15.0176    ,  1.55939    ,  2.26652e-16])
4259    , -2308.23    , array([ 0.221888   ,  15.0326    ,  1.55939    ,  2.26652e-16])
4260    , -2308.43    , array([ 0.221888   ,  15.0176    ,  1.56095    ,  2.26652e-16])
4261    , -2308.23    , array([ 0.221888   ,  15.0176    ,  1.55939    ,  2.26879e-16])
4262    , -410.089    , array([ 0.225894   ,  15.0176    ,  0.331226   ,  2.26652e-16])
4263    , -410.089    , array([ 0.225894   ,  15.0176    ,  0.331226   ,  2.26652e-16])
4264    , -410.134    , array([ 0.22612    ,  15.0176    ,  0.331226   ,  2.26652e-16])
4265    , -410.089    , array([ 0.225894   ,  15.0326    ,  0.331226   ,  2.26652e-16])
4266    , -409.877    , array([ 0.225894   ,  15.0176    ,  0.331558   ,  2.26652e-16])
4267    , -410.089    , array([ 0.225894   ,  15.0176    ,  0.331226   ,  2.26879e-16])
4268    , -403.311    , array([ 0.21609    ,  15.0176    ,  0.367321   ,  2.26652e-16])
4269    , -403.311    , array([ 0.21609    ,  15.0176    ,  0.367321   ,  2.26652e-16])
4270    , -403.306    , array([ 0.216306   ,  15.0176    ,  0.367321   ,  2.26652e-16])
4271    , -403.311    , array([ 0.21609    ,  15.0326    ,  0.367321   ,  2.26652e-16])
4272    , -403.453    , array([ 0.21609    ,  15.0176    ,  0.367688   ,  2.26652e-16])
4273    , -403.311    , array([ 0.21609    ,  15.0176    ,  0.367321   ,  2.26879e-16])
4274    , -401.021    , array([ 0.218203   ,  15.0176    ,  0.352709   ,  2.26652e-16])
4275    , -401.021    , array([ 0.218203   ,  15.0176    ,  0.352709   ,  2.26652e-16])
4276    , -401.051    , array([ 0.218421   ,  15.0176    ,  0.352709   ,  2.26652e-16])
4277    , -401.021    , array([ 0.218203   ,  15.0326    ,  0.352709   ,  2.26652e-16])
4278    , -401.006    , array([ 0.218203   ,  15.0176    ,  0.353062   ,  2.26652e-16])
4279    , -401.021    , array([ 0.218203   ,  15.0176    ,  0.352709   ,  2.26879e-16])
4280    , -400.618    , array([ 0.2152     ,  15.0176    ,  0.353606   ,  2.26652e-16])
4281    , -400.618    , array([ 0.2152     ,  15.0176    ,  0.353606   ,  2.26652e-16])
4282    , -400.643    , array([ 0.215415   ,  15.0176    ,  0.353606   ,  2.26652e-16])
4283    , -400.618    , array([ 0.2152     ,  15.0326    ,  0.353606   ,  2.26652e-16])
4284    , -400.621    , array([ 0.2152     ,  15.0176    ,  0.353959   ,  2.26652e-16])
4285    , -400.618    , array([ 0.2152     ,  15.0176    ,  0.353606   ,  2.26879e-16])
4286    , -399.922    , array([ 0.208447   ,  15.0176    ,  0.353263   ,  2.26652e-16])
4287    , -399.922    , array([ 0.208447   ,  15.0176    ,  0.353263   ,  2.26652e-16])
4288    , -399.939    , array([ 0.208655   ,  15.0176    ,  0.353263   ,  2.26652e-16])
4289    , -399.922    , array([ 0.208447   ,  15.0326    ,  0.353263   ,  2.26652e-16])
4290    , -399.946    , array([ 0.208447   ,  15.0176    ,  0.353616   ,  2.26652e-16])
4291    , -399.922    , array([ 0.208447   ,  15.0176    ,  0.353263   ,  2.26879e-16])
4292    , -398.905    , array([ 0.194887   ,  15.0176    ,  0.349963   ,  2.26652e-16])
4293    , -398.905    , array([ 0.194887   ,  15.0176    ,  0.349963   ,  2.26652e-16])
4294    , -398.907    , array([ 0.195082   ,  15.0176    ,  0.349963   ,  2.26652e-16])
4295    , -398.905    , array([ 0.194887   ,  15.0326    ,  0.349963   ,  2.26652e-16])
4296    , -398.965    , array([ 0.194887   ,  15.0176    ,  0.350313   ,  2.26652e-16])
4297    , -398.905    , array([ 0.194887   ,  15.0176    ,  0.349963   ,  2.26879e-16])
4298    , -397.922    , array([ 0.17813    ,  15.0176    ,  0.341754   ,  2.26652e-16])
4299    , -397.922    , array([ 0.17813    ,  15.0176    ,  0.341754   ,  2.26652e-16])
4300    , -397.906    , array([ 0.178308   ,  15.0176    ,  0.341754   ,  2.26652e-16])
4301    , -397.922    , array([ 0.17813    ,  15.0326    ,  0.341754   ,  2.26652e-16])
4302    , -398.01     , array([ 0.17813    ,  15.0176    ,  0.342096   ,  2.26652e-16])
4303    , -397.922    , array([ 0.17813    ,  15.0176    ,  0.341754   ,  2.26879e-16])
4304    , -396.585    , array([ 0.162191   ,  15.0176    ,  0.328546   ,  2.26652e-16])
4305    , -396.585    , array([ 0.162191   ,  15.0176    ,  0.328546   ,  2.26652e-16])
4306    , -396.568    , array([ 0.162353   ,  15.0176    ,  0.328546   ,  2.26652e-16])
4307    , -396.585    , array([ 0.162191   ,  15.0326    ,  0.328546   ,  2.26652e-16])
4308    , -396.653    , array([ 0.162191   ,  15.0176    ,  0.328875   ,  2.26652e-16])
4309    , -396.585    , array([ 0.162191   ,  15.0176    ,  0.328546   ,  2.26879e-16])
4310    , -395.283    , array([ 0.142986   ,  15.0176    ,  0.308595   ,  2.26652e-16])
4311    , -395.283    , array([ 0.142986   ,  15.0176    ,  0.308595   ,  2.26652e-16])
4312    , -395.285    , array([ 0.143129   ,  15.0176    ,  0.308595   ,  2.26652e-16])
4313    , -395.283    , array([ 0.142986   ,  15.0326    ,  0.308595   ,  2.26652e-16])
4314    , -395.296    , array([ 0.142986   ,  15.0176    ,  0.308904   ,  2.26652e-16])
4315    , -395.283    , array([ 0.142986   ,  15.0176    ,  0.308595   ,  2.26879e-16])
4316    , -395.924    , array([ 0.111272   ,  15.0176    ,  0.277647   ,  2.26652e-16])
4317    , -395.924    , array([ 0.111272   ,  15.0176    ,  0.277647   ,  2.26652e-16])
4318    , -395.832    , array([ 0.111383   ,  15.0176    ,  0.277647   ,  2.26652e-16])
4319    , -395.924    , array([ 0.111272   ,  15.0326    ,  0.277647   ,  2.26652e-16])
4320    , -396.106    , array([ 0.111272   ,  15.0176    ,  0.277925   ,  2.26652e-16])
4321    , -395.924    , array([ 0.111272   ,  15.0176    ,  0.277647   ,  2.26879e-16])
4322    , -394.89     , array([ 0.129457   ,  15.0176    ,  0.295935   ,  2.26652e-16])
4323    , -394.89     , array([ 0.129457   ,  15.0176    ,  0.295935   ,  2.26652e-16])
4324    , -394.872    , array([ 0.129586   ,  15.0176    ,  0.295935   ,  2.26652e-16])
4325    , -394.89     , array([ 0.129457   ,  15.0326    ,  0.295935   ,  2.26652e-16])
4326    , -394.939    , array([ 0.129457   ,  15.0176    ,  0.296231   ,  2.26652e-16])
4327    , -394.89     , array([ 0.129457   ,  15.0176    ,  0.295935   ,  2.26879e-16])
4328    , -394.586    , array([ 0.116122   ,  15.0176    ,  0.28064    ,  2.26652e-16])
4329    , -394.586    , array([ 0.116122   ,  15.0176    ,  0.28064    ,  2.26652e-16])
4330    , -394.555    , array([ 0.116238   ,  15.0176    ,  0.28064    ,  2.26652e-16])
4331    , -394.586    , array([ 0.116122   ,  15.0326    ,  0.28064    ,  2.26652e-16])
4332    , -394.657    , array([ 0.116122   ,  15.0176    ,  0.28092    ,  2.26652e-16])
4333    , -394.586    , array([ 0.116122   ,  15.0176    ,  0.28064    ,  2.26879e-16])
4334    , -394.312    , array([ 0.107913   ,  15.0176    ,  0.269607   ,  2.26652e-16])
4335    , -394.312    , array([ 0.107913   ,  15.0176    ,  0.269607   ,  2.26652e-16])
4336    , -394.282    , array([ 0.108021   ,  15.0176    ,  0.269607   ,  2.26652e-16])
4337    , -394.312    , array([ 0.107913   ,  15.0326    ,  0.269607   ,  2.26652e-16])
4338    , -394.379    , array([ 0.107913   ,  15.0176    ,  0.269877   ,  2.26652e-16])
4339    , -394.312    , array([ 0.107913   ,  15.0176    ,  0.269607   ,  2.26879e-16])
4340    , -394.071    , array([ 0.101293   ,  15.0176    ,  0.259943   ,  2.26652e-16])
4341    , -394.071    , array([ 0.101293   ,  15.0176    ,  0.259943   ,  2.26652e-16])
4342    , -394.046    , array([ 0.101395   ,  15.0176    ,  0.259943   ,  2.26652e-16])
4343    , -394.071    , array([ 0.101293   ,  15.0326    ,  0.259943   ,  2.26652e-16])
4344    , -394.127    , array([ 0.101293   ,  15.0176    ,  0.260203   ,  2.26652e-16])
4345    , -394.071    , array([ 0.101293   ,  15.0176    ,  0.259943   ,  2.26879e-16])
4346    , -393.928    , array([ 0.0945843  ,  15.0176    ,  0.249991   ,  2.26652e-16])
4347    , -393.928    , array([ 0.0945843  ,  15.0176    ,  0.249991   ,  2.26652e-16])
4348    , -393.9      , array([ 0.0946789  ,  15.0176    ,  0.249991   ,  2.26652e-16])
4349    , -393.928    , array([ 0.0945843  ,  15.0326    ,  0.249991   ,  2.26652e-16])
4350    , -393.986    , array([ 0.0945843  ,  15.0176    ,  0.250242   ,  2.26652e-16])
4351    , -393.928    , array([ 0.0945843  ,  15.0176    ,  0.249991   ,  2.26879e-16])
4352    , -393.829    , array([ 0.0912251  ,  15.0176    ,  0.244629   ,  2.26652e-16])
4353    , -393.829    , array([ 0.0912251  ,  15.0176    ,  0.244629   ,  2.26652e-16])
4354    , -393.804    , array([ 0.0913164  ,  15.0176    ,  0.244629   ,  2.26652e-16])
4355    , -393.829    , array([ 0.0912251  ,  15.0326    ,  0.244629   ,  2.26652e-16])
4356    , -393.882    , array([ 0.0912251  ,  15.0176    ,  0.244874   ,  2.26652e-16])
4357    , -393.829    , array([ 0.0912251  ,  15.0176    ,  0.244629   ,  2.26879e-16])
4358    , -393.625    , array([ 0.0789398  ,  15.0176    ,  0.224306   ,  2.26652e-16])
4359    , -393.625    , array([ 0.0789398  ,  15.0176    ,  0.224306   ,  2.26652e-16])
4360    , -393.595    , array([ 0.0790187  ,  15.0176    ,  0.224306   ,  2.26652e-16])
4361    , -393.625    , array([ 0.0789398  ,  15.0326    ,  0.224306   ,  2.26652e-16])
4362    , -393.686    , array([ 0.0789398  ,  15.0176    ,  0.224531   ,  2.26652e-16])
4363    , -393.625    , array([ 0.0789398  ,  15.0176    ,  0.224306   ,  2.26879e-16])
