16746   , -3401.03    , array([ 0.524475   ,  15.1775    ,  5.13649e-92,  0.0413699  ])
16747   , -3401.03    , array([ 0.525      ,  15.1775    ,  5.13649e-92,  0.0413699  ])
16748   , -3401.14    , array([ 0.524475   ,  15.1926    ,  5.13649e-92,  0.0413699  ])
16749   , -3401.03    , array([ 0.524475   ,  15.1775    ,  5.14163e-92,  0.0413699  ])
16750   , -3402.31    , array([ 0.524475   ,  15.1775    ,  5.13649e-92,  0.0414113  ])
16751   , -3401.03    , array([ 0.524475   ,  15.1775    ,  5.13649e-92,  0.0413699  ])
16752   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.015123   ])
16753   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.015123   ])
16754   , -2659.71    , array([ 0.525      ,  13.9273    ,  5.13649e-92,  0.015123   ])
16755   , -2659.74    , array([ 0.524475   ,  13.9413    ,  5.13649e-92,  0.015123   ])
16756   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.14163e-92,  0.015123   ])
16757   , -2660.08    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.0151381  ])
16764   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.015123   ])
16765   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.015123   ])
16766   , -2659.71    , array([ 0.525      ,  13.9273    ,  5.13649e-92,  0.015123   ])
16767   , -2659.74    , array([ 0.524475   ,  13.9413    ,  5.13649e-92,  0.015123   ])
16768   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.14163e-92,  0.015123   ])
16769   , -2660.08    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.0151381  ])
16770   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.015123   ])
16771   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.015123   ])
16772   , -2659.71    , array([ 0.525      ,  13.9273    ,  5.13649e-92,  0.015123   ])
16773   , -2659.74    , array([ 0.524475   ,  13.9413    ,  5.13649e-92,  0.015123   ])
16774   , -2659.71    , array([ 0.524475   ,  13.9273    ,  5.14163e-92,  0.015123   ])
16775   , -2660.08    , array([ 0.524475   ,  13.9273    ,  5.13649e-92,  0.0151381  ])
16776   , -2577.88    , array([ 0.524475   ,  47.7649    ,  5.13649e-92,  0.0110577  ])
16777   , -2577.88    , array([ 0.524475   ,  47.7649    ,  5.13649e-92,  0.0110577  ])
16778   , -2577.88    , array([ 0.525      ,  47.7649    ,  5.13649e-92,  0.0110577  ])
16779   , -2577.88    , array([ 0.524475   ,  47.8126    ,  5.13649e-92,  0.0110577  ])
16780   , -2577.88    , array([ 0.524475   ,  47.7649    ,  5.14163e-92,  0.0110577  ])
16781   , -2578.15    , array([ 0.524475   ,  47.7649    ,  5.13649e-92,  0.0110687  ])
16788   , -2577.88    , array([ 0.524475   ,  47.7649    ,  5.13649e-92,  0.0110577  ])
16789   , -2577.88    , array([ 0.524475   ,  47.7649    ,  5.13649e-92,  0.0110577  ])
16790   , -2577.88    , array([ 0.525      ,  47.7649    ,  5.13649e-92,  0.0110577  ])
16791   , -2577.88    , array([ 0.524475   ,  47.8126    ,  5.13649e-92,  0.0110577  ])
16792   , -2577.88    , array([ 0.524475   ,  47.7649    ,  5.14163e-92,  0.0110577  ])
16793   , -2578.15    , array([ 0.524475   ,  47.7649    ,  5.13649e-92,  0.0110687  ])
16794   , -2545.87    , array([ 0.524475   ,  81.707     ,  5.13649e-92,  0.0096479  ])
16795   , -2545.87    , array([ 0.524475   ,  81.707     ,  5.13649e-92,  0.0096479  ])
16796   , -2545.87    , array([ 0.525      ,  81.707     ,  5.13649e-92,  0.0096479  ])
16797   , -2545.87    , array([ 0.524475   ,  81.7887    ,  5.13649e-92,  0.0096479  ])
16798   , -2545.87    , array([ 0.524475   ,  81.707     ,  5.14163e-92,  0.0096479  ])
