19847   , -2336.81    , array([ 13.9961    ,  0.254078   ,  1.14141e-07,  2.3342e-31 ])
19848   , -2336.81    , array([ 14.0101    ,  0.254078   ,  1.14141e-07,  2.3342e-31 ])
19849   , -2336.81    , array([ 13.9961    ,  0.254332   ,  1.14141e-07,  2.3342e-31 ])
19850   , -2336.81    , array([ 13.9961    ,  0.254078   ,  1.14255e-07,  2.3342e-31 ])
19851   , -2336.81    , array([ 13.9961    ,  0.254078   ,  1.14141e-07,  2.33654e-31])
19852   , -2336.81    , array([ 13.9961    ,  0.254078   ,  1.14141e-07,  2.3342e-31 ])
19853   , -2336.81    , array([ 13.9939    ,  0.254078   ,  1.13909e-07,  2.3342e-31 ])
19854   , -2336.81    , array([ 13.9939    ,  0.254078   ,  1.13909e-07,  2.3342e-31 ])
19855   , -2336.81    , array([ 14.0079    ,  0.254078   ,  1.13909e-07,  2.3342e-31 ])
19856   , -2336.81    , array([ 13.9939    ,  0.254332   ,  1.13909e-07,  2.3342e-31 ])
19857   , -2336.81    , array([ 13.9939    ,  0.254078   ,  1.14023e-07,  2.3342e-31 ])
19858   , -2336.81    , array([ 13.9939    ,  0.254078   ,  1.13909e-07,  2.33654e-31])
19859   , -2336.81    , array([ 13.9851    ,  0.254078   ,  1.12984e-07,  2.3342e-31 ])
19860   , -2336.81    , array([ 13.9851    ,  0.254078   ,  1.12984e-07,  2.3342e-31 ])
19861   , -2336.81    , array([ 13.9991    ,  0.254078   ,  1.12984e-07,  2.3342e-31 ])
19862   , -2336.81    , array([ 13.9851    ,  0.254332   ,  1.12984e-07,  2.3342e-31 ])
19863   , -2336.81    , array([ 13.9851    ,  0.254078   ,  1.13097e-07,  2.3342e-31 ])
19864   , -2336.81    , array([ 13.9851    ,  0.254078   ,  1.12984e-07,  2.33654e-31])
19865   , -2336.81    , array([ 13.9501    ,  0.254078   ,  1.0936e-07 ,  2.3342e-31 ])
19866   , -2336.81    , array([ 13.9501    ,  0.254078   ,  1.0936e-07 ,  2.3342e-31 ])
19867   , -2336.81    , array([ 13.9641    ,  0.254078   ,  1.0936e-07 ,  2.3342e-31 ])
19868   , -2336.81    , array([ 13.9501    ,  0.254332   ,  1.0936e-07 ,  2.3342e-31 ])
19869   , -2336.81    , array([ 13.9501    ,  0.254078   ,  1.0947e-07 ,  2.3342e-31 ])
19870   , -2336.81    , array([ 13.9501    ,  0.254078   ,  1.0936e-07 ,  2.33654e-31])
19871   , -2336.81    , array([ 13.811     ,  0.254078   ,  9.59917e-08,  2.3342e-31 ])
19872   , -2336.81    , array([ 13.811     ,  0.254078   ,  9.59917e-08,  2.3342e-31 ])
19873   , -2336.81    , array([ 13.8248    ,  0.254078   ,  9.59917e-08,  2.3342e-31 ])
19874   , -2336.81    , array([ 13.811     ,  0.254332   ,  9.59917e-08,  2.3342e-31 ])
19875   , -2336.81    , array([ 13.811     ,  0.254078   ,  9.60877e-08,  2.3342e-31 ])
19876   , -2336.81    , array([ 13.811     ,  0.254078   ,  9.59917e-08,  2.33654e-31])
19877   , -2336.81    , array([ 13.4114    ,  0.254078   ,  6.5519e-08 ,  2.3342e-31 ])
19878   , -2336.81    , array([ 13.4114    ,  0.254078   ,  6.5519e-08 ,  2.3342e-31 ])
19879   , -2336.81    , array([ 13.4248    ,  0.254078   ,  6.5519e-08 ,  2.3342e-31 ])
19880   , -2336.81    , array([ 13.4114    ,  0.254332   ,  6.5519e-08 ,  2.3342e-31 ])
19881   , -2336.81    , array([ 13.4114    ,  0.254078   ,  6.55845e-08,  2.3342e-31 ])
19882   , -2336.81    , array([ 13.4114    ,  0.254078   ,  6.5519e-08 ,  2.33654e-31])
19883   , -2336.8     , array([ 12.5961    ,  0.254078   ,  2.89834e-08,  2.3342e-31 ])
